setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_raw,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,ob_range_atr,fvg_size_atr,impulse_leg_atr,atr_at_ob,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,alert_bar_ts,alert_seq,bos_timestamp,bias,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,killzone_blocked,killzone_windows
A0028,EURUSD,2024-07-01T08:00:00+00:00,2024-07-03T15:00:00+00:00,2024-07-04T09:00:00+00:00,London,bearish,BOS BOS,proximal,1.08021,1.08185,1.08205,1.07604,1.07363,2.54,4.01,sl,1.08021,0.0,-1.0,-1.0,0.0,True,,1.321,-0.799,18,-1,-1,288,premium,0.0,,8.0,3.0,1.0,1.0,2.0,1.0,"structure,sweep,fvg,freshness",False,h1_only,2024-06-13T08:00:00+00:00,BOS,BOS,holding,True,partial,True,0,1.13,1.39,1.39,marginal,1.247,1.203,1.325,0.001155,False,,,,,False,8,bearish,with_trend,2024-07-01T07:00:00+00:00,1,2024-06-13T14:00:00+00:00,SHORT,aligned,128.5,False,1,fresh,London,NY,True,True,Both,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0029,EURUSD,2024-07-03T13:00:00+00:00,,,NY,bullish,BOS BOS,proximal,1.07424,1.0734,1.0732,1.07604,,2.14,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,7,discount,0.0,,8.0,3.0,0.0,2.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2024-07-03T06:00:00+00:00,BOS,BOS,holding,True,pristine,False,0,0.77,1.84,1.84,solid,0.929,0.654,1.99,0.000689,False,,,,,False,13,bullish,with_trend,2024-07-03T12:00:00+00:00,1,2024-07-03T08:00:00+00:00,LONG,aligned,47.4,False,2,fresh,Asia,NY,True,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0030,EURUSD,2024-07-03T15:00:00+00:00,,,NY,bullish,Confirmation BOS,proximal,1.07623,1.07524,1.07504,1.07816,1.08158,1.95,5.4,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,5,premium,0.0,,8.0,4.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2024-07-03T10:00:00+00:00,BOS,Confirm,holding,True,pristine,False,0,1.28,1.46,1.46,marginal,0.834,1.024,8.087,0.000947,False,,,,,False,15,bullish,with_trend,2024-07-03T14:00:00+00:00,1,2024-07-03T14:00:00+00:00,LONG,counter,62.6,False,1,fresh,London,NY,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0031,EURUSD,2024-07-04T06:00:00+00:00,2024-07-04T15:00:00+00:00,2024-07-04T16:00:00+00:00,Asia,bearish,BOS BOS,proximal,1.08041,1.08106,1.0812599999999999,1.07885,1.07778,2.4,4.05,sl,1.0812599999999999,-1.0,-1.0,-1.0,-250.0,True,,0.565,-0.6,1,-1,-1,352,premium,0.0,,3.0,3.0,0.0,0.0,0.0,0.0,structure,False,h1_only,2024-06-13T03:00:00+00:00,BOS,BOS,holding,False,full,False,2,0.9,1.6,1.6,solid,0.653,,2.22,0.000689,False,,,,,False,6,bullish,against_trend,2024-07-04T05:00:00+00:00,1,2024-06-13T11:00:00+00:00,SHORT,aligned,87.9,False,1,stale,Asia,NY,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0032,EURUSD,2024-07-04T10:00:00+00:00,,,London,bullish,BOS BOS,proximal,1.07874,1.07815,1.07795,1.08158,,4.81,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,6,premium,0.0,,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2024-07-04T04:00:00+00:00,BOS,BOS,holding,True,pristine,False,0,1.1,1.16,1.16,marginal,0.628,0.097,1.853,0.000621,False,,,,,False,10,bullish,with_trend,2024-07-04T09:00:00+00:00,1,2024-07-04T09:00:00+00:00,LONG,counter,71.9,False,4,fresh,Asia,London,False,False,never_filled,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0033,EURUSD,2024-07-04T16:00:00+00:00,2024-07-07T22:00:00+00:00,2024-07-07T23:00:00+00:00,NY,bullish,BOS BOS,proximal,1.0802,1.07942,1.07922,1.08158,,1.77,,tp1,1.08158,1.408,1.77,1.276,352.0,True,,3.133,-0.184,1,1,-1,4,premium,0.0,,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2024-07-04T12:00:00+00:00,BOS,BOS,holding,False,none,False,0,0.78,1.08,1.08,marginal,0.867,,2.914,0.000669,False,,,,,False,16,bullish,with_trend,2024-07-04T15:00:00+00:00,1,2024-07-04T15:00:00+00:00,LONG,counter,85.9,False,5,no_fvg,London,Other,True,False,OB only,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0034,EURUSD,2024-07-05T07:00:00+00:00,2024-07-05T13:00:00+00:00,2024-07-05T13:00:00+00:00,London,bullish,BOS BOS,proximal,1.0812,1.08075,1.0805500000000001,1.08451,,7.36,,sl,1.0805500000000001,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,0,-1,-1,7,premium,0.0,,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2024-07-05T00:00:00+00:00,BOS,BOS,holding,True,pristine,False,0,1.16,1.05,1.05,marginal,0.688,0.468,1.348,0.000364,False,,,,,False,7,bullish,with_trend,2024-07-05T06:00:00+00:00,1,2024-07-05T03:00:00+00:00,LONG,counter,89.0,False,7,fresh,Asia,NY,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0035,EURUSD,2024-07-11T10:00:00+00:00,,,London,bullish,BOS BOS,proximal,1.08377,1.08324,1.08304,1.0852,,2.7,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,4,premium,0.0,,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2024-07-11T06:00:00+00:00,BOS,BOS,holding,False,none,False,0,1.35,1.49,1.49,marginal,0.629,,4.343,0.000525,False,,,,,False,10,bullish,with_trend,2024-07-11T09:00:00+00:00,1,2024-07-11T09:00:00+00:00,LONG,counter,76.3,False,2,no_fvg,Asia,London,True,False,never_filled,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0036,EURUSD,2024-07-11T14:00:00+00:00,2024-07-11T14:00:00+00:00,2024-07-11T18:00:00+00:00,NY,bearish,CHoCH CHoCH,proximal,1.08873,1.09039,1.09059,1.08622,,1.51,,tp1,1.08622,1.349,1.51,0.0,337.25,True,,1.478,-0.629,4,4,-1,567,premium,1.0,True,7.0,4.0,1.0,0.0,1.0,1.0,"structure,sweep,freshness",False,h1_only,2024-06-07T12:00:00+00:00,CHoCH,CHoCH,holding,False,full,True,1,5.15,6.7,4.47,strong,1.503,,1.009,0.000971,False,,,,,False,14,bullish,against_trend,2024-07-11T13:00:00+00:00,1,2024-06-07T13:00:00+00:00,SHORT,aligned,87.0,False,0,fresh,London,NY,True,True,Both,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0037,EURUSD,2024-07-12T10:00:00+00:00,,,London,bullish,BOS BOS,proximal,1.08722,1.08612,1.08592,1.0889,1.08917,1.53,1.77,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,3,premium,0.0,,8.0,3.0,0.0,2.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2024-07-12T07:00:00+00:00,BOS,BOS,holding,True,pristine,False,0,1.73,1.58,1.58,solid,1.269,0.437,1.551,0.000709,False,,,,,False,10,bullish,with_trend,2024-07-12T09:00:00+00:00,1,2024-07-12T09:00:00+00:00,LONG,counter,71.0,False,6,fresh,London,London,True,False,never_filled,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
