knob,grid_value,baseline,grid_mode,pair,n_swings,n_obs,n_choch,n_bos,n_alerts_total,n_alerts_simulated,n_trades_filled,sum_r_realised,sum_pnl_usd,win_rate,expectancy_r,avg_logged_score,recon_ok
MIN_LEG_ATR_MULT,1.0,False,absolute,EURUSD,209,25,36,58,95,30,19,15.307,3826.75,0.625,0.8056,6.433,True
MIN_LEG_ATR_MULT,1.5,True,absolute,EURUSD,198,25,32,54,95,30,19,15.307,3826.75,0.625,0.8056,6.433,True
MIN_LEG_ATR_MULT,2.0,False,absolute,EURUSD,167,25,31,48,90,28,21,10.439,2609.75,0.5,0.4971,6.107,True
MIN_LEG_ATR_MULT,2.5,False,absolute,EURUSD,139,24,28,42,84,25,18,3.816,954.0,0.4667,0.212,5.96,True
MIN_LEG_ATR_MULT,1.0,False,absolute,USDJPY,222,21,27,59,125,26,13,4.642,1160.5,0.625,0.3571,5.317,True
MIN_LEG_ATR_MULT,1.5,True,absolute,USDJPY,210,20,26,56,125,24,12,4.8,1200.0,0.625,0.4,5.188,True
MIN_LEG_ATR_MULT,2.0,False,absolute,USDJPY,171,19,24,53,121,23,12,3.043,760.75,0.5714,0.2536,5.247,True
MIN_LEG_ATR_MULT,2.5,False,absolute,USDJPY,140,19,25,47,120,21,14,3.866,966.5,0.5556,0.2761,4.885,True
MIN_LEG_ATR_MULT,1.0,False,absolute,NZDUSD,198,24,27,54,79,26,12,0.585,146.25,0.4444,0.0487,6.077,True
MIN_LEG_ATR_MULT,1.5,True,absolute,NZDUSD,185,23,26,54,78,25,12,0.585,146.25,0.4444,0.0487,6.12,True
MIN_LEG_ATR_MULT,2.0,False,absolute,NZDUSD,145,21,20,52,68,24,15,5.592,1398.0,0.5833,0.3728,6.0,True
MIN_LEG_ATR_MULT,2.5,False,absolute,NZDUSD,128,21,22,51,68,24,15,6.047,1511.75,0.5833,0.4031,6.0,True
MIN_LEG_ATR_MULT,1.0,False,absolute,USDCHF,214,23,36,65,81,29,15,-2.649,-662.25,0.3333,-0.1766,7.0,True
MIN_LEG_ATR_MULT,1.5,True,absolute,USDCHF,200,23,33,64,81,29,15,-4.228,-1057.0,0.2857,-0.2819,6.962,True
MIN_LEG_ATR_MULT,2.0,False,absolute,USDCHF,165,19,33,62,77,24,12,-0.466,-116.5,0.3636,-0.0388,7.318,True
MIN_LEG_ATR_MULT,2.5,False,absolute,USDCHF,142,19,26,53,79,25,12,-0.371,-92.75,0.3636,-0.0309,7.318,True
MIN_LEG_ATR_MULT,1.0,False,absolute,GOLD,195,26,34,55,92,28,17,1.39,347.5,0.3636,0.0818,5.307,True
MIN_LEG_ATR_MULT,1.5,True,absolute,GOLD,180,26,33,53,88,27,16,-0.131,-32.75,0.3,-0.0082,5.319,True
MIN_LEG_ATR_MULT,2.0,False,absolute,GOLD,156,20,32,54,80,22,12,2.1,525.0,0.4444,0.175,5.271,True
MIN_LEG_ATR_MULT,2.5,False,absolute,GOLD,136,20,29,53,82,21,12,0.93,232.5,0.3333,0.0775,5.16,True
