knob,grid_value,baseline,grid_mode,pair,n_swings,n_obs,n_choch,n_bos,n_alerts_total,n_alerts_simulated,n_trades_filled,sum_r_realised,sum_pnl_usd,win_rate,expectancy_r,avg_logged_score,recon_ok
MIN_LEG_ATR_MULT,1.0,False,absolute,EURUSD,203,20,19,45,49,23,10,1.933,483.25,0.4444,0.1933,6.526,True
MIN_LEG_ATR_MULT,1.5,True,absolute,EURUSD,193,20,20,45,49,23,10,1.933,483.25,0.4444,0.1933,6.526,True
MIN_LEG_ATR_MULT,2.0,False,absolute,EURUSD,163,20,19,45,49,24,12,-0.067,-16.75,0.3636,-0.0056,6.45,True
MIN_LEG_ATR_MULT,2.5,False,absolute,EURUSD,144,20,16,45,47,23,9,3.533,883.25,0.375,0.3926,6.353,True
MIN_LEG_ATR_MULT,1.0,False,absolute,USDJPY,198,21,9,47,66,23,12,1.591,397.75,0.3,0.1326,5.152,True
MIN_LEG_ATR_MULT,1.5,True,absolute,USDJPY,190,21,9,47,66,23,12,1.591,397.75,0.3,0.1326,5.152,True
MIN_LEG_ATR_MULT,2.0,False,absolute,USDJPY,158,17,9,42,59,19,9,4.591,1147.75,0.4286,0.5101,5.276,True
MIN_LEG_ATR_MULT,2.5,False,absolute,USDJPY,135,15,6,37,52,17,9,4.591,1147.75,0.4286,0.5101,5.188,True
MIN_LEG_ATR_MULT,1.0,False,absolute,NZDUSD,203,21,19,40,48,20,10,-0.785,-196.25,0.2857,-0.0785,6.8,True
MIN_LEG_ATR_MULT,1.5,True,absolute,NZDUSD,188,22,18,41,50,22,11,-1.785,-446.25,0.25,-0.1623,6.812,True
MIN_LEG_ATR_MULT,2.0,False,absolute,NZDUSD,160,21,16,42,49,21,11,-0.296,-74.0,0.3333,-0.0269,6.5,True
MIN_LEG_ATR_MULT,2.5,False,absolute,NZDUSD,133,20,14,41,47,19,10,0.704,176.0,0.375,0.0704,6.6,True
MIN_LEG_ATR_MULT,1.0,False,absolute,USDCHF,196,18,14,43,51,19,9,-3.445,-861.25,0.1667,-0.3828,5.938,True
MIN_LEG_ATR_MULT,1.5,True,absolute,USDCHF,182,18,14,44,51,19,9,-3.445,-861.25,0.1667,-0.3828,6.062,True
MIN_LEG_ATR_MULT,2.0,False,absolute,USDCHF,151,16,12,40,43,16,7,-1.445,-361.25,0.25,-0.2064,6.077,True
MIN_LEG_ATR_MULT,2.5,False,absolute,USDCHF,126,11,14,30,38,13,2,1.555,388.75,1.0,0.7775,6.222,True
MIN_LEG_ATR_MULT,1.0,False,absolute,NAS100,195,26,17,46,90,34,19,-1.057,-264.25,0.3125,-0.0556,5.28,True
MIN_LEG_ATR_MULT,1.5,True,absolute,NAS100,176,25,17,46,90,34,18,-2.62,-655.0,0.2667,-0.1456,5.0,True
MIN_LEG_ATR_MULT,2.0,False,absolute,NAS100,145,24,18,42,80,31,18,-5.919,-1479.75,0.2,-0.3288,5.145,True
MIN_LEG_ATR_MULT,2.5,False,absolute,NAS100,131,25,18,46,83,33,19,-5.617,-1404.25,0.25,-0.2956,4.948,True
MIN_LEG_ATR_MULT,1.0,False,absolute,GOLD,192,22,14,46,67,23,11,0.582,145.5,0.4,0.0529,5.681,True
MIN_LEG_ATR_MULT,1.5,True,absolute,GOLD,175,21,14,42,60,21,11,0.582,145.5,0.4,0.0529,5.747,True
MIN_LEG_ATR_MULT,2.0,False,absolute,GOLD,144,19,15,40,57,18,9,2.582,645.5,0.5,0.2869,5.9,True
MIN_LEG_ATR_MULT,2.5,False,absolute,GOLD,127,17,18,38,52,16,10,3.582,895.5,0.5714,0.3582,5.892,True
