setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,fvg_present,sweep_present,break_close_atr,break_body_atr,break_excess,break_tier,ob_range_atr,fvg_size_atr,impulse_leg_atr,atr_at_ob,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,alert_bar_ts,alert_seq,bos_timestamp,bias,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,killzone_blocked,killzone_windows
A0085,GOLD,2025-01-08T14:00:00+00:00,2025-01-08T17:00:00+00:00,2025-01-09T06:00:00+00:00,NY,bullish,BOS BOS,proximal,2653.16,2647.045,2664.23,,1.81,,tp1,2664.23,1.81,1.81,6.129,452.5,True,,2.726,-0.595,12,12,-1,3,discount,0.0,,4.0,3.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2025-01-08T11:00:00+00:00,BOS,BOS,False,False,2.06,1.94,1.94,solid,1.327,,1.483,4.228571,False,,,,,False,14,bullish,with_trend,2025-01-08T13:00:00+00:00,1,2025-01-08T13:00:00+00:00,LONG,aligned,41.5,False,2,no_fvg,London,NY,False,False,Neither,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0086,GOLD,2025-01-09T12:00:00+00:00,2025-01-10T14:00:00+00:00,2025-01-10T14:00:00+00:00,London,bearish,Confirmation BOS,proximal,2685.99,2691.7650000000003,2675.03,,1.9,,sl,2691.7650000000003,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,0,-1,-1,395,premium,0.0,,7.0,4.0,0.0,2.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2024-12-13T03:00:00+00:00,BOS,Confirm,True,False,0.75,1.71,1.71,solid,1.156,0.862,3.868,4.560714,False,,,,,False,12,bullish,against_trend,2025-01-09T11:00:00+00:00,1,2024-12-13T08:00:00+00:00,SHORT,aligned,145.7,False,1,fresh,Asia,NY,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0087,GOLD,2025-01-10T06:00:00+00:00,2025-01-10T13:00:00+00:00,2025-01-10T14:00:00+00:00,Asia,bullish,BOS BOS,proximal,2666.74,2661.8849999999998,2676.32,2678.23,1.98,2.37,tp1,2676.32,1.973,1.98,2.37,493.25,True,,5.475,-0.573,1,1,1,22,premium,0.0,,4.5,3.0,0.0,0.0,0.5,1.0,"structure,freshness",False,h1_only,2025-01-09T07:00:00+00:00,BOS,BOS,False,False,0.82,1.03,1.03,marginal,1.126,,2.964,3.863571,False,,,,,False,6,bullish,with_trend,2025-01-10T05:00:00+00:00,1,2025-01-09T11:00:00+00:00,LONG,counter,65.2,False,3,fresh,London,NY,True,True,Both,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0088,GOLD,2025-01-10T09:00:00+00:00,2025-01-10T10:00:00+00:00,2025-01-10T13:00:00+00:00,London,bullish,BOS BOS,proximal,2678.68,2672.875,2692.77,,2.43,,sl,2672.875,-1.0,-1.0,-1.0,-250.0,True,,0.758,-0.656,3,-1,-1,2,premium,0.0,,5.0,3.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2025-01-10T07:00:00+00:00,BOS,BOS,False,False,0.54,1.12,1.12,marginal,1.473,,4.331,3.597143,False,,,,,False,9,bullish,with_trend,2025-01-10T08:00:00+00:00,1,2025-01-10T08:00:00+00:00,LONG,counter,94.7,False,4,no_fvg,London,London,True,False,OB only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0089,GOLD,2025-01-16T09:00:00+00:00,2025-01-16T13:00:00+00:00,2025-01-16T16:00:00+00:00,London,bearish,CHoCH CHoCH,proximal,2714.89,2720.025,2685.94,2678.42,5.64,7.11,sl,2720.025,-1.0,-1.0,-1.0,-250.0,True,,2.627,-0.944,3,-1,-1,525,premium,1.0,True,7.0,4.0,0.0,1.0,1.0,1.0,"structure,fvg,freshness",False,h1_only,2024-12-12T08:00:00+00:00,CHoCH,CHoCH,True,False,1.46,1.63,1.09,marginal,1.092,1.481,2.387,4.239286,False,,,,,False,9,bullish,against_trend,2025-01-16T08:00:00+00:00,1,2024-12-12T15:00:00+00:00,SHORT,aligned,126.8,False,0,fresh,London,NY,True,True,Both,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0090,GOLD,2025-01-16T17:00:00+00:00,2025-01-17T09:00:00+00:00,2025-01-17T18:00:00+00:00,NY,bullish,BOS BOS,proximal,2707.35,2699.765,2720.3,,1.71,,friday_flat,2712.66,0.7,-1.0,-1.0,175.0,True,,1.31,-0.614,9,-1,-1,5,premium,0.0,,6.0,3.0,0.0,1.0,1.0,1.0,"structure,fvg,freshness",False,h1_only,2025-01-16T12:00:00+00:00,BOS,BOS,True,False,2.11,1.88,1.88,solid,1.144,0.905,1.958,6.190714,False,,,,,False,17,bullish,with_trend,2025-01-16T16:00:00+00:00,1,2025-01-16T13:00:00+00:00,LONG,counter,75.9,False,5,fresh,London,London,True,True,Both,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0091,GOLD,2025-01-17T10:00:00+00:00,2025-01-17T12:00:00+00:00,2025-01-17T14:00:00+00:00,London,bearish,CHoCH CHoCH,proximal,2709.54,2713.475,2690.03,,4.96,,sl,2709.54,0.0,-1.0,-1.0,0.0,True,,1.283,-0.656,2,-1,-1,2,premium,1.0,True,6.0,4.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2025-01-17T08:00:00+00:00,CHoCH,CHoCH,False,False,1.4,1.86,1.24,marginal,0.935,,1.35,3.667143,False,,,,,False,10,bullish,against_trend,2025-01-17T09:00:00+00:00,1,2025-01-17T09:00:00+00:00,SHORT,aligned,76.5,False,0,no_fvg,London,London,True,True,Both,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0092,GOLD,2025-01-21T15:00:00+00:00,,,NY,bullish,BOS BOS,proximal,2724.12,2716.6949999999997,2738.48,,1.94,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,6,premium,0.0,,5.0,3.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2025-01-21T09:00:00+00:00,BOS,BOS,False,False,0.69,1.52,1.52,solid,0.9,,4.072,7.690714,False,,,,,False,15,bullish,with_trend,2025-01-21T14:00:00+00:00,1,2025-01-21T14:00:00+00:00,LONG,counter,70.8,False,8,no_fvg,London,NY,True,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0093,GOLD,2025-01-22T06:00:00+00:00,2025-01-23T09:00:00+00:00,2025-01-23T12:00:00+00:00,Asia,bullish,BOS BOS,proximal,2745.61,2740.595,2758.68,,2.61,,sl,2745.61,0.0,-1.0,-1.0,0.0,True,,1.763,-0.945,3,-1,-1,7,premium,0.0,,5.0,3.0,0.0,1.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2025-01-21T23:00:00+00:00,BOS,BOS,True,False,1.24,1.17,1.17,marginal,0.91,0.214,5.969,4.957143,False,,,,,False,6,bullish,with_trend,2025-01-22T05:00:00+00:00,1,2025-01-22T04:00:00+00:00,LONG,counter,81.2,False,3,fresh,Other,London,False,True,Fill only,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0094,GOLD,2025-01-23T10:00:00+00:00,,,London,bullish,Confirmation BOS,proximal,2729.48,2723.205,2746.02,2755.59,2.64,4.16,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,50,discount,0.0,,7.0,4.0,0.0,2.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2025-01-21T06:00:00+00:00,BOS,Confirm,True,False,1.55,3.44,3.44,strong,1.694,1.295,8.239,3.405714,False,,,,,False,10,bullish,with_trend,2025-01-23T09:00:00+00:00,1,2025-01-21T14:00:00+00:00,LONG,aligned,-143.7,False,1,fresh,Asia,London,False,False,never_filled,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
