setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,entry_raw,sl_raw,sl_initial,tp1,tp1_raw,tp2,tp2_raw,tp1_rr,tp2_rr,tp1_wick,tp1_wick_rr,tp1_zone_source,tp2_wick,tp2_zone_source,tp_wick,tp_wick_rr,tp_nextpool,tp_nextpool_rr,tp_nextpool_zone_source,tp2_collapsed_to_tp1,tp_targets,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,r_capture_ratio,sl_bar_was_sweep,sl_swept_then_tp1,sl_wick_depth_atr,sl_max_adverse_after_sweep_atr,bars_sl_to_tp1_touch,sl_recovered_to_entry,sl_distance_atr,sl_dist_atr_at_alert,tp_dist_atr_at_alert,bars_to_exit,bars_to_tp1,bars_to_tp2,bars_to_mfe,bars_to_mae,ob_to_fill_hours,bars_break_to_pullback,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,event_candle_delta,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,is_mss,ob_range_atr,fvg_size_atr,impulse_leg_to_extreme_atr,atr_at_ob,atr_at_fill,ob_body_ratio,ob_walkback_depth,chop_at_alert,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,trend_pd_agree,structure_ranging_at_alert,flip_pending_at_alert,flip_pending_dir_at_alert,leg_extreme_at_alert,leg_extreme_clipped,dr_ceiling_broken_at_ob,dr_floor_broken_at_ob,day_state_at_fill,pdh_status_at_fill,pdl_status_at_fill,pwh_status_at_fill,pwl_status_at_fill,dist_next_pool_above_atr,dist_next_pool_below_atr,next_pool_above_tier,next_pool_below_tier,trade_toward_pool,last_sweep_age_h1,last_sweep_tier,eqh_above_dist_atr,eqh_above_size,eql_below_dist_atr,eql_below_size,eq_trade_toward,eq_sl_gap_atr,eq_sl_at_risk,eq_last_sweep_age_h1,eq_last_sweep_side,eq_intact_above_count,eq_intact_below_count,sweep2_present,sweep2_pools_swept,sweep2_age_at_fill_h1,sweep2_tiers_checked,sweep2_sw_present,sweep2_sw_pierce_atr,sweep2_sw_rejection_ratio,sweep2_sw_follow_atr,sweep2_sw_rn_aligned,sweep2_eq_present,sweep2_eq_pierce_atr,sweep2_eq_rejection_ratio,sweep2_eq_follow_atr,sweep2_eq_rn_aligned,sweep2_eq_size,sweep2_pw_present,sweep2_pw_pierce_atr,sweep2_pw_rejection_ratio,sweep2_pw_follow_atr,sweep2_pw_rn_aligned,sweep2_pd_present,sweep2_pd_pierce_atr,sweep2_pd_rejection_ratio,sweep2_pd_follow_atr,sweep2_pd_rn_aligned,setup_liq_stop_present,setup_liq_stop_offset_atr,setup_liq_stop_tier,setup_liq_tp_present,setup_liq_tp_offset_atr,setup_liq_legextreme_swept,session_level_event,session_level_which,session_level_side,session_level_pair_relevant,alert_bar_ts,alert_seq,bos_timestamp,bias,be_arm_bar_touched_entry,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,atr_regime_pct_at_fill,atr_regime_ratio_at_fill,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,leg_er_at_alert,setup_badge,setup_badge_kind,weekly_pd_position_at_alert,weekly_range_high_at_alert,weekly_range_low_at_alert,weekly_pd_zone_at_alert,pd_zone_agreement_at_alert,approach_speed_atr_at_fill,approach_body_ratio_at_fill,approach_er_at_fill,killzone_blocked,killzone_windows,news_fill,news_fill_event,news_fill_ccy,news_open,news_open_event
B7127,EURUSD,2014-07-01T15:00:00+00:00,2014-07-02T08:00:00+00:00,2014-07-02T10:00:00+00:00,NY,bullish,BOS BOS,proximal,1.36588,1.36568,1.36467,1.36447,1.36649,1.36669,,,1.0,,1.36649,1.0,wick,,,,,,,,False,triple,tp1,1.36649,0.433,1.0,0.0,108.25,True,,0.433,-0.262,1.0,,,,,,,1.64,1.303,0.872,2,2,-1,2.0,1.0,46.0,43.0,29,premium,0.0,,5.0,3.0,0.0,1.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2014-06-30T10:00:00+00:00,BOS,BOS,0,holding,True,partial,False,1,0.11,3.36,3.36,strong,,0.942,2.337,4.663,0.00086,0.000567,0.284,0,62.232,False,,,,,False,15,bullish,with_trend,False,False,False,,1.36969,False,False,False,SWEPT_LOW,intact,swept,broken,intact,4.686,9.884,PD,PW,True,1.0,PD,,,2.163,2.0,False,0.523,True,1.0,low,0.0,1.0,False,0,,"eq,sw,pd,pw",False,,,,,False,,,,,,False,,,,,False,,,,,False,,,False,,False,none,none,none,False,2014-07-01T14:00:00+00:00,1,2014-06-30T13:00:00+00:00,LONG,,counter,68.6,False,2,3.08,0.4807,fresh,London,London,False,True,Fill only,0.906,,,1.101,1.3651,1.35738,premium,both_premium,0.058,0.58,0.246,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B7128,EURUSD,2014-07-02T04:00:00+00:00,,,Asia,bearish,CHoCH CHoCH,proximal,1.36793,1.36813,1.36958,1.36978,1.36245,1.36225,,,2.96,,1.36118,3.65,zone,,,1.36137,4.8,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,2.887,2.575,8.865,0,-1,-1,,,,,21,discount,1.0,True,6.0,4.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2014-07-01T07:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,1,0.06,0.23,0.15,marginal,False,1.951,,1.03,0.000641,,0.824,3,50.755,False,,,,,False,4,bullish,ambiguous,False,False,True,bearish,1.36747,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,0,,"eq,sw",False,,,,,False,,,,,,False,,,,,False,,,,,True,0.203,bare,False,,False,sweep,asia,low,True,2014-07-02T03:00:00+00:00,1,2014-07-01T19:00:00+00:00,SHORT,,counter,16.8,False,0,,,no_fvg,London,Asia,True,False,never_filled,0.298,,,1.3666,1.3651,1.35738,premium,mixed,,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B7129,EURUSD,2014-07-02T09:00:00+00:00,2014-07-02T12:00:00+00:00,2014-07-02T16:00:00+00:00,London,bullish,BOS BOS,proximal,1.36473,1.36453,1.36385,1.36365,1.36771,1.36791,1.36794,1.36814,2.76,5.31,1.368,3.03,zone,,zone,1.36783,5.15,1.36794,5.31,zone,False,triple,sl,1.36473,0.0,-1.0,-1.0,0.0,True,,1.13,-0.407,0.0,True,False,0.101,7.852,,True,1.363,1.552,5.607,4,-1,-1,2.0,1.0,55.0,53.0,52,discount,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2014-06-30T05:00:00+00:00,BOS,BOS,1,holding,False,none,False,0,0.48,1.15,1.15,marginal,,0.606,,2.159,0.000792,0.000846,0.958,0,39.692,False,,,,,False,9,bullish,counter_trend,True,False,True,bearish,1.36624,False,False,False,EXPANSION_DOWN,intact,broken,broken,intact,6.539,9.279,PD,PW,True,5.0,PD,4.381,2.0,0.896,2.0,False,-0.467,False,5.0,low,1.0,1.0,False,0,,,False,,,,,False,,,,,,False,,,,,False,,,,,False,,,False,,False,break,asia,low,True,2014-07-02T08:00:00+00:00,1,2014-06-30T07:00:00+00:00,LONG,False,aligned,-158.3,False,1,15.16,0.6493,no_fvg,Asia,NY,False,True,Fill only,0.765,,,0.9521,1.3651,1.35738,premium,mixed,-1.439,0.592,0.067,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",1.0,ADP Non-Farm Employment Change,USD,1.0,ADP Non-Farm Employment Change
B7130,EURUSD,2014-07-02T13:00:00+00:00,2014-07-03T12:00:00+00:00,2014-07-03T12:00:00+00:00,NY,bullish,BOS BOS,proximal,1.36245,1.36225,1.36078,1.36058,1.36771,1.36791,1.36794,1.36814,2.81,4.01,1.368,2.97,zone,,zone,1.36775,3.88,1.36794,4.01,zone,False,triple,sl,1.36058,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,False,,0.354,,,,2.209,1.973,6.451,0,-1,-1,,,147.0,93.0,75,discount,0.0,,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2014-06-27T09:00:00+00:00,BOS,BOS,0,holding,True,pristine,False,0,0.69,1.25,1.25,marginal,,1.5,0.307,3.273,0.000846,0.000969,0.748,1,40.46,False,,,,,False,13,bearish,counter_trend,False,False,False,,1.36502,False,False,True,INSIDE,intact,intact,swept,intact,2.091,5.99,PD,PW,True,0.0,PW,6.793,2.0,,,True,,,29.0,low,1.0,0.0,False,0,,"eq,sw,pd,pw",False,,,,,False,,,,,,False,,,,,False,,,,,True,0.106,bare,False,,False,break,asia,low,True,2014-07-02T12:00:00+00:00,1,2014-06-27T14:00:00+00:00,LONG,,aligned,-31.1,False,2,13.04,0.6231,fresh,London,NY,False,True,Fill only,0.634,,,0.6567,1.3651,1.35738,premium,mixed,0.354,0.302,0.129,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",1.0,Non-Farm Employment Change,USD,1.0,Non-Farm Employment Change
B7131,EURUSD,2014-07-03T08:00:00+00:00,2014-07-03T08:00:00+00:00,2014-07-03T12:00:00+00:00,London,bullish,CHoCH CHoCH,proximal,1.36547,1.36527,1.36445,1.36425,1.36771,1.36791,1.36794,1.36814,1.84,3.5,1.368,2.07,zone,,zone,1.36784,3.38,1.36794,3.5,zone,False,triple,sl,1.36425,-1.0,-1.0,-1.0,-250.0,True,,0.172,-0.582,-5.814,False,,7.411,,,,2.277,1.904,4.555,4,-1,-1,1.0,2.0,3.0,1.0,3,discount,1.0,True,8.0,4.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2014-07-03T05:00:00+00:00,CHoCH,CHoCH,0,holding,True,pristine,False,0,0.36,1.26,0.84,marginal,False,1.157,0.261,2.091,0.000536,0.000585,0.274,0,49.857,True,Italian Services PMI,EUR,ff,2014-07-03T07:45:00+00:00,False,8,bearish,ambiguous,False,False,True,bullish,1.36639,False,False,False,INSIDE,intact,intact,broken,intact,5.096,2.333,PD,PD,False,2.0,PW,,,2.707,2.0,False,0.429,True,25.0,low,0.0,1.0,False,0,,"eq,sw,pd,pw",False,,,,,False,,,,,,False,,,,,False,,,,,True,-0.056,bare,False,,False,sweep,asia,low,True,2014-07-03T07:00:00+00:00,1,2014-07-03T07:00:00+00:00,LONG,,aligned,22.0,False,0,5.62,0.5267,fresh,Asia,London,False,True,Fill only,1.0,,,1.0479,1.3651,1.35738,premium,mixed,-2.352,0.396,0.303,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,1.0,Main Refinancing Rate
B7132,EURUSD,2014-07-04T16:00:00+00:00,2014-07-04T17:00:00+00:00,2014-07-04T18:00:00+00:00,NY,bullish,CHoCH CHoCH,proximal,1.35936,1.35916,1.35836,1.35816,1.36024,1.36044,1.36521,1.36541,0.73,7.81,1.3609,1.28,zone,,zone,1.3607,2.18,1.36521,7.81,zone,False,triple,friday_flat,1.35937,0.008,-1.0,-1.0,2.0,True,,0.0,-0.0,,,,,,,,1.805,1.504,1.624,1,-1,-1,0.0,0.0,5.0,2.0,4,discount,1.0,True,7.0,4.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2014-07-04T12:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,0,0.53,1.52,1.01,marginal,False,0.902,,1.519,0.000665,0.0007,0.75,1,49.056,False,,,,,False,16,bearish,ambiguous,False,False,True,bullish,1.36017,False,False,False,SWEPT_LOW,intact,swept,swept,intact,10.571,2.977,PD,PW,False,1.0,PD,2.677,2.0,1.278,2.0,False,-0.526,False,10.0,low,2.0,1.0,False,0,,"eq,sw,pd,pw",False,,,,,False,,,,,,False,,,,,False,,,,,False,,,False,,False,none,none,none,False,2014-07-04T15:00:00+00:00,1,2014-07-04T15:00:00+00:00,LONG,,aligned,10.3,False,0,19.76,0.6799,no_fvg,NY,NY,True,False,OB only,0.984,,,0.2565,1.3651,1.35738,discount,both_discount,-0.752,0.48,0.198,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B7133,EURUSD,2014-07-07T07:00:00+00:00,2014-07-07T07:00:00+00:00,2014-07-07T08:00:00+00:00,London,bearish,BOS BOS,proximal,1.35809,1.35829,1.35891,1.35911,1.35787,1.35767,,,1.0,,1.35787,1.0,wick,,,,,,,,False,triple,sl,1.35911,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,False,,1.989,,,,2.049,1.647,0.844,1,-1,-1,0.0,0.0,5.0,1.0,5,discount,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2014-07-07T02:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.37,1.26,1.26,marginal,,0.844,,1.426,0.000498,0.000517,0.262,0,42.862,False,,,,,False,7,bearish,with_trend,False,False,False,,1.35758,False,False,True,EXPANSION_DOWN,intact,broken,intact,broken,6.046,,PD,,False,7.0,PD,6.126,2.0,,,False,4.077,False,7.0,low,1.0,0.0,False,0,,"eq,sw,pd,pw",False,,,,,False,,,,,,False,,,,,False,,,,,False,,,False,,False,break,asia,low,True,2014-07-07T06:00:00+00:00,1,2014-07-07T06:00:00+00:00,SHORT,,counter,5.8,False,2,3.64,0.498,no_fvg,Asia,London,False,True,Fill only,1.0,,,-0.0368,1.36991,1.35851,discount,both_discount,-1.004,0.193,0.493,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B7134,EURUSD,2014-07-07T16:00:00+00:00,2014-07-08T06:00:00+00:00,2014-07-10T07:00:00+00:00,NY,bullish,CHoCH CHoCH,proximal,1.36018,1.35998,1.35893,1.35873,1.36521,1.36541,1.36771,1.36791,3.47,7.55,1.36619,4.14,zone,,zone,1.36596,5.89,1.36771,7.55,zone,False,triple,timeout,1.36336,2.193,2.193,2.193,548.25,False,unresolved:timeout,3.366,-0.945,0.652,,,,,,,1.911,1.648,6.895,49,-1,-1,48.0,1.0,18.0,15.0,4,discount,1.0,True,7.0,4.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2014-07-07T12:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,0,0.23,0.96,0.64,marginal,False,1.121,,0.751,0.000759,0.000408,0.435,0,51.371,False,,,,,False,16,bearish,ambiguous,False,False,True,bullish,1.36055,False,False,False,SWEPT_HIGH,swept,intact,intact,swept,12.827,3.427,PW,PD,False,5.0,PD,0.976,2.0,,,True,,,0.0,high,3.0,0.0,False,0,,"eq,sw,pd,pw",False,,,,,False,,,,,,False,,,,,False,,,,,False,,,False,,False,none,none,none,False,2014-07-07T15:00:00+00:00,1,2014-07-07T15:00:00+00:00,LONG,True,aligned,29.5,False,0,0.14,0.3861,no_fvg,NY,London,True,True,Both,1.0,,,0.1465,1.36991,1.35851,discount,both_discount,0.435,0.412,0.81,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,1.0,FOMC Meeting Minutes
B7135,EURUSD,2014-07-08T04:00:00+00:00,2014-07-08T13:00:00+00:00,2014-07-08T13:00:00+00:00,Asia,bearish,BOS BOS,proximal,1.36033,1.36053,1.36088,1.36108,1.35846,1.35826,,,2.49,,1.35778,3.4,zone,,,1.35792,8.03,,,,False,triple,sl,1.36108,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,False,,1.318,,,,1.62,1.188,4.472,0,-1,-1,,,15.0,10.0,6,premium,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2014-07-07T22:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.05,0.19,0.19,marginal,,0.324,,0.605,0.000463,0.000776,0.8,2,61.099,False,,,,,False,4,bearish,with_trend,True,False,False,,1.36025,False,False,False,SWEPT_HIGH,swept,intact,intact,swept,20.698,5.941,PW,PD,True,12.0,PD,1.275,2.0,,,False,-0.346,False,4.0,high,2.0,0.0,False,0,,"eq,sw,pd,pw",False,,,,,False,,,,,,False,,,,,False,,,,,True,0.043,bare,False,,False,sweep,asia,high,True,2014-07-08T03:00:00+00:00,1,2014-07-08T03:00:00+00:00,SHORT,,aligned,82.3,False,1,18.16,0.6529,no_fvg,Other,NY,False,True,Fill only,0.796,,,0.1596,1.36991,1.35851,discount,mixed,0.886,0.396,0.114,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B7136,EURUSD,2014-07-08T06:00:00+00:00,2014-07-08T06:00:00+00:00,2014-07-08T07:00:00+00:00,London,bullish,CHoCH CHoCH,proximal,1.36004,1.35984,1.35921,1.35901,1.36027,1.36047,,,1.0,,1.36027,1.0,wick,,,,,,,,False,triple,sl,1.35901,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,True,False,0.524,0.446,,True,2.7,2.176,1.127,1,-1,-1,0.0,0.0,21.0,15.0,21,premium,1.0,True,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2014-07-07T09:00:00+00:00,CHoCH,CHoCH,0,holding,False,full,False,0,0.44,1.84,1.23,marginal,True,1.127,,2.753,0.000381,0.000408,0.628,2,56.253,True,German Trade Balance,EUR,ff,2014-07-08T06:00:00+00:00,False,6,bearish,counter_trend,False,False,False,,1.36089,False,False,False,SWEPT_HIGH,swept,intact,intact,swept,25.876,6.449,PW,PD,False,5.0,PD,2.307,2.0,,,True,,,0.0,high,2.0,0.0,False,0,,"eq,sw,pd,pw",False,,,,,False,,,,,,False,,,,,False,,,,,False,,,False,,False,sweep,asia,high,True,2014-07-08T05:00:00+00:00,1,2014-07-07T15:00:00+00:00,LONG,,counter,73.7,False,0,0.14,0.3861,fresh,London,London,False,True,Fill only,0.549,,,0.1342,1.36991,1.35851,discount,mixed,0.865,0.412,0.81,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
