pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,mfe_r,mae_r,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_age_h1_bars,pd_zone,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,fvg_present,sweep_present,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,alert_bar_ts,alert_seq,bos_timestamp,bias,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,killzone_blocked,killzone_windows
EURUSD,2026-04-13T00:00:00+00:00,,,Asia,bullish,BOS BOS,proximal,1.16713,1.16564,1.16986,1.17247,2.12,4.14,never_filled,,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,40,premium,1.0,1.0,0.0,0.0,0.0,0.0,structure,False,h1_only,2026-04-09T07:00:00+00:00,BOS,BOS,False,False,False,,,,,True,0,2026-04-12T23:00:00+00:00,1,2026-04-09T11:00:00+00:00,LONG,stale,London,Asia,True,False,never_filled,True,"07:00-10:00 UTC, 12:00-17:00 UTC"
EURUSD,2026-04-13T00:00:00+00:00,,,Asia,bullish,BOS BOS,50pct,1.16659,1.16564,1.16986,1.17247,4.36,7.84,never_filled,,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,40,premium,1.0,1.0,0.0,0.0,0.0,0.0,structure,False,h1_only,2026-04-09T07:00:00+00:00,BOS,BOS,False,False,False,,,,,True,0,2026-04-12T23:00:00+00:00,1,2026-04-09T11:00:00+00:00,LONG,stale,London,Asia,True,False,never_filled,True,"07:00-10:00 UTC, 12:00-17:00 UTC"
EURUSD,2026-04-13T05:00:00+00:00,2026-04-13T16:00:00+00:00,2026-04-13T18:00:00+00:00,Asia,bearish,CHoCH CHoCH,proximal,1.17233,1.17425,1.16891,1.1685,2.0,2.24,sl,1.17425,-1.0,-1.0,-1.0,-250.0,0.642,-2.157,2,-1,-1,10,premium,7.0,4.0,0.0,2.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2026-04-10T18:00:00+00:00,CHoCH,CHoCH,True,False,False,,,,,False,5,2026-04-13T04:00:00+00:00,1,2026-04-12T23:00:00+00:00,SHORT,fresh,NY,NY,False,True,Fill only,True,"07:00-10:00 UTC, 12:00-17:00 UTC"
EURUSD,2026-04-13T05:00:00+00:00,2026-04-13T16:00:00+00:00,2026-04-13T18:00:00+00:00,Asia,bearish,CHoCH CHoCH,50pct,1.17309,1.17425,1.16891,1.1685,4.354,4.781,sl,1.17425,-1.0,-1.0,-1.0,-250.0,1.718,-2.914,2,-1,-1,10,premium,7.0,4.0,0.0,2.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2026-04-10T18:00:00+00:00,CHoCH,CHoCH,True,False,False,,,,,False,5,2026-04-13T04:00:00+00:00,1,2026-04-12T23:00:00+00:00,SHORT,fresh,NY,NY,False,True,Fill only,True,"07:00-10:00 UTC, 12:00-17:00 UTC"
EURUSD,2026-04-15T11:00:00+00:00,2026-04-15T12:00:00+00:00,2026-04-15T14:00:00+00:00,London,bearish,CHoCH CHoCH,proximal,1.17897,1.1802,1.17716,,1.74,,sl,1.1802,-1.0,-1.0,-1.0,-250.0,0.68,-1.129,2,-1,-1,3,premium,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2026-04-15T08:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,11,2026-04-15T10:00:00+00:00,1,2026-04-15T10:00:00+00:00,SHORT,no_fvg,London,London,True,True,Both,True,"07:00-10:00 UTC, 12:00-17:00 UTC"
EURUSD,2026-04-15T11:00:00+00:00,2026-04-15T12:00:00+00:00,2026-04-15T14:00:00+00:00,London,bearish,CHoCH CHoCH,50pct,1.17938,1.1802,1.17716,,3.581,,sl,1.1802,-1.0,-1.0,-1.0,-250.0,1.52,-1.194,2,-1,-1,3,premium,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2026-04-15T08:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,11,2026-04-15T10:00:00+00:00,1,2026-04-15T10:00:00+00:00,SHORT,no_fvg,London,London,True,True,Both,True,"07:00-10:00 UTC, 12:00-17:00 UTC"
EURUSD,2026-04-16T14:00:00+00:00,2026-04-16T15:00:00+00:00,2026-04-17T00:00:00+00:00,NY,bearish,CHoCH CHoCH,proximal,1.17841,1.17951,1.16891,1.1685,10.62,11.08,window_end,1.1782727241516113,0.125,0.125,0.125,31.25,1.134,-0.633,9,-1,-1,3,premium,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2026-04-16T11:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,14,2026-04-16T13:00:00+00:00,1,2026-04-16T13:00:00+00:00,SHORT,no_fvg,London,NY,False,True,Fill only,False,"07:00-10:00 UTC, 12:00-17:00 UTC"
EURUSD,2026-04-16T14:00:00+00:00,2026-04-16T16:00:00+00:00,2026-04-17T00:00:00+00:00,NY,bearish,CHoCH CHoCH,50pct,1.17876,1.17951,1.16891,1.1685,17.909,18.655,window_end,1.1782727241516113,0.65,0.65,0.65,162.5,2.129,-0.462,8,-1,-1,3,premium,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2026-04-16T11:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,14,2026-04-16T13:00:00+00:00,1,2026-04-16T13:00:00+00:00,SHORT,no_fvg,London,NY,False,True,Fill only,False,"07:00-10:00 UTC, 12:00-17:00 UTC"
USDJPY,2026-04-13T00:00:00+00:00,2026-04-13T18:00:00+00:00,2026-04-14T00:00:00+00:00,Asia,bullish,BOS BOS,proximal,159.319,159.185,159.496,159.501,1.55,1.6,sl,159.185,-1.0,-1.0,-1.0,-250.0,1.037,-1.388,6,-1,-1,2,discount,2.0,1.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2026-04-10T20:00:00+00:00,BOS,BOS,False,False,False,,,,,True,0,2026-04-12T23:00:00+00:00,1,2026-04-12T23:00:00+00:00,LONG,no_fvg,NY,NY,False,False,Neither,True,"03:30-07:00 UTC, 07:00-10:00 UTC, 12:00-17:00 UTC"
USDJPY,2026-04-13T00:00:00+00:00,2026-04-13T23:00:00+00:00,2026-04-14T00:00:00+00:00,Asia,bullish,BOS BOS,50pct,159.272,159.185,159.496,159.501,3.343,3.418,sl,159.185,-1.0,-1.0,-1.0,-250.0,1.207,-1.598,1,-1,-1,2,discount,2.0,1.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2026-04-10T20:00:00+00:00,BOS,BOS,False,False,False,,,,,True,0,2026-04-12T23:00:00+00:00,1,2026-04-12T23:00:00+00:00,LONG,no_fvg,NY,Other,False,False,Neither,True,"03:30-07:00 UTC, 07:00-10:00 UTC, 12:00-17:00 UTC"
