knob,grid_value,baseline,grid_mode,pair,n_swings,n_obs,n_choch,n_bos,n_alerts_total,n_alerts_simulated,n_trades_filled,sum_r_realised,sum_pnl_usd,win_rate,expectancy_r,avg_logged_score,recon_ok
MIN_LEG_ATR_MULT,1.0,False,absolute,EURUSD,207,23,27,61,95,24,13,-1.838,-459.5,0.3333,-0.1414,6.619,True
MIN_LEG_ATR_MULT,1.5,True,absolute,EURUSD,187,21,29,59,107,23,13,-1.838,-459.5,0.3333,-0.1414,6.714,True
MIN_LEG_ATR_MULT,2.0,False,absolute,EURUSD,161,17,26,51,103,20,9,-1.141,-285.25,0.3333,-0.1268,7.111,True
MIN_LEG_ATR_MULT,2.5,False,absolute,EURUSD,146,17,27,47,98,18,7,0.859,214.75,0.5,0.1227,6.938,True
MIN_LEG_ATR_MULT,1.0,False,absolute,USDJPY,201,19,27,62,49,20,11,8.08,2020.0,0.6364,0.7345,5.688,True
MIN_LEG_ATR_MULT,1.5,True,absolute,USDJPY,183,19,22,58,72,20,11,8.596,2149.0,0.6364,0.7815,5.629,True
MIN_LEG_ATR_MULT,2.0,False,absolute,USDJPY,163,17,19,58,75,19,10,10.717,2679.25,0.7,1.0717,5.794,True
MIN_LEG_ATR_MULT,2.5,False,absolute,USDJPY,144,15,18,48,75,18,9,6.546,1636.5,0.5556,0.7273,5.857,True
MIN_LEG_ATR_MULT,1.0,False,absolute,NZDUSD,205,20,27,57,32,23,11,-1.927,-481.75,0.3636,-0.1752,6.0,True
MIN_LEG_ATR_MULT,1.5,True,absolute,NZDUSD,187,20,27,54,33,23,11,-1.966,-491.5,0.3636,-0.1787,6.067,True
MIN_LEG_ATR_MULT,2.0,False,absolute,NZDUSD,160,17,32,50,29,22,11,-4.489,-1122.25,0.2727,-0.4081,6.312,True
MIN_LEG_ATR_MULT,2.5,False,absolute,NZDUSD,143,14,29,47,25,20,9,-4.668,-1167.0,0.2222,-0.5187,6.4,True
MIN_LEG_ATR_MULT,1.0,False,absolute,USDCHF,203,26,26,63,64,29,22,-0.298,-74.5,0.3529,-0.0135,6.5,True
MIN_LEG_ATR_MULT,1.5,True,absolute,USDCHF,192,26,26,61,66,30,23,-1.298,-324.5,0.3333,-0.0564,6.37,True
MIN_LEG_ATR_MULT,2.0,False,absolute,USDCHF,170,25,26,58,68,30,21,-1.147,-286.75,0.3529,-0.0546,6.36,True
MIN_LEG_ATR_MULT,2.5,False,absolute,USDCHF,145,26,25,59,65,31,22,-1.963,-490.75,0.2941,-0.0892,6.32,True
MIN_LEG_ATR_MULT,1.0,False,absolute,NAS100,189,28,35,65,74,32,13,-5.692,-1423.0,0.1818,-0.4378,5.296,True
MIN_LEG_ATR_MULT,1.5,True,absolute,NAS100,176,26,32,63,73,28,12,-7.298,-1824.5,0.1,-0.6082,5.232,True
MIN_LEG_ATR_MULT,2.0,False,absolute,NAS100,151,25,30,67,65,27,11,-7.298,-1824.5,0.1,-0.6635,5.257,True
MIN_LEG_ATR_MULT,2.5,False,absolute,NAS100,128,25,27,68,59,29,11,-8.298,-2074.5,0.0909,-0.7544,5.104,True
MIN_LEG_ATR_MULT,1.0,False,absolute,GOLD,195,24,32,64,59,26,13,4.04,1010.0,0.5,0.3108,5.61,True
MIN_LEG_ATR_MULT,1.5,True,absolute,GOLD,178,24,34,61,59,26,13,4.316,1079.0,0.5,0.332,5.645,True
MIN_LEG_ATR_MULT,2.0,False,absolute,GOLD,147,22,30,55,56,25,12,0.075,18.75,0.3636,0.0062,5.642,True
MIN_LEG_ATR_MULT,2.5,False,absolute,GOLD,128,19,25,45,39,23,12,1.075,268.75,0.4,0.0896,5.676,True
