pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,mfe_r,mae_r,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_age_h1_bars,pd_zone,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,fvg_present,sweep_present,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,alert_bar_ts,alert_seq,bos_timestamp,bias,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,killzone_blocked,killzone_windows
EURUSD,2024-08-19T15:00:00+00:00,,,NY,bullish,BOS BOS,proximal,1.10473,1.10335,1.10914,,3.75,,never_filled,,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,3,discount,4.0,3.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2024-08-19T12:00:00+00:00,BOS,BOS,False,False,False,,,,,False,15,2024-08-19T14:00:00+00:00,1,2024-08-19T14:00:00+00:00,LONG,no_fvg,London,NY,True,False,never_filled,False,"07:00-10:00 UTC, 12:00-17:00 UTC"
EURUSD,2024-08-19T15:00:00+00:00,,,NY,bullish,BOS BOS,50pct,1.10424,1.10335,1.10914,,7.101,,never_filled,,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,3,discount,4.0,3.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2024-08-19T12:00:00+00:00,BOS,BOS,False,False,False,,,,,False,15,2024-08-19T14:00:00+00:00,1,2024-08-19T14:00:00+00:00,LONG,no_fvg,London,NY,True,False,never_filled,False,"07:00-10:00 UTC, 12:00-17:00 UTC"
EURUSD,2024-08-20T13:00:00+00:00,,,NY,bullish,BOS BOS,proximal,1.10852,1.10739,1.11309,1.11359,4.87,5.4,never_filled,,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,4,discount,4.0,3.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2024-08-20T09:00:00+00:00,BOS,BOS,False,False,False,,,,,False,13,2024-08-20T12:00:00+00:00,1,2024-08-20T12:00:00+00:00,LONG,no_fvg,London,NY,True,False,never_filled,False,"07:00-10:00 UTC, 12:00-17:00 UTC"
EURUSD,2024-08-20T13:00:00+00:00,,,NY,bullish,BOS BOS,50pct,1.10816,1.10739,1.11309,1.11359,8.649,9.526,never_filled,,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,4,discount,4.0,3.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2024-08-20T09:00:00+00:00,BOS,BOS,False,False,False,,,,,False,13,2024-08-20T12:00:00+00:00,1,2024-08-20T12:00:00+00:00,LONG,no_fvg,London,NY,True,False,never_filled,False,"07:00-10:00 UTC, 12:00-17:00 UTC"
EURUSD,2024-08-21T16:00:00+00:00,2024-08-22T07:00:00+00:00,2024-08-22T14:00:00+00:00,NY,bullish,BOS BOS,proximal,1.11309,1.11108,1.1162,,1.72,,sl,1.11108,-1.0,-1.0,-1.0,-250.0,1.545,-1.414,7,-1,-1,3,discount,2.0,1.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2024-08-21T13:00:00+00:00,BOS,BOS,False,False,False,,,,,False,16,2024-08-21T15:00:00+00:00,1,2024-08-21T15:00:00+00:00,LONG,no_fvg,NY,London,True,True,Both,False,"07:00-10:00 UTC, 12:00-17:00 UTC"
EURUSD,2024-08-21T16:00:00+00:00,2024-08-22T13:00:00+00:00,2024-08-22T14:00:00+00:00,NY,bullish,BOS BOS,50pct,1.11229,1.11108,1.1162,,3.871,,sl,1.11108,-1.0,-1.0,-1.0,-250.0,1.789,-1.688,1,-1,-1,3,discount,2.0,1.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2024-08-21T13:00:00+00:00,BOS,BOS,False,False,False,,,,,False,16,2024-08-21T15:00:00+00:00,1,2024-08-21T15:00:00+00:00,LONG,no_fvg,NY,NY,True,True,Both,False,"07:00-10:00 UTC, 12:00-17:00 UTC"
EURUSD,2024-08-22T07:00:00+00:00,2024-08-22T13:00:00+00:00,2024-08-22T14:00:00+00:00,London,bullish,BOS BOS,proximal,1.11259,1.11096,1.1162,,2.51,,sl,1.11096,-1.0,-1.0,-1.0,-250.0,1.144,-1.437,1,-1,-1,20,discount,3.0,1.0,0.0,1.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2024-08-21T11:00:00+00:00,BOS,BOS,True,False,False,,,,,False,7,2024-08-22T06:00:00+00:00,1,2024-08-21T15:00:00+00:00,LONG,fresh,London,NY,False,True,Fill only,False,"07:00-10:00 UTC, 12:00-17:00 UTC"
EURUSD,2024-08-22T07:00:00+00:00,2024-08-22T13:00:00+00:00,2024-08-22T14:00:00+00:00,London,bullish,BOS BOS,50pct,1.11198,1.11096,1.1162,,5.146,,sl,1.11096,-1.0,-1.0,-1.0,-250.0,2.426,-1.698,1,-1,-1,20,discount,3.0,1.0,0.0,1.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2024-08-21T11:00:00+00:00,BOS,BOS,True,False,False,,,,,False,7,2024-08-22T06:00:00+00:00,1,2024-08-21T15:00:00+00:00,LONG,fresh,London,NY,False,True,Fill only,False,"07:00-10:00 UTC, 12:00-17:00 UTC"
USDJPY,2024-08-19T00:00:00+00:00,2024-08-19T01:00:00+00:00,2024-08-19T03:00:00+00:00,Asia,bullish,CHoCH CHoCH,proximal,147.384,147.153,147.813,147.901,2.03,2.45,sl,147.153,-1.0,-1.0,-1.0,-250.0,2.16,-4.662,2,-1,-1,36,discount,6.5,3.0,1.5,1.0,1.0,0.0,"structure,sweep,fvg,freshness",False,h1_only,2024-08-15T10:00:00+00:00,CHoCH,CHoCH,True,True,False,,,,,True,0,2024-08-18T23:00:00+00:00,1,2024-08-15T12:00:00+00:00,LONG,fresh,London,Asia,False,False,Neither,True,"03:30-07:00 UTC, 07:00-10:00 UTC, 12:00-17:00 UTC"
USDJPY,2024-08-19T00:00:00+00:00,2024-08-19T03:00:00+00:00,2024-08-19T03:00:00+00:00,Asia,bullish,CHoCH CHoCH,50pct,147.288,147.153,147.813,147.901,4.565,5.33,sl,147.153,-1.0,-1.0,-1.0,-250.0,0.637,-7.267,0,-1,-1,36,discount,6.5,3.0,1.5,1.0,1.0,0.0,"structure,sweep,fvg,freshness",False,h1_only,2024-08-15T10:00:00+00:00,CHoCH,CHoCH,True,True,False,,,,,True,0,2024-08-18T23:00:00+00:00,1,2024-08-15T12:00:00+00:00,LONG,fresh,London,Asia,False,True,Fill only,True,"03:30-07:00 UTC, 07:00-10:00 UTC, 12:00-17:00 UTC"
USDJPY,2024-08-19T02:00:00+00:00,,,Asia,bearish,BOS BOS,proximal,147.822,148.092,147.174,147.131,2.59,2.76,never_filled,,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,3,discount,4.0,3.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2024-08-18T23:00:00+00:00,BOS,BOS,False,False,False,,,,,True,2,2024-08-19T01:00:00+00:00,1,2024-08-19T01:00:00+00:00,SHORT,no_fvg,Other,Asia,False,False,never_filled,True,"03:30-07:00 UTC, 07:00-10:00 UTC, 12:00-17:00 UTC"
USDJPY,2024-08-19T02:00:00+00:00,,,Asia,bearish,BOS BOS,50pct,147.937,148.092,147.174,147.131,5.652,5.97,never_filled,,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,3,discount,4.0,3.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2024-08-18T23:00:00+00:00,BOS,BOS,False,False,False,,,,,True,2,2024-08-19T01:00:00+00:00,1,2024-08-19T01:00:00+00:00,SHORT,no_fvg,Other,Asia,False,False,never_filled,True,"03:30-07:00 UTC, 07:00-10:00 UTC, 12:00-17:00 UTC"
USDJPY,2024-08-19T04:00:00+00:00,2024-08-19T05:00:00+00:00,2024-08-19T05:00:00+00:00,Asia,bullish,CHoCH CHoCH,proximal,146.226,145.582,147.185,147.321,1.54,1.75,sl,145.582,-1.0,-1.0,-1.0,-250.0,0.11,-1.27,0,-1,-1,161,discount,4.0,4.0,0.0,0.0,0.0,0.0,structure,False,h1_only,2024-08-08T07:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,4,2024-08-19T03:00:00+00:00,1,2024-08-08T14:00:00+00:00,LONG,stale,London,Asia,True,True,Both,False,"03:30-07:00 UTC, 07:00-10:00 UTC, 12:00-17:00 UTC"
USDJPY,2024-08-19T04:00:00+00:00,2024-08-19T05:00:00+00:00,2024-08-19T05:00:00+00:00,Asia,bullish,CHoCH CHoCH,50pct,145.924,145.582,147.185,147.321,3.916,4.339,sl,145.582,-1.0,-1.0,-1.0,-250.0,1.091,-1.509,0,-1,-1,161,discount,4.0,4.0,0.0,0.0,0.0,0.0,structure,False,h1_only,2024-08-08T07:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,4,2024-08-19T03:00:00+00:00,1,2024-08-08T14:00:00+00:00,LONG,stale,London,Asia,True,True,Both,False,"03:30-07:00 UTC, 07:00-10:00 UTC, 12:00-17:00 UTC"
USDJPY,2024-08-19T06:00:00+00:00,,,Asia,bullish,BOS BOS,proximal,144.82,144.09699999999998,146.226,146.296,2.0,2.1,never_filled,,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,198,discount,5.0,3.0,0.0,1.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2024-08-06T20:00:00+00:00,BOS,BOS,True,False,False,,,,,False,6,2024-08-19T05:00:00+00:00,1,2024-08-07T01:00:00+00:00,LONG,fresh,NY,Asia,False,False,never_filled,False,"03:30-07:00 UTC, 07:00-10:00 UTC, 12:00-17:00 UTC"
USDJPY,2024-08-19T06:00:00+00:00,,,Asia,bullish,BOS BOS,50pct,144.479,144.09699999999998,146.226,146.296,4.826,5.019,never_filled,,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,198,discount,5.0,3.0,0.0,1.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2024-08-06T20:00:00+00:00,BOS,BOS,True,False,False,,,,,False,6,2024-08-19T05:00:00+00:00,1,2024-08-07T01:00:00+00:00,LONG,fresh,NY,Asia,False,False,never_filled,False,"03:30-07:00 UTC, 07:00-10:00 UTC, 12:00-17:00 UTC"
USDJPY,2024-08-20T04:00:00+00:00,2024-08-20T07:00:00+00:00,2024-08-20T12:00:00+00:00,Asia,bullish,CHoCH CHoCH,proximal,146.723,146.134,147.58,147.614,1.51,1.57,sl,146.134,-1.0,-1.0,-1.0,-250.0,0.8,-1.019,5,-1,-1,4,discount,7.0,4.0,0.0,2.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2024-08-20T00:00:00+00:00,CHoCH,CHoCH,True,False,False,,,,,False,4,2024-08-20T03:00:00+00:00,1,2024-08-20T03:00:00+00:00,LONG,fresh,Asia,London,False,True,Fill only,False,"03:30-07:00 UTC, 07:00-10:00 UTC, 12:00-17:00 UTC"
USDJPY,2024-08-20T04:00:00+00:00,2024-08-20T07:00:00+00:00,2024-08-20T12:00:00+00:00,Asia,bullish,CHoCH CHoCH,50pct,146.449,146.134,147.58,147.614,3.834,3.949,sl,146.134,-1.0,-1.0,-1.0,-250.0,2.365,-1.035,5,-1,-1,4,discount,7.0,4.0,0.0,2.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2024-08-20T00:00:00+00:00,CHoCH,CHoCH,True,False,False,,,,,False,4,2024-08-20T03:00:00+00:00,1,2024-08-20T03:00:00+00:00,LONG,fresh,Asia,London,False,True,Fill only,False,"03:30-07:00 UTC, 07:00-10:00 UTC, 12:00-17:00 UTC"
USDJPY,2024-08-21T01:00:00+00:00,,,Asia,bullish,CHoCH CHoCH,proximal,144.193,143.987,144.889,145.293,3.74,5.91,never_filled,,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,264,discount,4.0,4.0,0.0,0.0,0.0,0.0,structure,False,h1_only,2024-08-05T21:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,True,1,2024-08-21T00:00:00+00:00,1,2024-08-05T23:00:00+00:00,LONG,stale,Other,Asia,False,False,never_filled,True,"03:30-07:00 UTC, 07:00-10:00 UTC, 12:00-17:00 UTC"
USDJPY,2024-08-21T01:00:00+00:00,,,Asia,bullish,CHoCH CHoCH,50pct,144.11,143.987,144.889,145.293,7.563,11.485,never_filled,,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,264,discount,4.0,4.0,0.0,0.0,0.0,0.0,structure,False,h1_only,2024-08-05T21:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,True,1,2024-08-21T00:00:00+00:00,1,2024-08-05T23:00:00+00:00,LONG,stale,Other,Asia,False,False,never_filled,True,"03:30-07:00 UTC, 07:00-10:00 UTC, 12:00-17:00 UTC"
USDJPY,2024-08-21T19:00:00+00:00,2024-08-22T11:00:00+00:00,2024-08-22T12:00:00+00:00,NY,bearish,BOS BOS,proximal,146.034,146.26500000000001,145.622,145.415,1.95,2.93,sl,146.26500000000001,-1.0,-1.0,-1.0,-250.0,1.299,-1.351,1,-1,-1,9,discount,6.0,3.0,0.0,2.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2024-08-21T10:00:00+00:00,BOS,BOS,True,False,False,,,,,True,19,2024-08-21T18:00:00+00:00,1,2024-08-21T18:00:00+00:00,SHORT,fresh,London,London,False,False,Neither,True,"03:30-07:00 UTC, 07:00-10:00 UTC, 12:00-17:00 UTC"
USDJPY,2024-08-21T19:00:00+00:00,2024-08-22T11:00:00+00:00,2024-08-22T12:00:00+00:00,NY,bearish,BOS BOS,50pct,146.13,146.26500000000001,145.622,145.415,4.417,6.217,sl,146.26500000000001,-1.0,-1.0,-1.0,-250.0,2.933,-1.6,1,-1,-1,9,discount,6.0,3.0,0.0,2.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2024-08-21T10:00:00+00:00,BOS,BOS,True,False,False,,,,,True,19,2024-08-21T18:00:00+00:00,1,2024-08-21T18:00:00+00:00,SHORT,fresh,London,London,False,False,Neither,True,"03:30-07:00 UTC, 07:00-10:00 UTC, 12:00-17:00 UTC"
USDJPY,2024-08-22T09:00:00+00:00,,,London,bullish,CHoCH CHoCH,proximal,145.474,145.04299999999998,146.226,146.296,1.83,2.0,never_filled,,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,2,discount,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2024-08-22T07:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,9,2024-08-22T08:00:00+00:00,1,2024-08-22T08:00:00+00:00,LONG,no_fvg,London,London,True,False,never_filled,False,"03:30-07:00 UTC, 07:00-10:00 UTC, 12:00-17:00 UTC"
