setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_age_h1_bars,pd_zone,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,fvg_present,sweep_present,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,alert_bar_ts,alert_seq,bos_timestamp,bias,pd_alignment,pd_pct,break_tier,break_close_atr,break_excess,break_body_atr,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,killzone_blocked,killzone_windows
T0086,NZDUSD,2025-04-29T06:00:00+00:00,2025-04-29T13:00:00+00:00,2025-04-29T14:00:00+00:00,Asia,bullish,CHoCH CHoCH,50pct,0.59499,0.59387,0.59712,,2.958,,sl,0.59387,-1.0,-1.0,-1.0,-250.0,True,,0.57,-1.795,1,-1,-1,19,discount,6.0,4.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2025-04-28T11:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,6,bullish,with_trend,2025-04-29T05:00:00+00:00,1,2025-04-28T14:00:00+00:00,LONG,aligned,33.3,solid,1.05,1.59,2.39,no_fvg,London,NY,True,True,Both,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0087,NZDUSD,2025-04-29T14:00:00+00:00,,,NY,bearish,BOS BOS,proximal,0.59538,0.59693,0.59316,,1.94,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,2,discount,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2025-04-29T12:00:00+00:00,BOS,BOS,False,False,False,,,,,False,14,bearish,with_trend,2025-04-29T13:00:00+00:00,1,2025-04-29T13:00:00+00:00,SHORT,counter,40.4,marginal,0.79,1.39,1.39,no_fvg,London,NY,True,False,never_filled,False,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0088,NZDUSD,2025-04-29T14:00:00+00:00,,,NY,bearish,BOS BOS,50pct,0.59575,0.59693,0.59316,,3.321,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,2,discount,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2025-04-29T12:00:00+00:00,BOS,BOS,False,False,False,,,,,False,14,bearish,with_trend,2025-04-29T13:00:00+00:00,1,2025-04-29T13:00:00+00:00,SHORT,counter,47.1,marginal,0.79,1.39,1.39,no_fvg,London,NY,True,False,never_filled,False,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0089,NZDUSD,2025-05-08T07:00:00+00:00,,,London,bearish,BOS BOS,proximal,0.59652,0.5982099999999999,0.59439,,1.65,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,5,premium,6.0,1.0,0.0,2.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2025-05-08T02:00:00+00:00,BOS,BOS,True,False,False,,,,,False,7,bearish,with_trend,2025-05-08T06:00:00+00:00,1,2025-05-08T06:00:00+00:00,SHORT,aligned,58.9,solid,0.77,2.43,2.43,fresh,Asia,London,True,False,never_filled,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0090,NZDUSD,2025-05-08T07:00:00+00:00,,,London,bearish,BOS BOS,50pct,0.59696,0.5982099999999999,0.59439,,3.024,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,5,premium,6.0,1.0,0.0,2.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2025-05-08T02:00:00+00:00,BOS,BOS,True,False,False,,,,,False,7,bearish,with_trend,2025-05-08T06:00:00+00:00,1,2025-05-08T06:00:00+00:00,SHORT,aligned,65.8,solid,0.77,2.43,2.43,fresh,Asia,London,True,False,never_filled,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0091,NZDUSD,2025-05-19T10:00:00+00:00,,,London,bullish,BOS BOS,proximal,0.58893,0.5874,0.5907,,1.57,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,5,discount,6.0,3.0,0.0,1.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-05-19T05:00:00+00:00,BOS,BOS,True,False,False,,,,,False,10,bullish,with_trend,2025-05-19T09:00:00+00:00,1,2025-05-19T09:00:00+00:00,LONG,aligned,20.0,solid,1.7,1.74,1.74,fresh,Asia,London,False,False,never_filled,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0092,NZDUSD,2025-05-19T10:00:00+00:00,,,London,bullish,BOS BOS,50pct,0.58856,0.5874,0.5907,,2.816,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,5,discount,6.0,3.0,0.0,1.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-05-19T05:00:00+00:00,BOS,BOS,True,False,False,,,,,False,10,bullish,with_trend,2025-05-19T09:00:00+00:00,1,2025-05-19T09:00:00+00:00,LONG,aligned,9.8,solid,1.7,1.74,1.74,fresh,Asia,London,False,False,never_filled,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0093,NZDUSD,2025-05-19T16:00:00+00:00,2025-05-21T14:00:00+00:00,2025-05-21T22:00:00+00:00,NY,bearish,BOS BOS,proximal,0.59581,0.59781,0.59337,,1.52,,tp1,0.59337,1.22,1.52,0.0,305.0,True,,1.31,-0.531,8,8,-1,78,premium,5.0,1.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-05-14T09:00:00+00:00,BOS,BOS,True,False,False,,,,,False,16,bullish,against_trend,2025-05-19T15:00:00+00:00,1,2025-05-14T14:00:00+00:00,SHORT,aligned,83.8,marginal,0.4,1.09,1.09,fresh,London,NY,False,True,Fill only,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0094,NZDUSD,2025-05-19T16:00:00+00:00,2025-05-21T15:00:00+00:00,2025-05-21T22:00:00+00:00,NY,bearish,BOS BOS,50pct,0.59641,0.59781,0.59337,,3.04,,tp1,0.59337,2.171,3.04,0.0,542.75,True,,2.3,-0.33,7,7,-1,78,premium,5.0,1.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-05-14T09:00:00+00:00,BOS,BOS,True,False,False,,,,,False,16,bullish,against_trend,2025-05-19T15:00:00+00:00,1,2025-05-14T14:00:00+00:00,SHORT,aligned,91.6,marginal,0.4,1.09,1.09,fresh,London,NY,False,True,Fill only,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0095,NZDUSD,2025-05-21T15:00:00+00:00,2025-05-21T19:00:00+00:00,2025-05-22T01:00:00+00:00,NY,bullish,BOS BOS,proximal,0.59457,0.59292,0.59645,0.59705,1.51,1.99,sl,0.59292,-1.0,-1.0,-1.0,-250.0,True,,0.276,-1.22,6,-1,-1,4,premium,8.0,3.0,0.0,2.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2025-05-21T11:00:00+00:00,BOS,BOS,True,False,False,,,,,False,15,bullish,with_trend,2025-05-21T14:00:00+00:00,1,2025-05-21T14:00:00+00:00,LONG,counter,76.0,marginal,0.63,1.03,1.03,fresh,London,NY,True,False,OB only,False,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
