setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_raw,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,r_capture_ratio,sl_bar_was_sweep,sl_swept_then_tp1,sl_wick_depth_atr,sl_max_adverse_after_sweep_atr,bars_sl_to_tp1_touch,sl_recovered_to_entry,sl_distance_atr,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_to_fill_hours,bars_break_to_pullback,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,event_candle_delta,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,ob_range_atr,fvg_size_atr,impulse_leg_atr,atr_at_ob,ob_body_ratio,ob_walkback_depth,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,trend_pd_agree,structure_ranging_at_alert,flip_pending_at_alert,flip_pending_dir_at_alert,leg_extreme_at_alert,leg_retrace_pct_at_alert,leg_extreme_clipped,dr_ceiling_broken_at_ob,dr_floor_broken_at_ob,alert_bar_ts,alert_seq,bos_timestamp,bias,be_arm_bar_touched_entry,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,setup_badge,setup_badge_kind,killzone_blocked,killzone_windows
A7113,GOLD,2016-05-17T11:00:00+00:00,2016-05-17T15:00:00+00:00,2016-05-17T15:00:00+00:00,London,bearish,CHoCH CHoCH,proximal,1278.43,1281.37,1281.375,1271.27,,2.44,,sl,1281.375,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,True,True,0.229,0.334,16.0,True,1.099,0,-1,-1,12.0,6.0,8,premium,0.0,False,6.0,3.0,0.0,2.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2016-05-17T03:00:00+00:00,CHoCH,CHoCH,0,holding,True,pristine,False,0,0.31,1.17,0.78,marginal,0.91,0.593,0.754,2.68,0.205,1,False,,,,,False,11,bullish,ambiguous,False,False,True,bearish,1269.02,220.4,False,False,False,2016-05-17T10:00:00+00:00,1,2016-05-17T09:00:00+00:00,SHORT,,aligned,75.5,False,0,fresh,Asia,NY,False,True,Fill only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A7114,GOLD,2016-05-17T16:00:00+00:00,2016-05-18T06:00:00+00:00,2016-05-18T08:00:00+00:00,NY,bullish,Range BOS,proximal,1273.97,1271.43,1271.425,1278.51,,1.79,,sl,1271.425,-1.0,-1.0,-1.0,-250.0,True,,0.373,-0.825,-2.681,True,False,0.217,7.579,,True,0.695,2,-1,-1,18.0,14.0,4,discount,0.0,,8.0,4.0,0.0,2.0,1.0,1.0,"structure,fvg,freshness",False,h1_only,2016-05-17T12:00:00+00:00,BOS,Range,0,holding,True,pristine,False,0,0.07,1.2,1.2,marginal,0.557,0.42,2.62,3.663571,0.392,0,False,,,,,False,16,bullish,with_trend,True,False,False,,1281.99,74.8,False,True,False,2016-05-17T15:00:00+00:00,1,2016-05-17T15:00:00+00:00,LONG,,aligned,38.2,False,1,fresh,NY,London,True,True,Both,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A7115,GOLD,2016-05-18T07:00:00+00:00,2016-05-18T07:00:00+00:00,2016-05-18T08:00:00+00:00,London,bearish,CHoCH CHoCH,proximal,1274.36,1276.47,1276.4750000000001,1270.92,,1.63,,tp1,1270.92,1.626,1.63,0.0,406.5,True,,1.626,-0.0,1.0,,,,,,,0.747,1,1,-1,2.0,1.0,2,discount,0.0,False,4.0,3.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2016-05-18T05:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,0,0.07,0.69,0.46,marginal,0.569,,1.021,2.831429,0.547,0,False,,,,,False,7,bullish,ambiguous,False,False,True,bearish,1273.03,34.0,False,False,False,2016-05-18T06:00:00+00:00,1,2016-05-18T06:00:00+00:00,SHORT,,counter,45.1,False,0,no_fvg,Asia,London,False,True,Fill only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A7116,GOLD,2016-05-18T16:00:00+00:00,2016-05-18T16:00:00+00:00,2016-05-18T19:00:00+00:00,NY,bearish,Confirmation BOS,proximal,1272.03,1276.01,1276.015,1265.47,,1.65,,tp1,1265.47,1.646,1.65,5.107,411.5,True,,1.646,-0.467,1.0,,,,,,,1.12,3,3,-1,4.0,1.0,4,discount,0.0,,6.0,4.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2016-05-18T12:00:00+00:00,BOS,Confirm,0,holding,False,none,False,0,0.09,0.95,0.95,marginal,0.978,,1.937,3.557857,0.822,1,False,,,,,False,16,bearish,with_trend,False,False,False,,1266.51,52.9,False,False,False,2016-05-18T15:00:00+00:00,1,2016-05-18T15:00:00+00:00,SHORT,,counter,25.4,False,1,no_fvg,NY,NY,True,False,OB only,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A7117,GOLD,2016-05-19T07:00:00+00:00,2016-05-19T08:00:00+00:00,2016-05-19T12:00:00+00:00,London,bearish,BOS BOS,proximal,1256.17,1259.53,1259.535,1252.38,,1.13,,tp1,1252.38,1.126,1.13,0.0,281.5,True,,1.126,-0.0,1.0,,,,,,,0.83,4,4,-1,5.0,2.0,4,discount,0.0,,4.0,3.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2016-05-19T03:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.47,1.12,1.12,marginal,0.705,,4.662,4.054286,0.472,1,False,,,,,False,7,bearish,with_trend,False,False,False,,1252.38,17.6,False,False,True,2016-05-19T06:00:00+00:00,1,2016-05-19T06:00:00+00:00,SHORT,False,counter,13.3,False,3,no_fvg,Asia,London,False,True,Fill only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A7118,GOLD,2016-05-19T14:00:00+00:00,2016-05-19T16:00:00+00:00,2016-05-20T00:00:00+00:00,NY,bearish,BOS BOS,proximal,1252.74,1256.86,1256.865,1244.67,,1.96,,sl,1256.865,-1.0,-1.0,-1.0,-250.0,True,,0.49,-0.95,-2.041,True,True,0.675,0.965,37.0,True,1.223,7,-1,-1,8.0,3.0,6,discount,0.0,,5.0,3.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2016-05-19T08:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,2.01,2.14,2.14,solid,1.073,,6.413,3.372857,0.494,0,False,,,,,False,14,bearish,with_trend,False,False,False,,1244.67,27.6,False,False,True,2016-05-19T13:00:00+00:00,1,2016-05-19T13:00:00+00:00,SHORT,,counter,22.3,False,4,no_fvg,London,NY,True,False,OB only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A7119,GOLD,2016-05-20T16:00:00+00:00,2016-05-23T02:00:00+00:00,2016-05-23T14:00:00+00:00,NY,bearish,BOS BOS,proximal,1254.96,1258.08,1258.085,1243.66,,3.62,,tp1,1243.66,3.616,3.62,8.79,904.0,True,,3.616,-0.16,1.0,,,,,,,1.126,12,12,-1,62.0,10.0,4,premium,0.0,,7.0,3.0,0.0,2.0,1.0,1.0,"structure,fvg,freshness",False,h1_only,2016-05-20T12:00:00+00:00,BOS,BOS,0,holding,True,pristine,False,0,0.14,0.76,0.76,marginal,0.944,0.331,2.407,2.775714,0.408,1,False,,,,,False,16,bearish,with_trend,True,False,False,,1250.29,52.8,False,False,True,2016-05-20T15:00:00+00:00,1,2016-05-20T15:00:00+00:00,SHORT,False,aligned,52.8,False,5,fresh,NY,Asia,True,False,OB only,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A7120,GOLD,2016-05-23T07:00:00+00:00,,,London,bearish,BOS BOS,proximal,1253.35,1256.44,1256.4450000000002,1243.66,,3.14,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.29,0,-1,-1,,,5,premium,0.0,,4.0,3.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2016-05-23T02:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.05,2.1,2.1,solid,1.08,,2.443,2.398571,0.541,2,False,,,,,False,7,bearish,with_trend,True,False,False,,1249.88,57.3,False,False,False,2016-05-23T06:00:00+00:00,1,2016-05-23T06:00:00+00:00,SHORT,,aligned,64.0,False,6,no_fvg,Asia,London,False,False,never_filled,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A7121,GOLD,2016-05-23T12:00:00+00:00,2016-05-23T12:00:00+00:00,2016-05-23T14:00:00+00:00,NY,bearish,Range BOS,proximal,1249.64,1252.18,1252.1850000000002,1243.66,,2.35,,tp1,1243.66,2.35,2.35,0.0,587.5,True,,2.35,-0.114,1.0,,,,,,,1.093,2,2,-1,2.0,1.0,2,discount,0.0,,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2016-05-23T10:00:00+00:00,BOS,Range,0,holding,False,none,False,0,0.27,0.95,0.95,marginal,0.876,,2.791,2.329286,0.48,0,False,,,,,False,12,bearish,with_trend,False,False,False,,1247.8,22.6,False,False,False,2016-05-23T11:00:00+00:00,1,2016-05-23T11:00:00+00:00,SHORT,True,counter,12.5,False,1,no_fvg,London,NY,False,True,Fill only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A7122,GOLD,2016-05-25T11:00:00+00:00,2016-05-26T02:00:00+00:00,2016-05-26T02:00:00+00:00,London,bearish,BOS BOS,proximal,1227.95,1229.38,1229.3850000000002,1223.26,,3.28,,sl,1229.3850000000002,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,False,False,1.936,,13.0,,0.581,0,-1,-1,22.0,15.0,7,discount,0.0,,5.0,3.0,0.0,1.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2016-05-25T04:00:00+00:00,BOS,BOS,0,holding,True,partial,False,0,0.89,0.91,0.91,marginal,0.376,0.518,2.76,2.471429,0.204,0,False,,,,,False,11,bearish,with_trend,False,False,False,,1220.48,77.8,False,False,True,2016-05-25T10:00:00+00:00,1,2016-05-25T10:00:00+00:00,SHORT,,counter,23.6,False,9,fresh,Asia,Asia,False,False,Neither,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
