feature,split,bucket,edge_lo,edge_hi,n,expR,ci_lo,ci_hi,ci_excludes_0,wr_pct,totR,pos_quarters,level
ob_body_ratio,DISCOVERY,3.0,0.537,0.683,2262,-0.0541,-0.105,-0.004,True,35.3,-122.33,12/36,
ob_body_ratio,DISCOVERY,4.0,0.683,1.0,2261,-0.0518,-0.102,-0.002,True,35.2,-117.21,12/36,
ob_body_ratio,VALIDATION,0.0,0.2,0.3076,1185,-0.0488,-0.116,0.02,False,36.7,-57.81,6/20,
ob_body_ratio,VALIDATION,1.0,0.3076,0.417,1223,-0.0836,-0.152,-0.015,True,34.6,-102.23,6/20,
ob_body_ratio,VALIDATION,2.0,0.417,0.537,1279,-0.0108,-0.077,0.057,False,37.4,-13.79,9/20,
ob_body_ratio,VALIDATION,3.0,0.537,0.683,1326,-0.0957,-0.157,-0.033,True,34.4,-126.93,1/20,
ob_body_ratio,VALIDATION,4.0,0.683,1.0,1287,-0.0535,-0.115,0.012,False,36.1,-68.87,6/20,
leg_retrace_pct_at_alert,DISCOVERY,0.0,1.6,35.6,2218,-0.0179,-0.069,0.032,False,39.7,-39.75,17/36,
leg_retrace_pct_at_alert,DISCOVERY,1.0,35.6,52.5,2196,-0.0382,-0.09,0.016,False,35.6,-83.95,12/36,
leg_retrace_pct_at_alert,DISCOVERY,2.0,52.5,69.5,2207,-0.1359,-0.185,-0.085,True,30.6,-299.91,7/36,
leg_retrace_pct_at_alert,DISCOVERY,3.0,69.5,87.8,2201,-0.0488,-0.103,0.006,False,33.5,-107.33,15/36,
leg_retrace_pct_at_alert,DISCOVERY,4.0,87.8,10131.6,2202,-0.0426,-0.095,0.01,False,33.8,-93.88,12/36,
leg_retrace_pct_at_alert,VALIDATION,0.0,1.6,35.6,1358,-0.0035,-0.064,0.059,False,41.4,-4.74,10/20,
leg_retrace_pct_at_alert,VALIDATION,1.0,35.6,52.5,1163,-0.0799,-0.147,-0.011,True,34.7,-92.89,6/20,
leg_retrace_pct_at_alert,VALIDATION,2.0,52.5,69.5,1200,-0.0868,-0.154,-0.02,True,34.4,-104.14,3/20,
leg_retrace_pct_at_alert,VALIDATION,3.0,69.5,87.8,1174,-0.0916,-0.159,-0.022,True,32.8,-107.52,4/20,
leg_retrace_pct_at_alert,VALIDATION,4.0,87.8,10131.6,1233,-0.0406,-0.107,0.028,False,35.2,-50.11,9/20,
bos_tag,DISCOVERY,,,,8163,-0.0489,-0.076,-0.021,True,35.3,-398.91,9/36,BOS
bos_tag,DISCOVERY,,,,3166,-0.0746,-0.117,-0.03,True,32.8,-236.23,14/36,CHoCH
bos_tag,VALIDATION,,,,4582,-0.0573,-0.092,-0.023,True,36.5,-262.62,7/20,BOS
bos_tag,VALIDATION,,,,1718,-0.0623,-0.119,-0.004,True,34.1,-107.0,5/20,CHoCH
bos_tier,DISCOVERY,,,,6560,-0.0384,-0.068,-0.008,True,36.0,-251.78,11/36,BOS
bos_tier,DISCOVERY,,,,3166,-0.0746,-0.117,-0.03,True,32.8,-236.23,14/36,CHoCH
bos_tier,DISCOVERY,,,,1550,-0.0832,-0.149,-0.017,True,32.6,-129.03,12/36,Confirm
bos_tier,DISCOVERY,,,,53,-0.3415,-0.566,-0.108,True,32.6,-18.1,0/0,other
bos_tier,VALIDATION,,,,3635,-0.0704,-0.109,-0.032,True,36.1,-255.95,5/20,BOS
bos_tier,VALIDATION,,,,1718,-0.0623,-0.119,-0.004,True,34.1,-107.0,5/20,CHoCH
bos_tier,VALIDATION,,,,900,0.0079,-0.07,0.088,False,38.5,7.15,12/20,Confirm
bos_tier,VALIDATION,,,,47,-0.294,-0.56,-0.001,True,28.2,-13.82,0/0,other
bos_verdict,DISCOVERY,,,,624,-0.0626,-0.159,0.039,False,36.5,-39.06,1/2,fading
bos_verdict,DISCOVERY,,,,10705,-0.0557,-0.079,-0.032,True,34.5,-596.08,10/36,holding
bos_verdict,VALIDATION,,,,365,0.0312,-0.085,0.153,False,41.9,11.39,0/0,fading
bos_verdict,VALIDATION,,,,5935,-0.0642,-0.094,-0.034,True,35.5,-381.02,6/20,holding
event,DISCOVERY,,,,6560,-0.0384,-0.068,-0.008,True,36.0,-251.78,11/36,BOS BOS
event,DISCOVERY,,,,3166,-0.0746,-0.117,-0.03,True,32.8,-236.23,14/36,CHoCH CHoCH
event,DISCOVERY,,,,1550,-0.0832,-0.149,-0.017,True,32.6,-129.03,12/36,Confirmation BOS
event,DISCOVERY,,,,53,-0.3415,-0.566,-0.108,True,32.6,-18.1,0/0,other
event,VALIDATION,,,,3635,-0.0704,-0.109,-0.032,True,36.1,-255.95,5/20,BOS BOS
event,VALIDATION,,,,1718,-0.0623,-0.119,-0.004,True,34.1,-107.0,5/20,CHoCH CHoCH
event,VALIDATION,,,,900,0.0079,-0.07,0.088,False,38.5,7.15,12/20,Confirmation BOS
event,VALIDATION,,,,47,-0.294,-0.56,-0.001,True,28.2,-13.82,0/0,other
reversed_from_extreme,DISCOVERY,,,,854,-0.0305,-0.117,0.059,False,34.8,-26.04,2/6,False
reversed_from_extreme,DISCOVERY,,,,2312,-0.0909,-0.141,-0.039,True,32.1,-210.19,11/36,True
reversed_from_extreme,DISCOVERY,,,,8163,-0.0489,-0.076,-0.021,True,35.3,-398.91,9/36,other
reversed_from_extreme,VALIDATION,,,,490,-0.0384,-0.146,0.073,False,35.2,-18.8,1/3,False
reversed_from_extreme,VALIDATION,,,,1228,-0.0718,-0.138,-0.004,True,33.6,-88.21,5/20,True
reversed_from_extreme,VALIDATION,,,,4582,-0.0573,-0.092,-0.023,True,36.5,-262.62,7/20,other
fvg_present,DISCOVERY,,,,6890,-0.0635,-0.092,-0.035,True,35.5,-437.4,10/36,False
fvg_present,DISCOVERY,,,,4439,-0.0445,-0.083,-0.006,True,33.3,-197.73,11/36,True
fvg_present,VALIDATION,,,,3912,-0.068,-0.104,-0.032,True,36.4,-265.89,5/20,False
fvg_present,VALIDATION,,,,2388,-0.0434,-0.094,0.006,False,34.9,-103.73,5/20,True
fvg_mitigation,DISCOVERY,,,,1496,-0.0927,-0.154,-0.03,True,32.6,-138.66,10/34,full
fvg_mitigation,DISCOVERY,,,,5394,-0.0554,-0.087,-0.023,True,36.3,-298.74,13/36,none
fvg_mitigation,DISCOVERY,,,,1295,-0.0152,-0.085,0.057,False,34.5,-19.68,12/25,partial
fvg_mitigation,DISCOVERY,,,,3144,-0.0566,-0.103,-0.011,True,32.8,-178.06,11/36,pristine
fvg_mitigation,VALIDATION,,,,959,-0.0599,-0.134,0.016,False,35.7,-57.41,8/20,full
fvg_mitigation,VALIDATION,,,,2953,-0.0706,-0.113,-0.028,True,36.7,-208.49,4/20,none
fvg_mitigation,VALIDATION,,,,699,-0.0358,-0.128,0.056,False,35.7,-25.0,7/19,partial
fvg_mitigation,VALIDATION,,,,1689,-0.0466,-0.105,0.012,False,34.5,-78.73,6/20,pristine
fvg_state,DISCOVERY,,,,5241,-0.0519,-0.087,-0.017,True,33.3,-272.0,14/36,fresh
fvg_state,DISCOVERY,,,,5394,-0.0554,-0.087,-0.023,True,36.3,-298.74,13/36,no_fvg
fvg_state,DISCOVERY,,,,694,-0.0928,-0.183,-0.0,False,31.9,-64.4,0/0,stale
fvg_state,VALIDATION,,,,2905,-0.0403,-0.084,0.003,False,35.5,-117.05,5/20,fresh
fvg_state,VALIDATION,,,,2953,-0.0706,-0.113,-0.028,True,36.7,-208.49,4/20,no_fvg
fvg_state,VALIDATION,,,,442,-0.0997,-0.208,0.012,False,32.3,-44.09,1/1,stale
pd_zone,DISCOVERY,,,,5399,-0.0427,-0.076,-0.008,True,35.1,-230.49,10/36,discount
pd_zone,DISCOVERY,,,,5930,-0.0682,-0.099,-0.037,True,34.2,-404.64,10/36,premium
