pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,mfe_r,mae_r,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_age_h1_bars,pd_zone,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,fvg_present,sweep_present,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,bias,killzone_blocked,killzone_windows
EURUSD,2026-04-02T01:00:00+00:00,2026-04-02T01:00:00+00:00,2026-04-02T01:00:00+00:00,Asia,bearish,Minor BOS,proximal,1.15902,1.16029,1.15634,,2.1,,sl_collision,1.16029,-1.0,2.1,-1.0,-250.0,3.164,-1.269,0,0,-1,1,discount,3.0,1.5,0.0,0.0,1.5,0.0,"structure,freshness",True,h1_only,2026-04-02T00:00:00+00:00,BOS,Minor,False,False,False,,,,,True,1,SHORT,True,07:00-16:30 UTC
EURUSD,2026-04-02T01:00:00+00:00,2026-04-02T01:00:00+00:00,2026-04-02T01:00:00+00:00,Asia,bearish,Minor BOS,50pct,1.15956,1.16029,1.15634,,4.411,,sl_collision,1.16029,-1.0,4.411,-1.0,-250.0,6.245,-1.468,0,0,-1,1,discount,3.0,1.5,0.0,0.0,1.5,0.0,"structure,freshness",True,h1_only,2026-04-02T00:00:00+00:00,BOS,Minor,False,False,False,,,,,True,1,SHORT,True,07:00-16:30 UTC
EURUSD,2026-04-02T07:00:00+00:00,2026-04-02T07:00:00+00:00,2026-04-02T14:00:00+00:00,London,bearish,Minor BOS,proximal,1.15194,1.15413,1.14705,1.14639,2.23,2.53,sl,1.15413,-1.0,-1.0,-1.0,-250.0,0.302,-1.764,7,-1,-1,1,discount,3.5,1.5,0.0,0.0,1.5,0.5,"structure,freshness,killzone",False,h1_only,2026-04-02T06:00:00+00:00,BOS,Minor,False,False,False,,,,,False,7,SHORT,False,07:00-16:30 UTC
EURUSD,2026-04-02T07:00:00+00:00,2026-04-02T07:00:00+00:00,2026-04-02T14:00:00+00:00,London,bearish,Minor BOS,50pct,1.15294,1.15413,1.14705,1.14639,4.95,5.504,sl,1.15413,-1.0,-1.0,-1.0,-250.0,1.397,-2.405,7,-1,-1,1,discount,3.5,1.5,0.0,0.0,1.5,0.5,"structure,freshness,killzone",False,h1_only,2026-04-02T06:00:00+00:00,BOS,Minor,False,False,False,,,,,False,7,SHORT,False,07:00-16:30 UTC
EURUSD,2026-04-03T14:00:00+00:00,2026-04-03T14:00:00+00:00,2026-04-06T05:00:00+00:00,NY,bearish,Minor BOS,proximal,1.15314,1.1544,1.15115,,1.57,,sl,1.15314,0.0,1.57,0.0,0.0,1.688,-0.631,14,10,-1,1,discount,3.5,1.5,0.0,0.0,1.5,0.5,"structure,freshness,killzone",False,h1_only,2026-04-03T13:00:00+00:00,BOS,Minor,False,False,False,,,,,False,14,SHORT,False,07:00-16:30 UTC
EURUSD,2026-04-03T14:00:00+00:00,2026-04-03T14:00:00+00:00,2026-04-06T06:00:00+00:00,NY,bearish,Minor BOS,50pct,1.15367,1.1544,1.15115,,3.452,,sl,1.15367,0.0,3.452,0.0,0.0,3.64,-0.363,15,10,-1,1,discount,3.5,1.5,0.0,0.0,1.5,0.5,"structure,freshness,killzone",False,h1_only,2026-04-03T13:00:00+00:00,BOS,Minor,False,False,False,,,,,False,14,SHORT,False,07:00-16:30 UTC
EURUSD,2026-04-03T20:00:00+00:00,2026-04-03T20:00:00+00:00,2026-04-03T20:00:00+00:00,NY,bearish,Minor BOS,proximal,1.15181,1.15227,1.15101,,1.71,,sl,1.15227,-1.0,-1.0,-1.0,-250.0,0.004,-3.173,0,-1,-1,1,discount,3.0,1.5,0.0,0.0,1.5,0.0,"structure,freshness",False,h1_only,2026-04-03T19:00:00+00:00,BOS,Minor,False,False,False,,,,,True,20,SHORT,True,07:00-16:30 UTC
EURUSD,2026-04-03T20:00:00+00:00,2026-04-03T20:00:00+00:00,2026-04-03T20:00:00+00:00,NY,bearish,Minor BOS,50pct,1.15194,1.15227,1.15101,,2.818,,sl,1.15227,-1.0,-1.0,-1.0,-250.0,0.399,-4.029,0,-1,-1,1,discount,3.0,1.5,0.0,0.0,1.5,0.0,"structure,freshness",False,h1_only,2026-04-03T19:00:00+00:00,BOS,Minor,False,False,False,,,,,True,20,SHORT,True,07:00-16:30 UTC
EURUSD,2026-04-07T01:00:00+00:00,2026-04-07T01:00:00+00:00,2026-04-07T08:00:00+00:00,Asia,bearish,Minor BOS,proximal,1.15433,1.15573,1.15221,1.15207,1.52,1.61,sl,1.15573,-1.0,-1.0,-1.0,-250.0,1.042,-2.485,7,-1,-1,7,discount,3.0,1.5,0.0,0.0,1.5,0.0,"structure,freshness",False,h1_only,2026-04-06T18:00:00+00:00,BOS,Minor,False,False,False,,,,,True,1,SHORT,True,07:00-16:30 UTC
EURUSD,2026-04-07T01:00:00+00:00,2026-04-07T08:00:00+00:00,2026-04-07T08:00:00+00:00,Asia,bearish,Minor BOS,50pct,1.15493,1.15573,1.15221,1.15207,3.4,3.575,sl,1.15573,-1.0,-1.0,-1.0,-250.0,0.411,-3.599,0,-1,-1,7,discount,3.0,1.5,0.0,0.0,1.5,0.0,"structure,freshness",False,h1_only,2026-04-06T18:00:00+00:00,BOS,Minor,False,False,False,,,,,True,1,SHORT,True,07:00-16:30 UTC
EURUSD,2026-04-08T20:00:00+00:00,2026-04-08T20:00:00+00:00,2026-04-09T08:00:00+00:00,NY,bearish,Minor BOS,proximal,1.16496,1.16761,1.16063,1.15902,1.63,2.24,sl,1.16761,-1.0,-1.0,-1.0,-250.0,0.0,-1.077,12,-1,-1,1,premium,3.0,1.5,0.0,0.0,1.5,0.0,"structure,freshness",False,h1_only,2026-04-08T19:00:00+00:00,BOS,Minor,False,False,False,,,,,True,20,SHORT,True,07:00-16:30 UTC
EURUSD,2026-04-08T20:00:00+00:00,2026-04-08T20:00:00+00:00,2026-04-09T08:00:00+00:00,NY,bearish,Minor BOS,50pct,1.16618,1.16761,1.16063,1.15902,3.881,5.007,sl,1.16761,-1.0,-1.0,-1.0,-250.0,0.57,-1.143,12,-1,-1,1,premium,3.0,1.5,0.0,0.0,1.5,0.0,"structure,freshness",False,h1_only,2026-04-08T19:00:00+00:00,BOS,Minor,False,False,False,,,,,True,20,SHORT,True,07:00-16:30 UTC
