setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,entry_raw,sl_raw,sl_initial,tp1,tp1_raw,tp2,tp2_raw,tp1_rr,tp2_rr,tp1_wick,tp1_wick_rr,tp1_zone_source,tp2_wick,tp2_zone_source,tp_wick,tp_wick_rr,tp_nextpool,tp_nextpool_rr,tp_nextpool_zone_source,tp2_collapsed_to_tp1,tp_targets,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,r_capture_ratio,sl_bar_was_sweep,sl_swept_then_tp1,sl_wick_depth_atr,sl_max_adverse_after_sweep_atr,bars_sl_to_tp1_touch,sl_recovered_to_entry,sl_distance_atr,sl_dist_atr_at_alert,tp_dist_atr_at_alert,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_to_fill_hours,bars_break_to_pullback,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,event_candle_delta,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,is_mss,ob_range_atr,fvg_size_atr,impulse_leg_to_extreme_atr,atr_at_ob,atr_at_fill,ob_body_ratio,ob_walkback_depth,chop_at_alert,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,trend_pd_agree,structure_ranging_at_alert,flip_pending_at_alert,flip_pending_dir_at_alert,leg_extreme_at_alert,leg_extreme_clipped,dr_ceiling_broken_at_ob,dr_floor_broken_at_ob,day_state_at_fill,pdh_status_at_fill,pdl_status_at_fill,pwh_status_at_fill,pwl_status_at_fill,dist_next_pool_above_atr,dist_next_pool_below_atr,next_pool_above_tier,next_pool_below_tier,trade_toward_pool,last_sweep_age_h1,last_sweep_tier,eqh_above_dist_atr,eqh_above_size,eql_below_dist_atr,eql_below_size,eq_trade_toward,eq_sl_gap_atr,eq_sl_at_risk,eq_last_sweep_age_h1,eq_last_sweep_side,eq_intact_above_count,eq_intact_below_count,sweep2_present,sweep2_tier,sweep2_level,sweep2_pierce_atr,sweep2_rejection_ratio,sweep2_follow_atr,sweep2_pools_swept,sweep2_rn_aligned,sweep2_rn_dist_atr,sweep2_eq_size,sweep2_age_at_fill_h1,sweep2_tiers_checked,sweep2_sw_present,sweep2_sw_pierce_atr,sweep2_sw_rejection_ratio,sweep2_sw_follow_atr,sweep2_sw_rn_aligned,setup_liq_stop_present,setup_liq_stop_offset_atr,setup_liq_stop_tier,setup_liq_tp_present,setup_liq_tp_offset_atr,setup_liq_legextreme_swept,session_level_event,session_level_which,session_level_side,session_level_pair_relevant,alert_bar_ts,alert_seq,bos_timestamp,bias,be_arm_bar_touched_entry,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,leg_er_at_alert,setup_badge,setup_badge_kind,weekly_pd_position_at_alert,weekly_range_high_at_alert,weekly_range_low_at_alert,weekly_pd_zone_at_alert,pd_zone_agreement_at_alert,approach_speed_atr_at_fill,approach_body_ratio_at_fill,approach_er_at_fill,killzone_blocked,killzone_windows,news_fill,news_fill_event,news_fill_ccy,news_open,news_open_event
B6523,EURUSD,2020-02-03T08:00:00+00:00,,,London,bearish,CHoCH CHoCH,proximal,1.10793,1.10813,1.10867,1.10887,1.10779,1.10759,,,1.0,,1.10779,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.346,1.059,0.487,0,-1,-1,,,3,premium,1.0,True,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2020-02-03T05:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,0,0.68,1.16,0.77,marginal,False,0.487,,1.575,0.000699,,0.765,0,47.906,False,,,,,False,8,bullish,ambiguous,False,False,True,bearish,1.10703,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,0,,,,,"pd,eq,sw",False,,,,,False,,,False,,False,sweep,asia,low,True,2020-02-03T07:00:00+00:00,1,2020-02-03T07:00:00+00:00,SHORT,,aligned,79.8,False,0,no_fvg,Asia,London,False,False,never_filled,1.0,,,0.8754,1.10917,1.09922,premium,both_premium,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B6524,EURUSD,2020-02-03T15:00:00+00:00,2020-02-05T09:00:00+00:00,2020-02-05T11:00:00+00:00,NY,bullish,Confirmation BOS,proximal,1.1032,1.103,1.10194,1.10174,1.10386,1.10406,,,1.0,,1.10386,1.0,wick,,,,,,,,False,triple,sl,1.10174,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.979,,True,False,0.244,5.864,,False,1.228,1.497,1.022,2,-1,-1,121.0,69.0,31,discount,0.0,,9.0,4.0,0.0,2.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2020-01-31T08:00:00+00:00,BOS,Confirm,0,holding,True,pristine,False,0,0.67,0.85,0.85,marginal,,0.724,0.067,5.073,0.001189,0.000548,0.733,0,38.973,False,,,,,False,15,bullish,counter_trend,True,False,True,bearish,1.10903,False,True,False,INSIDE,intact,intact,swept,intact,0.059,3.349,PD,PW,True,58.0,PW,2.886,2.0,3.349,2.0,True,2.12,False,1.0,high,1.0,1.0,False,,,,,,0,,,,,"pd,eq,sw",False,,,,,True,-0.05,PW,False,,False,break,asia,high,True,2020-02-03T14:00:00+00:00,1,2020-01-31T12:00:00+00:00,LONG,,aligned,19.4,False,1,fresh,London,London,True,True,Both,1.0,,,0.4,1.10917,1.09922,discount,both_discount,-0.353,0.473,0.633,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B6525,EURUSD,2020-02-03T16:00:00+00:00,2020-02-05T13:00:00+00:00,2020-02-05T14:00:00+00:00,NY,bullish,CHoCH CHoCH,proximal,1.10154,1.10134,1.10075,1.10055,1.10173,1.10193,,,1.0,,1.10173,1.0,wick,,,,,,,,False,triple,sl,1.10055,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,False,,0.689,,,,1.177,0.817,0.403,1,-1,-1,151.0,100.0,58,discount,1.0,True,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2020-01-30T06:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,1,0.18,0.49,0.32,marginal,False,0.463,,3.078,0.000841,0.000769,0.949,0,37.141,False,,,,,False,16,bullish,counter_trend,True,False,True,bearish,1.10393,False,False,False,EXPANSION_DOWN,intact,broken,swept,intact,5.8,2.757,PD,PW,False,62.0,PW,5.8,2.0,,,True,,,26.0,low,1.0,0.0,False,,,,,,0,,,,,"pd,eq,sw",False,,,,,True,0.154,bare,False,,False,sweep,london,low,True,2020-02-03T15:00:00+00:00,1,2020-01-30T09:00:00+00:00,LONG,,aligned,-1.8,False,0,no_fvg,Asia,NY,False,True,Fill only,0.375,,,0.2332,1.10917,1.09922,discount,both_discount,0.416,0.411,0.419,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",1.0,ADP Non-Farm Employment Change,USD,1.0,ADP Non-Farm Employment Change
B6526,EURUSD,2020-02-05T07:00:00+00:00,2020-02-05T09:00:00+00:00,2020-02-05T11:00:00+00:00,London,bullish,Confirmation BOS,proximal,1.1026,1.1024,1.10165,1.10145,1.10419,1.10439,1.10562,1.10582,2.65,4.56,1.10439,2.92,zone,,zone,1.10426,2.75,1.10562,4.56,zone,False,triple,sl,1.10145,-1.0,-1.0,-1.0,-250.0,True,,0.322,-0.722,-3.106,True,False,0.0,15.561,,False,2.679,2.213,4.17,2,-1,-1,123.0,69.0,73,discount,0.0,,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2020-01-31T06:00:00+00:00,BOS,Confirm,0,holding,False,full,False,0,2.01,2.56,2.56,strong,,1.281,,15.444,0.000429,0.000548,0.255,1,45.558,False,,,,,False,7,bearish,counter_trend,False,False,False,,1.10903,False,False,False,INSIDE,intact,intact,swept,intact,1.561,7.874,PD,PW,True,58.0,PW,8.899,2.0,,,True,,,62.0,low,1.0,0.0,False,,,,,,0,,,,,"pd,eq,sw",False,,,,,False,,,False,,False,sweep,asia,low,True,2020-02-05T06:00:00+00:00,1,2020-01-31T12:00:00+00:00,LONG,,aligned,-10.7,False,1,stale,Asia,London,False,True,Fill only,0.829,,,0.3397,1.10917,1.09922,discount,both_discount,-0.978,0.473,0.633,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B6527,EURUSD,2020-02-05T13:00:00+00:00,,,NY,bearish,BOS BOS,proximal,1.10344,1.10364,1.10498,1.10518,1.10154,1.10134,1.10029,1.10009,1.72,2.65,1.10088,2.21,zone,,zone,1.10108,2.06,1.10029,2.65,zone,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,2.589,2.291,3.124,0,-1,-1,,,5,premium,0.0,,9.0,3.0,1.0,2.0,2.0,1.0,"structure,sweep,fvg,freshness",False,h1_only,2020-02-05T08:00:00+00:00,BOS,BOS,3,holding,True,pristine,True,0,1.0,2.09,2.09,solid,,1.696,0.997,3.258,0.000672,,0.456,0,40.019,False,,,,,False,13,bearish,with_trend,True,False,False,,1.10145,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,True,SW,1.10459,0.283,1.135,4.672,1,True,-0.61,,,"pd,eq,sw",True,0.283,1.135,4.672,True,False,,,False,,False,sweep,asia,high,True,2020-02-05T12:00:00+00:00,1,2020-02-05T09:00:00+00:00,SHORT,,aligned,59.8,False,2,fresh,London,NY,True,False,never_filled,0.76,,,0.4241,1.10917,1.09922,discount,mixed,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B6528,EURUSD,2020-02-06T08:00:00+00:00,2020-02-06T08:00:00+00:00,2020-02-06T09:00:00+00:00,London,bullish,CHoCH CHoCH,proximal,1.10001,1.09981,1.09923,1.09903,1.10019,1.10039,,,1.0,,1.10019,1.0,wick,,,,,,,,False,triple,tp1,1.10019,0.184,1.0,0.0,46.0,True,,0.184,-0.0,1.0,,,,,,,2.134,1.698,0.827,1,1,-1,4.0,1.0,4,discount,1.0,True,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2020-02-06T04:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,0,0.42,1.31,0.87,marginal,False,0.827,,1.655,0.000459,0.000574,0.395,0,58.344,False,,,,,False,8,bearish,ambiguous,False,False,True,bullish,1.10057,False,False,False,INSIDE,intact,intact,swept,intact,10.386,1.437,PD,PD,False,81.0,PW,13.956,2.0,1.437,2.0,False,-0.697,False,,,1.0,1.0,False,,,,,,0,,,,,"pd,eq,sw",False,,,,,True,0.414,bare,False,,False,sweep,asia,low,True,2020-02-06T07:00:00+00:00,1,2020-02-06T07:00:00+00:00,LONG,,aligned,12.2,False,0,no_fvg,Asia,London,False,True,Fill only,1.0,,,0.0794,1.10917,1.09922,discount,both_discount,-1.589,0.381,0.505,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B6529,EURUSD,2020-02-06T16:00:00+00:00,,,NY,bearish,BOS BOS,proximal,1.09952,1.09972,1.10053,1.10073,1.09911,1.09891,,,1.0,,1.09911,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.332,1.112,0.671,0,-1,-1,,,4,premium,0.0,,8.0,3.0,0.0,2.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2020-02-06T12:00:00+00:00,BOS,BOS,1,holding,True,pristine,False,0,0.55,1.37,1.37,marginal,,0.671,0.858,3.621,0.000909,,0.361,0,36.688,False,,,,,False,16,bearish,with_trend,True,False,False,,1.09643,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,0,,,,,"pd,eq,sw",False,,,,,False,,,False,,False,break,asia,low,True,2020-02-06T15:00:00+00:00,1,2020-02-06T14:00:00+00:00,SHORT,,aligned,62.4,False,1,fresh,London,NY,True,False,never_filled,1.0,A First Pullback,premium,0.0302,1.10917,1.09922,discount,mixed,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B6530,EURUSD,2020-02-07T16:00:00+00:00,,,NY,bearish,BOS BOS,proximal,1.09952,1.09972,1.10053,1.10073,1.09911,1.09891,,,1.0,,1.09911,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.332,0.967,0.584,0,-1,-1,,,28,premium,0.0,,8.0,3.0,0.0,2.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2020-02-06T12:00:00+00:00,BOS,BOS,1,holding,True,pristine,False,0,0.55,1.37,1.37,marginal,,0.671,0.858,3.621,0.000909,,0.361,0,50.653,False,,,,,False,16,bearish,with_trend,True,False,False,,1.09643,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,0,,,,,"pd,eq,sw",False,,,,,False,,,False,,False,break,asia,low,True,2020-02-07T15:00:00+00:00,2,2020-02-06T14:00:00+00:00,SHORT,,aligned,62.4,False,1,fresh,London,NY,True,False,never_filled,1.0,A First Pullback,premium,0.0302,1.10917,1.09922,discount,mixed,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B6531,EURUSD,2020-02-07T18:00:00+00:00,2020-02-09T23:00:00+00:00,2020-02-10T13:00:00+00:00,NY,bearish,BOS BOS,proximal,1.09486,1.09506,1.09666,1.09686,1.09366,1.09346,,,1.0,,1.09366,1.0,wick,,,,,,,,False,triple,tp1,1.09366,0.6,1.0,1.78,150.0,True,,0.6,-0.44,1.0,,,,,,,1.668,1.501,1.167,14,14,-1,59.0,6.0,6,discount,0.0,,6.0,1.0,0.0,2.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2020-02-07T12:00:00+00:00,BOS,BOS,0,fading,True,pristine,False,0,0.42,0.56,0.56,marginal,,1.167,0.609,0.734,0.001199,0.001071,0.907,1,49.122,False,,,,,False,18,bearish,with_trend,False,False,False,,1.09418,False,False,True,INSIDE,intact,intact,intact,intact,3.027,0.567,PD,PW,True,,,8.272,2.0,,,False,6.604,False,59.0,high,2.0,0.0,False,,,,,,0,,,,,"pd,eq,sw",False,,,,,False,,,False,,False,sweep,london,low,True,2020-02-07T17:00:00+00:00,1,2020-02-07T17:00:00+00:00,SHORT,,counter,9.4,False,3,fresh,London,Other,True,False,OB only,0.455,Caution: Late-Trend Chase,caution,-0.4382,1.10917,1.09922,discount,both_discount,-0.225,0.487,0.371,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B6532,EURUSD,2020-02-10T14:00:00+00:00,,,NY,bearish,BOS BOS,proximal,1.09426,1.09446,1.09555,1.09575,1.09357,1.09337,,,1.0,,1.09357,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,2.155,1.866,1.287,0,-1,-1,,,6,discount,0.0,,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2020-02-10T08:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,1.7,2.37,2.37,solid,,1.287,,2.169,0.000691,,0.517,1,48.746,False,,,,,False,14,bearish,with_trend,False,False,False,,1.09296,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,0,,,,,"pd,pw,eq,sw",False,,,,,True,-0.014,bare,False,,False,sweep,london,low,True,2020-02-10T13:00:00+00:00,1,2020-02-10T13:00:00+00:00,SHORT,,counter,46.8,False,4,no_fvg,London,NY,True,False,never_filled,0.969,,,0.0053,1.10927,1.09418,discount,both_discount,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B6533,EURUSD,2020-02-11T11:00:00+00:00,2020-02-11T11:00:00+00:00,2020-02-11T13:00:00+00:00,London,bullish,CHoCH CHoCH,proximal,1.09173,1.09153,1.09037,1.09017,1.09426,1.09446,,,2.53,,1.09529,3.41,zone,,,1.09512,3.27,,,,False,triple,sl,1.09017,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.66,,True,False,1.822,8.431,,True,2.706,2.359,4.736,2,-1,-1,3.0,1.0,3,discount,1.0,True,8.0,4.0,1.0,0.0,2.0,1.0,"structure,sweep,freshness",False,h1_only,2020-02-11T08:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,True,0,0.17,0.89,0.59,marginal,False,1.665,,0.729,0.000576,0.000606,0.375,0,66.647,False,,,,,False,11,bearish,ambiguous,False,False,True,bullish,1.09195,False,False,False,SWEPT_LOW,intact,swept,intact,broken,6.957,,PD,,True,2.0,PD,25.485,2.0,,,True,,,2.0,low,1.0,0.0,True,PD,1.09076,0.347,2.269,2.064,2,True,1.318,,3.0,"pd,eq,sw",True,0.347,2.269,2.064,True,False,,,False,,False,break,london,low,True,2020-02-11T10:00:00+00:00,1,2020-02-11T10:00:00+00:00,LONG,,aligned,22.6,False,0,no_fvg,London,London,True,False,OB only,1.0,,,-0.1624,1.10927,1.09418,discount,both_discount,-0.694,0.387,0.478,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
