setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,fvg_present,sweep_present,break_close_atr,break_body_atr,break_excess,break_tier,ob_range_atr,fvg_size_atr,impulse_leg_atr,atr_at_ob,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,alert_bar_ts,alert_seq,bos_timestamp,bias,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,killzone_blocked,killzone_windows
A0584,EURUSD,2024-08-01T10:00:00+00:00,2024-08-02T12:00:00+00:00,2024-08-02T13:00:00+00:00,London,bearish,CHoCH CHoCH,proximal,1.08257,1.08385,1.08088,,1.56,,sl,1.08385,-1.0,-1.0,-1.0,-250.0,True,,0.219,-0.906,1,-1,-1,6,premium,0.0,False,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2024-08-01T04:00:00+00:00,CHoCH,CHoCH,True,False,2.4,1.66,1.11,marginal,0.875,0.527,0.656,0.001006,False,,,,,False,10,bullish,against_trend,2024-08-01T09:00:00+00:00,1,2024-08-01T09:00:00+00:00,SHORT,aligned,82.4,False,0,fresh,Asia,London,False,True,Fill only,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0585,EURUSD,2024-08-01T10:00:00+00:00,,,London,bullish,BOS BOS,proximal,1.07623,1.07504,1.0795,1.0803,3.3,4.11,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,504,discount,0.0,,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2024-07-03T10:00:00+00:00,BOS,BOS,True,False,1.08,1.68,1.68,solid,0.786,0.964,2.277,0.001006,False,,,,,False,10,bullish,with_trend,2024-08-01T09:00:00+00:00,1,2024-07-03T13:00:00+00:00,LONG,aligned,-35.3,False,5,fresh,London,London,False,False,never_filled,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0586,EURUSD,2024-08-05T13:00:00+00:00,2024-08-06T10:00:00+00:00,2024-08-08T11:00:00+00:00,NY,bullish,BOS BOS,proximal,1.09178,1.08885,1.09749,,2.09,,timeout,1.09253,0.256,0.256,0.256,64.0,False,unresolved:timeout,0.928,-0.485,49,-1,-1,6,premium,0.0,,7.0,3.0,0.0,1.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2024-08-05T07:00:00+00:00,BOS,BOS,True,False,1.27,2.15,2.15,solid,1.253,1.427,6.792,0.002019,False,,,,,False,13,bullish,with_trend,2024-08-05T12:00:00+00:00,1,2024-08-05T08:00:00+00:00,LONG,counter,71.1,False,6,fresh,London,London,True,False,OB only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0587,EURUSD,2024-08-08T08:00:00+00:00,2024-08-08T09:00:00+00:00,2024-08-08T10:00:00+00:00,London,bullish,BOS BOS,proximal,1.09377,1.09269,1.09749,,4.23,,sl,1.09269,-1.0,-1.0,-1.0,-250.0,True,,0.611,-0.204,1,-1,-1,3,discount,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2024-08-08T05:00:00+00:00,BOS,BOS,False,False,0.88,1.01,1.01,marginal,0.981,,3.146,0.000693,False,,,,,False,8,bullish,with_trend,2024-08-08T07:00:00+00:00,1,2024-08-08T07:00:00+00:00,LONG,aligned,31.4,False,1,no_fvg,Asia,London,False,False,Neither,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0588,EURUSD,2024-08-08T14:00:00+00:00,2024-08-09T03:00:00+00:00,2024-08-09T18:00:00+00:00,NY,bearish,CHoCH CHoCH,proximal,1.09231,1.09372,1.09036,,1.61,,friday_flat,1.09185,0.326,-1.0,-1.0,81.5,True,,1.0,-0.574,15,-1,-1,2,premium,0.0,False,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2024-08-08T12:00:00+00:00,CHoCH,CHoCH,False,False,1.61,3.05,2.03,solid,0.933,,0.803,0.001083,False,,,,,False,14,bullish,against_trend,2024-08-08T13:00:00+00:00,1,2024-08-08T13:00:00+00:00,SHORT,aligned,58.9,False,0,no_fvg,London,Asia,True,False,OB only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0589,EURUSD,2024-08-09T08:00:00+00:00,2024-08-09T09:00:00+00:00,2024-08-09T09:00:00+00:00,London,bullish,BOS BOS,proximal,1.09215,1.0914,1.09348,,2.42,,sl,1.0914,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,0,-1,-1,2,premium,0.0,,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2024-08-09T06:00:00+00:00,BOS,BOS,False,False,0.48,1.35,1.35,marginal,0.583,,2.464,0.000601,False,,,,,False,8,bullish,with_trend,2024-08-09T07:00:00+00:00,1,2024-08-09T07:00:00+00:00,LONG,counter,63.1,False,1,no_fvg,Asia,London,True,False,OB only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0590,EURUSD,2024-08-13T06:00:00+00:00,2024-08-13T08:00:00+00:00,2024-08-13T10:00:00+00:00,Asia,bullish,BOS BOS,proximal,1.09293,1.09175,1.09448,,1.58,,sl,1.09175,-1.0,-1.0,-1.0,-250.0,True,,0.449,-0.746,2,-1,-1,13,premium,0.0,,4.0,3.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2024-08-12T17:00:00+00:00,BOS,BOS,False,False,1.65,1.67,1.67,solid,1.276,,2.093,0.000611,False,,,,,False,6,bullish,with_trend,2024-08-13T05:00:00+00:00,1,2024-08-12T18:00:00+00:00,LONG,counter,82.8,False,2,no_fvg,NY,London,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0591,EURUSD,2024-08-13T07:00:00+00:00,2024-08-13T09:00:00+00:00,2024-08-13T13:00:00+00:00,London,bullish,BOS BOS,proximal,1.09252,1.09119,1.09448,,1.73,,tp1,1.09448,1.474,1.73,6.511,368.5,True,,1.602,-0.872,4,4,-1,22,premium,0.0,,3.0,3.0,0.0,0.0,0.0,0.0,structure,False,h1_only,2024-08-12T09:00:00+00:00,BOS,BOS,False,False,0.69,1.09,1.09,marginal,1.684,,2.318,0.000552,False,,,,,False,7,bullish,with_trend,2024-08-13T06:00:00+00:00,1,2024-08-12T10:00:00+00:00,LONG,counter,73.7,False,2,no_fvg,London,London,False,False,Neither,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0592,EURUSD,2024-08-13T15:00:00+00:00,,,NY,bullish,CHoCH CHoCH,proximal,1.09267,1.09096,1.09749,,3.19,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,5,premium,0.0,False,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2024-08-13T10:00:00+00:00,CHoCH,CHoCH,True,False,1.95,1.94,1.29,marginal,1.426,0.621,0.533,0.000919,False,,,,,False,15,bearish,against_trend,2024-08-13T14:00:00+00:00,1,2024-08-13T13:00:00+00:00,LONG,counter,56.0,False,0,fresh,London,NY,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0593,EURUSD,2024-08-13T18:00:00+00:00,2024-08-15T13:00:00+00:00,2024-08-16T18:00:00+00:00,NY,bullish,BOS BOS,proximal,1.09617,1.09462,1.10084,,3.46,,friday_flat,1.10035,2.697,3.46,5.329,674.25,True,,3.381,-0.8,29,29,-1,3,premium,0.0,,5.0,3.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2024-08-13T15:00:00+00:00,BOS,BOS,False,False,1.13,1.7,1.7,solid,1.037,,1.506,0.001109,False,,,,,False,18,bullish,with_trend,2024-08-13T17:00:00+00:00,1,2024-08-13T16:00:00+00:00,LONG,counter,86.9,False,1,no_fvg,NY,NY,True,True,Both,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
