setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_age_h1_bars,pd_zone,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,fvg_present,sweep_present,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,alert_bar_ts,alert_seq,bos_timestamp,bias,pd_alignment,pd_pct,break_tier,break_close_atr,break_excess,break_body_atr,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,killzone_blocked,killzone_windows
T0001,EURUSD,2026-06-01T14:00:00+00:00,2026-06-02T12:00:00+00:00,2026-06-02T14:00:00+00:00,NY,bearish,CHoCH CHoCH,proximal,1.16564,1.16672,1.16401,,1.85,,tp1,1.16401,1.509,1.85,1.51,377.25,True,,1.51,-0.249,2,2,-1,6,premium,7.0,3.0,0.0,1.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2026-06-01T08:00:00+00:00,CHoCH,CHoCH,True,False,False,,,,,False,14,bearish,with_trend,2026-06-01T13:00:00+00:00,1,2026-06-01T13:00:00+00:00,SHORT,aligned,57.3,strong,3.63,2.62,3.93,fresh,London,London,True,True,Both,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0002,EURUSD,2026-06-01T14:00:00+00:00,,,NY,bearish,CHoCH CHoCH,50pct,1.16598,1.16672,1.16401,,3.648,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,6,premium,7.0,3.0,0.0,1.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2026-06-01T08:00:00+00:00,CHoCH,CHoCH,True,False,False,,,,,False,14,bearish,with_trend,2026-06-01T13:00:00+00:00,1,2026-06-01T13:00:00+00:00,SHORT,aligned,61.9,strong,3.63,2.62,3.93,fresh,London,NY,True,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0003,EURUSD,2026-06-03T04:00:00+00:00,2026-06-04T11:00:00+00:00,2026-06-04T19:00:00+00:00,Asia,bearish,BOS BOS,proximal,1.16401,1.16563,1.16171,,1.62,,tp1,1.16171,1.42,1.62,0.0,355.0,True,,1.586,-0.501,8,8,-1,14,premium,7.0,3.0,0.0,1.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2026-06-02T14:00:00+00:00,BOS,BOS,True,False,False,,,,,False,4,bearish,with_trend,2026-06-03T03:00:00+00:00,1,2026-06-02T17:00:00+00:00,SHORT,aligned,54.8,marginal,0.85,1.02,1.02,fresh,NY,London,True,True,Both,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0004,EURUSD,2026-06-03T04:00:00+00:00,2026-06-04T11:00:00+00:00,2026-06-04T19:00:00+00:00,Asia,bearish,BOS BOS,50pct,1.16462,1.16563,1.16171,,3.593,,tp1,1.16171,2.881,3.593,0.0,720.25,True,,3.148,-0.2,8,8,-1,14,premium,7.0,3.0,0.0,1.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2026-06-02T14:00:00+00:00,BOS,BOS,True,False,False,,,,,False,4,bearish,with_trend,2026-06-03T03:00:00+00:00,1,2026-06-02T17:00:00+00:00,SHORT,aligned,69.3,marginal,0.85,1.02,1.02,fresh,NY,London,True,True,Both,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0005,EURUSD,2026-06-03T13:00:00+00:00,2026-06-04T09:00:00+00:00,2026-06-04T09:00:00+00:00,NY,bearish,BOS BOS,proximal,1.16198,1.16292,1.16036,,2.19,,sl,1.16292,-1.0,-1.0,-1.0,-250.0,True,,0.144,-1.15,0,-1,-1,2,discount,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2026-06-03T11:00:00+00:00,BOS,BOS,False,False,False,,,,,False,13,bearish,with_trend,2026-06-03T12:00:00+00:00,1,2026-06-03T12:00:00+00:00,SHORT,counter,32.4,solid,0.67,2.02,2.02,no_fvg,London,London,True,False,OB only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0006,EURUSD,2026-06-03T13:00:00+00:00,2026-06-04T09:00:00+00:00,2026-06-04T09:00:00+00:00,NY,bearish,BOS BOS,50pct,1.16225,1.16292,1.16036,,4.021,,sl,1.16292,-1.0,-1.0,-1.0,-250.0,True,,0.605,-1.211,0,-1,-1,2,discount,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2026-06-03T11:00:00+00:00,BOS,BOS,False,False,False,,,,,False,13,bearish,with_trend,2026-06-03T12:00:00+00:00,1,2026-06-03T12:00:00+00:00,SHORT,counter,37.1,solid,0.67,2.02,2.02,no_fvg,London,London,True,False,OB only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0007,EURUSD,2026-06-05T08:00:00+00:00,,,London,bearish,BOS BOS,proximal,1.16469,1.16604,1.16293,,1.53,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,69,premium,5.0,3.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2026-06-02T11:00:00+00:00,BOS,BOS,False,False,False,,,,,False,8,bearish,with_trend,2026-06-05T07:00:00+00:00,1,2026-06-02T17:00:00+00:00,SHORT,aligned,97.4,solid,1.27,1.53,1.53,stale,London,London,True,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0008,EURUSD,2026-06-05T08:00:00+00:00,,,London,bearish,BOS BOS,50pct,1.16516,1.16604,1.16293,,3.279,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,69,premium,5.0,3.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2026-06-02T11:00:00+00:00,BOS,BOS,False,False,False,,,,,False,8,bearish,with_trend,2026-06-05T07:00:00+00:00,1,2026-06-02T17:00:00+00:00,SHORT,aligned,106.8,solid,1.27,1.53,1.53,stale,London,London,True,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0009,EURUSD,2026-06-05T13:00:00+00:00,,,NY,bearish,BOS BOS,proximal,1.16414,1.16509,1.16293,,1.64,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,3,premium,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2026-06-05T10:00:00+00:00,BOS,BOS,False,False,False,,,,,False,13,bearish,with_trend,2026-06-05T12:00:00+00:00,1,2026-06-05T12:00:00+00:00,SHORT,aligned,88.2,strong,1.31,5.97,5.97,no_fvg,London,NY,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0010,EURUSD,2026-06-05T13:00:00+00:00,,,NY,bearish,BOS BOS,50pct,1.16442,1.16509,1.16293,,3.17,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,3,premium,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2026-06-05T10:00:00+00:00,BOS,BOS,False,False,False,,,,,False,13,bearish,with_trend,2026-06-05T12:00:00+00:00,1,2026-06-05T12:00:00+00:00,SHORT,aligned,93.1,strong,1.31,5.97,5.97,no_fvg,London,NY,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
