feature,split,bucket,edge_lo,edge_hi,n,expR,ci_lo,ci_hi,ci_excludes_0,wr_pct,totR,pos_quarters,level
leg_retrace_pct_at_alert,DISCOVERY,1.0,35.6,52.5,2196,-0.0382,-0.09,0.016,False,35.6,-83.95,12/36,
leg_retrace_pct_at_alert,DISCOVERY,2.0,52.5,69.5,2207,-0.1359,-0.185,-0.085,True,30.6,-299.91,7/36,
leg_retrace_pct_at_alert,DISCOVERY,3.0,69.5,87.8,2201,-0.0488,-0.103,0.006,False,33.5,-107.33,15/36,
leg_retrace_pct_at_alert,DISCOVERY,4.0,87.8,10131.6,2202,-0.0426,-0.095,0.01,False,33.8,-93.88,12/36,
bos_tag,DISCOVERY,,,,8163,-0.0489,-0.076,-0.021,True,35.3,-398.91,9/36,BOS
bos_tag,DISCOVERY,,,,3166,-0.0746,-0.117,-0.03,True,32.8,-236.23,14/36,CHoCH
bos_tier,DISCOVERY,,,,6560,-0.0384,-0.068,-0.008,True,36.0,-251.78,11/36,BOS
bos_tier,DISCOVERY,,,,3166,-0.0746,-0.117,-0.03,True,32.8,-236.23,14/36,CHoCH
bos_tier,DISCOVERY,,,,1550,-0.0832,-0.149,-0.017,True,32.6,-129.03,12/36,Confirm
bos_tier,DISCOVERY,,,,53,-0.3415,-0.566,-0.108,True,32.6,-18.1,0/0,other
bos_verdict,DISCOVERY,,,,624,-0.0626,-0.159,0.039,False,36.5,-39.06,1/2,fading
bos_verdict,DISCOVERY,,,,10705,-0.0557,-0.079,-0.032,True,34.5,-596.08,10/36,holding
event,DISCOVERY,,,,6560,-0.0384,-0.068,-0.008,True,36.0,-251.78,11/36,BOS BOS
event,DISCOVERY,,,,3166,-0.0746,-0.117,-0.03,True,32.8,-236.23,14/36,CHoCH CHoCH
event,DISCOVERY,,,,1550,-0.0832,-0.149,-0.017,True,32.6,-129.03,12/36,Confirmation BOS
event,DISCOVERY,,,,53,-0.3415,-0.566,-0.108,True,32.6,-18.1,0/0,other
reversed_from_extreme,DISCOVERY,,,,854,-0.0305,-0.117,0.059,False,34.8,-26.04,2/6,False
reversed_from_extreme,DISCOVERY,,,,2312,-0.0909,-0.141,-0.039,True,32.1,-210.19,11/36,True
reversed_from_extreme,DISCOVERY,,,,8163,-0.0489,-0.076,-0.021,True,35.3,-398.91,9/36,other
fvg_present,DISCOVERY,,,,6890,-0.0635,-0.092,-0.035,True,35.5,-437.4,10/36,False
