setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,fvg_present,sweep_present,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,alert_bar_ts,alert_seq,bos_timestamp,bias,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,break_tier,break_close_atr,break_excess,break_body_atr,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,killzone_blocked,killzone_windows
T0055,BTCUSD,2025-01-09T14:00:00+00:00,2025-01-09T15:00:00+00:00,2025-01-09T15:00:00+00:00,NY,bearish,BOS BOS,50pct,93313.25,93739.9,91510.0,,4.434,,sl,93739.9,-1.0,-1.0,-1.0,-250.0,True,,1.651,-2.886,0,-1,-1,5,discount,0.0,,5.0,3.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2025-01-09T09:00:00+00:00,BOS,BOS,False,False,False,,,,,False,14,bearish,with_trend,2025-01-09T13:00:00+00:00,1,2025-01-09T13:00:00+00:00,SHORT,counter,13.7,False,4,solid,1.01,1.89,1.89,no_fvg,London,NY,True,False,OB only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0056,BTCUSD,2025-01-13T11:00:00+00:00,2025-01-13T21:00:00+00:00,2025-01-14T01:00:00+00:00,London,bearish,BOS BOS,proximal,94145.6,94917.9,92959.83,,1.58,,sl,94917.9,-1.0,-1.0,-1.0,-250.0,True,,1.027,-1.122,4,-1,-1,7,premium,0.0,,7.0,3.0,1.0,2.0,1.0,0.0,"structure,sweep,fvg,freshness",False,h1_only,2025-01-13T04:00:00+00:00,BOS,BOS,True,True,False,,,,,False,11,bearish,with_trend,2025-01-13T10:00:00+00:00,1,2025-01-13T09:00:00+00:00,SHORT,aligned,61.3,False,1,marginal,1.31,1.5,1.5,fresh,Asia,Other,False,False,Neither,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0057,BTCUSD,2025-01-13T11:00:00+00:00,2025-01-13T22:00:00+00:00,2025-01-14T01:00:00+00:00,London,bearish,BOS BOS,50pct,94511.75,94917.9,92959.83,,4.019,,sl,94917.9,-1.0,-1.0,-1.0,-250.0,True,,1.01,-1.232,3,-1,-1,7,premium,0.0,,7.0,3.0,1.0,2.0,1.0,0.0,"structure,sweep,fvg,freshness",False,h1_only,2025-01-13T04:00:00+00:00,BOS,BOS,True,True,False,,,,,False,11,bearish,with_trend,2025-01-13T10:00:00+00:00,1,2025-01-13T09:00:00+00:00,SHORT,aligned,69.3,False,1,marginal,1.31,1.5,1.5,fresh,Asia,Other,False,False,Neither,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0058,BTCUSD,2025-01-14T04:00:00+00:00,,,Asia,bullish,BOS BOS,proximal,92249.9,91180.1,93825.3,,1.5,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,12,discount,0.0,,6.0,3.0,0.0,2.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2025-01-13T16:00:00+00:00,BOS,BOS,True,False,False,,,,,False,4,bullish,with_trend,2025-01-14T03:00:00+00:00,1,2025-01-13T20:00:00+00:00,LONG,aligned,47.0,False,2,marginal,0.48,1.23,1.23,fresh,NY,Asia,False,False,never_filled,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0059,BTCUSD,2025-01-14T04:00:00+00:00,,,Asia,bullish,BOS BOS,50pct,91735.0,91180.1,93825.3,,3.908,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,12,discount,0.0,,6.0,3.0,0.0,2.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2025-01-13T16:00:00+00:00,BOS,BOS,True,False,False,,,,,False,4,bullish,with_trend,2025-01-14T03:00:00+00:00,1,2025-01-13T20:00:00+00:00,LONG,aligned,39.5,False,2,marginal,0.48,1.23,1.23,fresh,NY,Asia,False,False,never_filled,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0060,BTCUSD,2025-01-14T10:00:00+00:00,,,London,bullish,CHoCH CHoCH,proximal,95133.0,94770.1,95822.0,,2.01,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,3,premium,1.0,True,8.0,4.0,0.0,2.0,1.0,1.0,"structure,fvg,freshness",False,h1_only,2025-01-14T07:00:00+00:00,CHoCH,CHoCH,True,False,False,,,,,False,10,bearish,against_trend,2025-01-14T09:00:00+00:00,1,2025-01-14T08:00:00+00:00,LONG,counter,73.4,False,0,solid,3.24,1.51,2.27,fresh,London,London,True,False,never_filled,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0061,BTCUSD,2025-01-14T10:00:00+00:00,,,London,bullish,CHoCH CHoCH,50pct,94971.55,94770.1,95822.0,,4.687,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,3,premium,1.0,True,8.0,4.0,0.0,2.0,1.0,1.0,"structure,fvg,freshness",False,h1_only,2025-01-14T07:00:00+00:00,CHoCH,CHoCH,True,False,False,,,,,False,10,bearish,against_trend,2025-01-14T09:00:00+00:00,1,2025-01-14T08:00:00+00:00,LONG,counter,71.5,False,0,solid,3.24,1.51,2.27,fresh,London,London,True,False,never_filled,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0062,BTCUSD,2025-01-15T14:00:00+00:00,,,NY,bullish,Confirmation BOS,proximal,96899.9,96443.0,97687.9,,1.8,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,3,premium,0.0,,6.2,4.0,1.22,0.0,1.0,0.0,"structure,sweep,freshness",False,h1_only,2025-01-15T11:00:00+00:00,BOS,Confirm,False,True,False,,,,,False,14,bullish,with_trend,2025-01-15T13:00:00+00:00,1,2025-01-15T13:00:00+00:00,LONG,counter,79.0,False,1,strong,2.29,2.96,2.96,no_fvg,London,NY,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0063,BTCUSD,2025-01-15T14:00:00+00:00,,,NY,bullish,Confirmation BOS,50pct,96691.45,96443.0,97687.9,,4.362,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,3,premium,0.0,,6.2,4.0,1.22,0.0,1.0,0.0,"structure,sweep,freshness",False,h1_only,2025-01-15T11:00:00+00:00,BOS,Confirm,False,True,False,,,,,False,14,bullish,with_trend,2025-01-15T13:00:00+00:00,1,2025-01-15T13:00:00+00:00,LONG,counter,76.9,False,1,strong,2.29,2.96,2.96,no_fvg,London,NY,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
T0064,BTCUSD,2025-01-16T15:00:00+00:00,2025-01-16T16:00:00+00:00,2025-01-16T16:00:00+00:00,NY,bearish,CHoCH CHoCH,proximal,98840.0,99519.5,97745.73,,1.66,,sl,99519.5,-1.0,-1.0,-1.0,-250.0,True,,0.0,-1.482,0,-1,-1,3,premium,1.0,True,6.0,4.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2025-01-16T12:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,15,bullish,against_trend,2025-01-16T14:00:00+00:00,1,2025-01-16T14:00:00+00:00,SHORT,aligned,83.0,False,0,marginal,2.39,1.5,2.25,no_fvg,London,NY,True,False,OB only,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York"
