setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_raw,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,r_capture_ratio,sl_bar_was_sweep,sl_swept_then_tp1,sl_wick_depth_atr,sl_max_adverse_after_sweep_atr,bars_sl_to_tp1_touch,sl_recovered_to_entry,sl_distance_atr,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_to_fill_hours,bars_break_to_pullback,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,event_candle_delta,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,ob_range_atr,fvg_size_atr,impulse_leg_atr,atr_at_ob,ob_body_ratio,ob_walkback_depth,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,trend_pd_agree,structure_ranging_at_alert,flip_pending_at_alert,flip_pending_dir_at_alert,leg_extreme_at_alert,leg_retrace_pct_at_alert,leg_extreme_clipped,dr_ceiling_broken_at_ob,dr_floor_broken_at_ob,alert_bar_ts,alert_seq,bos_timestamp,bias,be_arm_bar_touched_entry,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,setup_badge,setup_badge_kind,killzone_blocked,killzone_windows
A6624,EURUSD,2013-07-02T07:00:00+00:00,2013-07-02T07:00:00+00:00,2013-07-02T08:00:00+00:00,London,bullish,BOS BOS,proximal,1.30648,1.30524,1.30504,1.31022,,3.02,,sl,1.30504,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,False,False,2.936,,,,1.458,1,-1,-1,3.0,1.0,3,premium,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2013-07-02T04:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.46,1.8,1.8,solid,1.053,,2.197,0.000988,0.433,0,False,,,,,False,7,bullish,with_trend,False,False,False,,1.3078,45.8,False,True,False,2013-07-02T06:00:00+00:00,1,2013-07-02T06:00:00+00:00,LONG,,counter,83.1,False,3,no_fvg,Asia,London,False,True,Fill only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6625,EURUSD,2013-07-02T09:00:00+00:00,,,London,bearish,CHoCH CHoCH,proximal,1.30594,1.308,1.3082,1.30141,,2.2,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.763,0,-1,-1,,,3,premium,1.0,True,7.0,4.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2013-07-02T06:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,0,2.01,2.57,1.72,solid,1.451,,0.796,0.001282,0.618,0,False,,,,,False,9,bullish,ambiguous,False,False,True,bearish,1.30214,100.0,False,False,False,2013-07-02T08:00:00+00:00,1,2013-07-02T08:00:00+00:00,SHORT,,aligned,83.8,False,0,no_fvg,London,London,True,False,never_filled,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6626,EURUSD,2013-07-03T13:00:00+00:00,2013-07-03T15:00:00+00:00,2013-07-03T18:00:00+00:00,NY,bearish,Confirmation BOS,proximal,1.30237,1.30355,1.30375,1.29999,1.29911,2.02,2.76,tp1,1.29999,1.725,2.02,2.76,431.25,True,,1.725,-0.0,1.0,,,,,,,0.798,3,3,11,29.0,21.0,27,premium,0.0,,8.0,4.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2013-07-02T10:00:00+00:00,BOS,Confirm,0,holding,True,pristine,False,0,0.82,1.6,1.6,solid,0.567,0.093,4.007,0.001729,0.337,3,False,,,,,False,13,bearish,with_trend,True,False,False,,1.2923,73.8,False,False,False,2013-07-03T12:00:00+00:00,1,2013-07-02T18:00:00+00:00,SHORT,False,aligned,52.5,False,1,fresh,London,NY,False,True,Fill only,A First Pullback,premium,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6627,EURUSD,2013-07-03T16:00:00+00:00,2013-07-04T12:00:00+00:00,2013-07-04T12:00:00+00:00,NY,bullish,CHoCH CHoCH,proximal,1.29743,1.29536,1.29516,1.30164,,2.03,,sl,1.29516,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,False,False,2.95,,,,0.992,0,-1,-1,23.0,21.0,3,discount,1.0,True,7.0,4.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2013-07-03T13:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,0,0.88,1.41,0.94,marginal,0.817,,0.315,0.002288,0.203,1,False,,,,,False,16,bearish,ambiguous,False,False,True,bullish,1.30314,103.8,False,False,False,2013-07-03T15:00:00+00:00,1,2013-07-03T15:00:00+00:00,LONG,,aligned,33.1,False,0,no_fvg,NY,NY,True,True,Both,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6628,EURUSD,2013-07-05T08:00:00+00:00,2013-07-09T06:00:00+00:00,2013-07-09T07:00:00+00:00,London,bearish,BOS BOS,proximal,1.28974,1.29049,1.29069,1.28831,,1.91,,tp1,1.28831,1.505,1.91,0.0,376.25,True,,1.505,-0.0,1.0,,,,,,,0.915,1,1,-1,98.0,46.0,4,discount,0.0,,3.0,1.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2013-07-05T04:00:00+00:00,BOS,BOS,0,fading,False,none,False,0,0.4,0.99,0.99,marginal,0.53,,4.259,0.001038,0.891,0,False,,,,,False,8,bearish,with_trend,False,False,False,,1.2878,35.9,False,False,False,2013-07-05T07:00:00+00:00,1,2013-07-05T07:00:00+00:00,SHORT,,counter,9.6,False,2,no_fvg,Asia,London,False,True,Fill only,Caution: Late-Trend Chase,caution,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6629,EURUSD,2013-07-09T06:00:00+00:00,2013-07-09T10:00:00+00:00,2013-07-09T12:00:00+00:00,London,bullish,CHoCH CHoCH,proximal,1.28632,1.28553,1.28533,1.28788,,1.97,,sl,1.28533,-1.0,-1.0,-1.0,-250.0,True,,0.758,-0.545,-1.319,True,True,0.139,7.991,30.0,True,0.807,2,-1,-1,6.0,5.0,2,premium,1.0,True,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2013-07-09T04:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,0,0.47,1.98,1.32,marginal,0.481,,1.582,0.001226,0.203,0,False,,,,,False,6,bearish,ambiguous,False,False,True,bullish,1.28885,86.9,False,True,False,2013-07-09T05:00:00+00:00,1,2013-07-09T05:00:00+00:00,LONG,,counter,67.1,False,0,no_fvg,Asia,London,False,False,Neither,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6630,EURUSD,2013-07-10T15:00:00+00:00,2013-07-10T18:00:00+00:00,2013-07-10T18:00:00+00:00,NY,bearish,BOS BOS,proximal,1.28799,1.29001,1.29021,1.2846,,1.68,,sl,1.29021,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,True,False,2.153,14.475,,True,1.055,0,-1,-1,36.0,28.0,33,premium,0.0,,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2013-07-09T06:00:00+00:00,BOS,BOS,1,holding,False,full,False,0,2.78,3.11,3.11,strong,0.865,,1.559,0.002104,0.544,1,False,,,,,False,15,bearish,counter_trend,True,False,True,bullish,1.27553,100.9,False,False,True,2013-07-10T14:00:00+00:00,1,2013-07-09T14:00:00+00:00,SHORT,,aligned,86.6,False,1,fresh,London,NY,True,False,OB only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6631,EURUSD,2013-07-11T13:00:00+00:00,2013-07-11T14:00:00+00:00,2013-07-11T15:00:00+00:00,NY,bearish,BOS BOS,proximal,1.30537,1.30731,1.30751,1.30207,,1.7,,tp1,1.30207,1.542,1.7,0.0,385.5,True,,1.542,-0.0,1.0,,,,,,,0.527,1,1,-1,3.0,2.0,2,premium,0.0,,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2013-07-11T11:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.15,1.17,1.17,marginal,0.428,,3.104,0.004062,0.264,0,False,,,,,False,13,bearish,with_trend,True,False,False,,1.30095,32.2,False,False,False,2013-07-11T12:00:00+00:00,1,2013-07-11T12:00:00+00:00,SHORT,,aligned,66.1,False,1,no_fvg,London,NY,True,True,Both,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6632,EURUSD,2013-07-16T07:00:00+00:00,2013-07-16T09:00:00+00:00,2013-07-16T10:00:00+00:00,London,bullish,BOS BOS,proximal,1.30609,1.30506,1.3048600000000001,1.30773,,1.59,,tp1,1.30773,1.333,1.59,3.187,333.25,True,,1.333,-0.0,1.0,,,,,,,0.95,1,1,-1,10.0,4.0,8,premium,0.0,,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2013-07-15T23:00:00+00:00,BOS,BOS,1,holding,True,pristine,False,0,1.03,1.32,1.32,marginal,0.641,0.178,1.908,0.001294,0.229,0,False,,,,,False,7,bullish,with_trend,False,False,False,,1.30955,80.7,False,False,False,2013-07-16T06:00:00+00:00,1,2013-07-16T05:00:00+00:00,LONG,,counter,69.6,False,1,fresh,Asia,London,False,False,Neither,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6633,EURUSD,2013-07-18T13:00:00+00:00,2013-07-18T17:00:00+00:00,2013-07-19T02:00:00+00:00,NY,bearish,Confirmation BOS,proximal,1.30993,1.31239,1.31259,1.30532,,1.87,,sl,1.31259,-1.0,-1.0,-1.0,-250.0,True,,0.383,-0.602,-2.611,False,False,1.159,,,,1.813,9,-1,-1,9.0,5.0,5,discount,0.0,,8.0,4.0,1.0,0.0,2.0,1.0,"structure,sweep,freshness",False,h1_only,2013-07-18T08:00:00+00:00,BOS,Confirm,0,holding,False,none,True,0,0.29,1.56,1.56,solid,1.54,,4.165,0.001467,0.907,1,False,,,,,False,13,bearish,with_trend,False,False,False,,1.30726,37.3,False,False,True,2013-07-18T12:00:00+00:00,1,2013-07-18T12:00:00+00:00,SHORT,,counter,25.3,False,1,no_fvg,London,NY,True,False,OB only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
