setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_raw,sl_initial,tp1,tp2,tp1_rr,tp2_rr,tp1_wick,tp1_wick_rr,tp1_zone_source,tp2_wick,tp2_zone_source,tp_wick,tp_wick_rr,tp_nextpool,tp_nextpool_rr,tp_nextpool_zone_source,tp2_collapsed_to_tp1,tp_targets,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,r_capture_ratio,sl_bar_was_sweep,sl_swept_then_tp1,sl_wick_depth_atr,sl_max_adverse_after_sweep_atr,bars_sl_to_tp1_touch,sl_recovered_to_entry,sl_distance_atr,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_to_fill_hours,bars_break_to_pullback,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,event_candle_delta,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,ob_range_atr,fvg_size_atr,impulse_leg_atr,atr_at_ob,ob_body_ratio,ob_walkback_depth,chop_at_alert,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,trend_pd_agree,structure_ranging_at_alert,flip_pending_at_alert,flip_pending_dir_at_alert,leg_extreme_at_alert,leg_extreme_clipped,dr_ceiling_broken_at_ob,dr_floor_broken_at_ob,day_state_at_fill,pdh_status_at_fill,pdl_status_at_fill,pwh_status_at_fill,pwl_status_at_fill,dist_next_pool_above_atr,dist_next_pool_below_atr,next_pool_above_tier,next_pool_below_tier,trade_toward_pool,last_sweep_age_h1,last_sweep_tier,eqh_above_dist_atr,eqh_above_size,eql_below_dist_atr,eql_below_size,eq_trade_toward,eq_sl_gap_atr,eq_sl_at_risk,eq_last_sweep_age_h1,eq_last_sweep_side,eq_intact_above_count,eq_intact_below_count,sweep2_present,sweep2_tier,sweep2_level,sweep2_pierce_atr,sweep2_rejection_ratio,sweep2_follow_atr,sweep2_pools_swept,sweep2_rn_aligned,sweep2_rn_dist_atr,sweep2_eq_size,sweep2_age_at_alert_h1,sweep2_tiers_checked,setup_liq_stop_present,setup_liq_stop_offset_atr,setup_liq_stop_tier,setup_liq_tp_present,setup_liq_tp_offset_atr,setup_liq_legextreme_swept,alert_bar_ts,alert_seq,bos_timestamp,bias,be_arm_bar_touched_entry,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,leg_er_at_alert,setup_badge,setup_badge_kind,weekly_pd_position_at_alert,weekly_range_high_at_alert,weekly_range_low_at_alert,weekly_pd_zone_at_alert,pd_zone_agreement_at_alert,approach_speed_atr_at_fill,approach_body_ratio_at_fill,approach_er_at_fill,killzone_blocked,killzone_windows,news_fill,news_fill_event,news_fill_ccy,news_open,news_open_event
B4228,EURUSD,2021-02-01T09:00:00+00:00,,,London,bearish,CHoCH CHoCH,proximal,1.21259,1.21344,1.21364,1.21118,,1.66,,1.2088,4.46,zone,,,1.20911,4.09,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.03,0,-1,-1,,,4,premium,0.0,False,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2021-02-01T05:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,0,2.78,3.52,2.35,solid,0.638,,0.952,0.001019,0.354,0,36.532,False,,,,,False,9,bullish,ambiguous,False,False,True,bearish,1.20883,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,0,,,,,"pd,eq,sw",True,0.0,bare,False,,False,2021-02-01T08:00:00+00:00,1,2021-02-01T08:00:00+00:00,SHORT,,aligned,55.7,False,0,no_fvg,Asia,London,False,False,never_filled,1.0,,,0.5397,1.21833,1.20586,premium,both_premium,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B4229,EURUSD,2021-02-01T17:00:00+00:00,2021-02-01T18:00:00+00:00,2021-02-01T20:00:00+00:00,NY,bearish,Confirmation BOS,proximal,1.2073,1.20949,1.20969,1.20586,,0.66,,1.20586,0.66,wick,,,1.20586,0.66,,,,True,triple,tp1,1.20586,0.603,0.66,0.0,150.75,True,,0.603,-0.163,1.0,,,,,,,1.518,2,2,-1,5.0,2.0,4,discount,0.0,,7.0,4.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2021-02-01T13:00:00+00:00,BOS,Confirm,0,holding,False,none,False,0,0.06,1.01,1.01,marginal,1.264,,3.824,0.001574,0.462,1,45.745,False,,,,,False,17,bearish,with_trend,False,False,False,,1.20684,False,False,True,EXPANSION_DOWN,intact,broken,intact,intact,5.26,0.915,PD,PW,True,,,7.095,2.0,,,False,5.577,False,2.0,low,1.0,0.0,False,,,,,,0,,,,,"pd,eq,sw",False,,,True,0.0,False,2021-02-01T16:00:00+00:00,1,2021-02-01T16:00:00+00:00,SHORT,,counter,5.3,False,1,no_fvg,NY,NY,True,False,OB only,0.794,,,0.1155,1.21833,1.20586,discount,both_discount,-1.093,0.306,0.326,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B4230,EURUSD,2021-02-03T13:00:00+00:00,2021-02-03T23:00:00+00:00,2021-02-04T00:00:00+00:00,NY,bearish,BOS BOS,proximal,1.20416,1.20477,1.20497,1.20355,,1.0,,1.20355,1.0,wick,,,,,,,,False,triple,tp1,1.20355,0.753,1.0,0.0,188.25,True,,0.753,-0.0,1.0,,,,,,,0.79,1,1,-1,18.0,11.0,8,premium,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2021-02-03T05:00:00+00:00,BOS,BOS,0,holding,False,full,False,0,0.1,0.6,0.6,marginal,0.4,,3.734,0.001026,0.22,1,45.264,False,,,,,False,13,bearish,with_trend,True,False,False,,1.20049,False,False,True,INSIDE,intact,intact,intact,broken,0.819,3.646,PD,PD,False,49.0,PW,4.485,2.0,,,False,3.695,False,38.0,low,2.0,0.0,False,,,,,,0,,,,,"pd,eq,sw",True,0.029,bare,False,,False,2021-02-03T12:00:00+00:00,1,2021-02-03T12:00:00+00:00,SHORT,,aligned,81.4,False,1,stale,Asia,Other,False,False,Neither,1.0,,,-0.1363,1.21833,1.20586,discount,mixed,0.721,0.467,0.535,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B4231,EURUSD,2021-02-05T09:00:00+00:00,,,London,bullish,CHoCH CHoCH,proximal,1.19666,1.19576,1.19556,1.19756,,1.0,,1.19756,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.275,0,-1,-1,,,2,discount,1.0,True,8.0,4.0,1.0,0.0,2.0,1.0,"structure,sweep,freshness",False,h1_only,2021-02-05T07:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,0,1.44,2.4,1.6,solid,0.811,,0.974,0.000863,0.257,0,44.554,False,,,,,False,9,bearish,ambiguous,False,False,True,bullish,1.19873,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,True,PD,1.19574,0.243,0.134,3.465,1,True,0.858,,3.0,"pd,eq,sw",True,-0.394,bare,False,,False,2021-02-05T08:00:00+00:00,1,2021-02-05T08:00:00+00:00,LONG,,aligned,15.9,False,0,no_fvg,London,London,True,False,never_filled,,,,-0.7378,1.21833,1.20586,discount,both_discount,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B4232,EURUSD,2021-02-08T10:00:00+00:00,2021-02-08T10:00:00+00:00,2021-02-08T12:00:00+00:00,London,bearish,BOS BOS,proximal,1.20334,1.20418,1.20438,1.2025,,1.0,,1.2025,1.0,wick,,,,,,,,False,triple,tp1,1.2025,0.808,1.0,0.0,202.0,True,,0.808,-0.548,1.0,,,,,,,0.959,2,2,-1,4.0,1.0,4,premium,0.0,,6.0,3.0,1.0,0.0,2.0,0.0,"structure,sweep,freshness",False,h1_only,2021-02-08T06:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.15,0.37,0.37,marginal,0.59,,2.35,0.001085,0.344,1,58.16,False,,,,,False,10,bearish,with_trend,True,False,False,,1.2024,False,False,False,SWEPT_HIGH,swept,intact,intact,intact,9.493,7.484,PW,PW,True,9.0,PD,4.995,2.0,,,False,4.037,False,97.0,low,1.0,0.0,True,SW,1.205,0.249,0.245,2.396,1,True,0.0,,9.0,"pd,eq,sw",False,,,False,,False,2021-02-08T09:00:00+00:00,1,2021-02-08T09:00:00+00:00,SHORT,,aligned,78.8,False,1,no_fvg,Asia,London,False,False,Neither,0.773,,,0.4408,1.21364,1.19522,discount,mixed,-1.005,0.279,0.463,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B4233,EURUSD,2021-02-08T15:00:00+00:00,,,NY,bullish,CHoCH CHoCH,proximal,1.20325,1.20177,1.20157,1.20836,1.21201,3.45,5.92,1.20992,4.51,zone,,zone,1.20955,4.26,1.21201,5.92,zone,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.345,0,-1,-1,,,3,discount,0.0,False,8.0,3.0,0.0,2.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2021-02-08T12:00:00+00:00,CHoCH,CHoCH,0,holding,True,pristine,False,0,0.58,1.44,0.96,marginal,1.025,0.36,1.337,0.001249,0.25,0,56.387,False,,,,,False,15,bearish,ambiguous,False,False,True,bullish,1.20638,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,0,,,,,"pd,pw,eq,sw",False,,,False,,False,2021-02-08T14:00:00+00:00,1,2021-02-08T14:00:00+00:00,LONG,,aligned,29.0,False,0,fresh,London,NY,True,False,never_filled,1.0,,,0.4359,1.21364,1.19522,discount,both_discount,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B4234,EURUSD,2021-02-09T10:00:00+00:00,2021-02-10T02:00:00+00:00,2021-02-10T08:00:00+00:00,London,bearish,CHoCH CHoCH,proximal,1.21259,1.21344,1.21364,1.21174,,1.0,,1.21174,1.0,wick,,,,,,,,False,triple,sl,1.21364,-1.0,-1.0,-1.0,-250.0,True,,0.305,-0.743,-3.279,False,False,0.746,,1.0,,1.03,6,-1,-1,213.0,162.0,149,premium,0.0,False,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2021-02-01T05:00:00+00:00,CHoCH,CHoCH,0,holding,True,pristine,False,0,2.78,3.52,2.35,solid,0.638,1.727,0.952,0.001019,0.354,0,27.914,False,,,,,False,10,bullish,counter_trend,False,False,False,,1.20696,False,False,True,SWEPT_HIGH,swept,intact,intact,intact,1.03,7.721,PW,PD,False,4.0,PD,,,,,,,,17.0,low,0.0,0.0,False,,,,,,0,,,,,"pd,eq,sw",True,0.0,bare,False,,False,2021-02-09T09:00:00+00:00,2,2021-02-01T08:00:00+00:00,SHORT,,aligned,55.7,False,0,fresh,Asia,Asia,False,False,Neither,0.834,,,0.943,1.21364,1.19522,premium,both_premium,-0.265,0.38,0.311,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B4235,EURUSD,2021-02-16T09:00:00+00:00,2021-02-16T13:00:00+00:00,2021-02-16T13:00:00+00:00,London,bullish,BOS BOS,proximal,1.2142,1.21263,1.21243,1.21577,,1.0,,1.21577,1.0,wick,,,,,,,,False,triple,sl,1.21243,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,False,False,2.06,,,,2.048,0,-1,-1,6.0,5.0,2,premium,0.0,,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2021-02-16T07:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.52,2.66,2.66,strong,1.585,,2.962,0.000864,0.65,0,51.356,False,,,,,False,9,bullish,with_trend,False,False,False,,1.21574,False,True,False,EXPANSION_UP,broken,intact,broken,intact,,2.927,,PD,False,8.0,PD,,,,,,,,45.0,low,0.0,0.0,False,,,,,,0,,,,,"pd,eq,sw",True,0.058,bare,False,,False,2021-02-16T08:00:00+00:00,1,2021-02-16T08:00:00+00:00,LONG,,counter,79.7,False,3,no_fvg,London,NY,True,True,Both,,,,0.9437,1.21493,1.20197,premium,both_premium,0.243,0.48,0.176,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B4236,EURUSD,2021-02-16T14:00:00+00:00,2021-02-17T07:00:00+00:00,2021-02-17T07:00:00+00:00,NY,bullish,BOS BOS,proximal,1.208,1.20735,1.20715,1.20865,,1.0,,1.20865,1.0,wick,,,,,,,,False,triple,sl,1.20715,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,True,True,0.058,3.992,30.0,True,0.705,0,-1,-1,195.0,143.0,130,discount,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2021-02-09T04:00:00+00:00,BOS,BOS,0,holding,False,full,False,0,1.33,1.41,1.41,marginal,0.373,,2.896,0.001205,0.267,1,43.316,False,,,,,False,14,bullish,counter_trend,True,False,True,bearish,1.21165,False,False,False,EXPANSION_DOWN,intact,broken,swept,intact,7.419,5.004,PD,PW,False,17.0,PW,,,,,,,,11.0,low,0.0,0.0,False,,,,,,0,,,,,"pd,eq,sw",False,,,False,,False,2021-02-16T13:00:00+00:00,1,2021-02-09T08:00:00+00:00,LONG,,aligned,-2.2,False,3,stale,Asia,London,False,True,Fill only,0.939,,,0.4653,1.21493,1.20197,discount,both_discount,0.282,0.481,0.112,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B4237,EURUSD,2021-02-16T14:00:00+00:00,,,NY,bearish,CHoCH CHoCH,proximal,1.2162,1.217,1.2172,1.2154,,1.0,,1.2154,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,0.72,0,-1,-1,,,3,premium,1.0,True,8.0,4.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2021-02-16T11:00:00+00:00,CHoCH,CHoCH,0,holding,True,pristine,False,0,1.37,2.91,1.94,solid,0.432,0.727,0.986,0.001389,0.25,0,43.316,False,,,,,False,14,bullish,ambiguous,False,False,True,bearish,1.21065,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,0,,,,,"pd,eq,sw",False,,,False,,False,2021-02-16T13:00:00+00:00,1,2021-02-16T13:00:00+00:00,SHORT,,aligned,91.6,False,0,fresh,London,NY,False,False,never_filled,1.0,,,1.098,1.21493,1.20197,premium,both_premium,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
