setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,entry_raw,sl_initial,tp_2r,exit_reason,exit_price,r_realised,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,r_capture_ratio,sl_bar_was_sweep,sl_swept_then_2r,sl_swept_then_1r,sl_wick_depth_atr,sl_max_adverse_after_sweep_atr,bars_sl_to_2r_touch,bars_sl_to_1r_touch,sl_recovered_to_entry,sl_distance_atr,sl_dist_atr_at_alert,tp_dist_atr_at_alert,bars_to_exit,bars_to_mfe,bars_to_mae,ob_to_fill_hours,bars_break_to_pullback,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,event_candle_delta,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,is_mss,ob_range_atr,fvg_size_atr,impulse_leg_to_extreme_atr,atr_at_ob,atr_at_fill,ob_body_ratio,ob_walkback_depth,chop_at_alert,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,trend_pd_agree,structure_ranging_at_alert,flip_pending_at_alert,flip_pending_dir_at_alert,leg_extreme_at_alert,leg_extreme_clipped,dr_ceiling_broken_at_ob,dr_floor_broken_at_ob,day_state_at_fill,pdh_status_at_fill,pdl_status_at_fill,pwh_status_at_fill,pwl_status_at_fill,dist_next_pool_above_atr,dist_next_pool_below_atr,next_pool_above_tier,next_pool_below_tier,trade_toward_pool,last_sweep_age_h1,last_sweep_tier,eqh_above_dist_atr,eqh_above_size,eql_below_dist_atr,eql_below_size,eq_trade_toward,eq_sl_gap_atr,eq_sl_at_risk,eq_last_sweep_age_h1,eq_last_sweep_side,eq_intact_above_count,eq_intact_below_count,sweep2_present,sweep2_pools_swept,sweep2_age_at_fill_h1,sweep2_tiers_checked,sweep2_sw_present,sweep2_sw_pierce_atr,sweep2_sw_rejection_ratio,sweep2_sw_follow_atr,sweep2_sw_rn_aligned,sweep2_eq_present,sweep2_eq_pierce_atr,sweep2_eq_rejection_ratio,sweep2_eq_follow_atr,sweep2_eq_rn_aligned,sweep2_eq_size,sweep2_pw_present,sweep2_pw_pierce_atr,sweep2_pw_rejection_ratio,sweep2_pw_follow_atr,sweep2_pw_rn_aligned,sweep2_pd_present,sweep2_pd_pierce_atr,sweep2_pd_rejection_ratio,sweep2_pd_follow_atr,sweep2_pd_rn_aligned,setup_liq_stop_present,setup_liq_stop_offset_atr,setup_liq_stop_tier,setup_liq_tp_present,setup_liq_tp_offset_atr,setup_liq_legextreme_swept,session_level_event,session_level_which,session_level_side,session_level_pair_relevant,alert_bar_ts,alert_seq,bos_timestamp,bias,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,atr_regime_pct_at_fill,atr_regime_ratio_at_fill,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,leg_er_at_alert,setup_badge,setup_badge_kind,weekly_pd_position_at_alert,weekly_range_high_at_alert,weekly_range_low_at_alert,weekly_pd_zone_at_alert,pd_zone_agreement_at_alert,approach_speed_atr_at_fill,approach_body_ratio_at_fill,approach_er_at_fill,killzone_blocked,killzone_windows,news_fill,news_fill_event,news_fill_ccy,news_open,news_open_event
B7247,EURUSD,2016-01-14T16:00:00+00:00,,,NY,bullish,CHoCH CHoCH,proximal,1.0762,1.0762,1.07511,1.07838,never_filled,,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,,,0.482,0.357,0.714,0,,,,,143,premium,1.0,True,8.0,4.0,1.0,1.0,2.0,0.0,"structure,sweep,fvg,freshness",False,h1_only,2016-01-06T17:00:00+00:00,CHoCH,CHoCH,0,holding,True,partial,True,0,0.93,1.45,0.96,marginal,False,0.393,0.672,1.644,0.002263,,0.742,0,51.701,False,,,,,False,16,bullish,counter_trend,False,False,True,bearish,1.07992,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,True,1,,"eq,sw",True,0.265,6.895,3.549,False,False,,,,,,False,,,,,False,,,,,False,,,False,,False,none,none,none,False,2016-01-14T15:00:00+00:00,5,2016-01-06T19:00:00+00:00,LONG,counter,53.9,False,0,,,fresh,NY,NY,False,False,never_filled,0.921,A+ Reversal at the Wall,premium,0.2188,1.09462,1.07104,discount,mixed,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B7248,EURUSD,2016-01-14T16:00:00+00:00,2016-01-15T02:00:00+00:00,2016-01-15T13:00:00+00:00,NY,bearish,CHoCH CHoCH,proximal,1.08798,1.08798,1.09194,1.08006,sl,1.09194,-1.0,-250.0,True,,0.485,-0.972,-2.062,False,,,2.13,,,,,1.298,1.298,2.596,16,5.0,10.0,12.0,11.0,2,premium,1.0,True,8.0,4.0,1.0,0.0,2.0,1.0,"structure,sweep,freshness",False,h1_only,2016-01-14T14:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,True,0,0.45,2.28,1.52,solid,True,1.232,,1.435,0.003051,0.002066,0.452,0,51.701,False,,,,,False,16,bullish,ambiguous,False,False,True,bearish,1.0836,False,False,False,INSIDE,intact,intact,swept,intact,2.068,1.494,PD,PD,True,98.0,PW,,,3.575,2.0,True,,,7.0,low,0.0,2.0,True,1,16.0,"eq,sw,pd,pw",True,0.095,2.174,3.199,False,False,,,,,,False,,,,,False,,,,,False,,,True,0.072,False,none,none,none,False,2016-01-14T15:00:00+00:00,1,2016-01-14T15:00:00+00:00,SHORT,aligned,54.4,False,0,81.24,1.2354,no_fvg,NY,Asia,True,False,OB only,,,,0.7184,1.09462,1.07104,premium,both_premium,0.364,0.547,0.407,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,1.0,Core Retail Sales m/m
B7249,EURUSD,2016-01-15T05:00:00+00:00,2016-01-15T05:00:00+00:00,2016-01-15T08:00:00+00:00,Asia,bearish,CHoCH CHoCH,proximal,1.08821,1.08821,1.09036,1.0839099999999997,sl,1.09036,-1.0,-250.0,True,,1.0,-0.349,-1.0,True,False,False,0.049,4.434,,,True,1.18,1.18,2.36,13,2.0,2.0,16.0,14.0,16,premium,1.0,True,7.0,4.0,1.0,0.0,1.0,1.0,"structure,sweep,freshness",False,h1_only,2016-01-14T13:00:00+00:00,CHoCH,CHoCH,0,holding,False,full,True,1,1.08,5.45,3.63,strong,True,1.07,,2.629,0.001822,0.00133,0.456,1,46.874,False,,,,,False,5,bullish,ambiguous,False,False,True,bearish,1.08342,False,False,False,INSIDE,intact,intact,swept,intact,3.337,2.629,PD,PD,True,101.0,PW,,,6.114,2.0,True,,,10.0,low,0.0,1.0,True,1,19.0,"eq,sw,pd,pw",True,0.159,2.174,5.356,False,False,,,,,,False,,,,,False,,,,,False,,,True,-0.269,False,none,none,none,False,2016-01-15T04:00:00+00:00,1,2016-01-14T15:00:00+00:00,SHORT,aligned,56.0,False,0,53.61,0.9569,fresh,NY,Asia,True,False,OB only,0.3,,,0.7282,1.09462,1.07104,premium,both_premium,0.576,0.321,0.715,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B7250,EURUSD,2016-01-15T15:00:00+00:00,2016-01-17T22:00:00+00:00,2016-01-18T03:00:00+00:00,NY,bullish,BOS BOS,proximal,1.09157,1.09157,1.08877,1.0971699999999998,sl,1.08877,-1.0,-250.0,True,,0.829,-0.993,-1.206,True,False,False,0.012,1.123,,,True,1.099,1.099,2.199,49,45.0,11.0,59.0,9.0,4,premium,0.0,,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2016-01-15T11:00:00+00:00,BOS,BOS,1,holding,True,pristine,False,0,0.53,1.85,1.85,solid,,1.021,0.448,2.697,0.002547,0.002991,0.435,0,38.511,True,Prelim UoM Consumer Sentiment,USD,ff,2016-01-15T15:00:00+00:00,False,15,bullish,with_trend,False,False,False,,1.09844,False,True,False,INSIDE,intact,intact,intact,intact,2.697,2.411,PW,PD,False,,,2.697,2.0,5.693,2.0,True,4.593,False,27.0,low,1.0,1.0,False,0,,"eq,sw,pd,pw",False,,,,,False,,,,,,False,,,,,False,,,,,False,,,False,,False,break,asia,high,True,2016-01-15T14:00:00+00:00,1,2016-01-15T13:00:00+00:00,LONG,counter,61.8,False,1,93.57,1.6458,fresh,London,Other,False,False,Neither,1.0,,,0.8707,1.09462,1.07104,premium,both_premium,1.382,0.418,0.462,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B7251,EURUSD,2016-01-18T16:00:00+00:00,2016-01-18T17:00:00+00:00,2016-01-19T02:00:00+00:00,NY,bearish,Confirmation BOS,proximal,1.08912,1.08912,1.09024,1.08688,sl,1.09024,-1.0,-250.0,True,,2.866,-0.696,-0.349,True,False,False,0.072,4.813,,,True,0.735,0.735,1.471,49,14.0,4.0,3.0,2.0,2,discount,0.0,,7.0,4.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2016-01-18T14:00:00+00:00,BOS,Confirm,0,holding,False,none,False,0,0.09,1.62,1.62,solid,,0.604,,1.392,0.001523,0.001561,0.522,0,55.147,False,,,,,False,16,bearish,with_trend,False,False,False,,1.087,False,False,True,INSIDE,intact,intact,intact,intact,6.12,2.423,PW,PD,True,,,6.12,2.0,7.913,2.0,False,5.385,False,46.0,low,1.0,1.0,False,0,,"eq,sw,pd,pw",False,,,,,False,,,,,,False,,,,,False,,,,,True,0.433,bare,False,,False,none,none,none,False,2016-01-18T15:00:00+00:00,1,2016-01-18T15:00:00+00:00,SHORT,counter,18.5,False,1,36.21,0.818,no_fvg,NY,NY,True,False,OB only,,,,0.4816,1.09844,1.08046,discount,both_discount,-0.571,0.569,0.108,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B7252,EURUSD,2016-01-19T07:00:00+00:00,2016-01-19T08:00:00+00:00,2016-01-19T14:00:00+00:00,London,bearish,BOS BOS,proximal,1.08819,1.08819,1.08952,1.08553,sl,1.08952,-1.0,-250.0,True,,1.677,-0.94,-0.596,True,False,False,1.279,7.356,,,True,1.215,1.215,2.431,49,3.0,39.0,7.0,2.0,6,discount,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2016-01-19T01:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.66,0.88,0.88,marginal,,1.033,,0.923,0.001094,0.001214,0.319,1,54.913,False,,,,,False,7,bearish,with_trend,False,False,False,,1.08718,False,False,False,INSIDE,intact,intact,intact,intact,4.149,1.234,PD,PD,True,,,9.367,2.0,,,False,8.151,False,,,1.0,0.0,False,0,,"eq,sw,pd,pw",False,,,,,False,,,,,,False,,,,,False,,,,,False,,,True,0.484,False,sweep,asia,high,True,2016-01-19T06:00:00+00:00,1,2016-01-19T06:00:00+00:00,SHORT,counter,37.2,False,2,8.83,0.599,no_fvg,Asia,London,False,True,Fill only,0.384,,,0.4299,1.09844,1.08046,discount,both_discount,-2.056,0.485,0.504,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",1.0,German ZEW Economic Sentiment,EUR,1.0,German ZEW Economic Sentiment
B7253,EURUSD,2016-01-19T08:00:00+00:00,2016-01-19T08:00:00+00:00,2016-01-19T14:00:00+00:00,London,bearish,BOS BOS,proximal,1.08812,1.08812,1.09055,1.08326,sl,1.09055,-1.0,-250.0,True,,0.889,-0.988,-1.125,True,False,False,0.325,6.158,,,True,2.132,2.132,4.263,49,3.0,46.0,6.0,2.0,6,discount,0.0,,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2016-01-19T02:00:00+00:00,BOS,BOS,0,holding,True,pristine,False,0,0.62,0.82,0.82,marginal,,1.956,0.237,1.939,0.00114,0.001214,0.453,0,44.829,False,,,,,False,8,bearish,with_trend,False,False,False,,1.08591,False,False,True,INSIDE,intact,intact,intact,intact,4.044,1.123,PD,PD,True,,,9.053,2.0,,,False,6.921,False,61.0,low,1.0,0.0,False,0,,"eq,sw,pd,pw",False,,,,,False,,,,,,False,,,,,False,,,,,True,0.307,bare,True,0.14,True,sweep,asia,high,True,2016-01-19T07:00:00+00:00,1,2016-01-19T06:00:00+00:00,SHORT,counter,48.5,False,2,8.83,0.599,fresh,Asia,London,False,True,Fill only,1.0,,,0.426,1.09844,1.08046,discount,both_discount,-1.974,0.485,0.504,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",1.0,German ZEW Economic Sentiment,EUR,1.0,German ZEW Economic Sentiment
B7254,EURUSD,2016-01-19T13:00:00+00:00,,,NY,bullish,CHoCH CHoCH,proximal,1.08238,1.08238,1.08026,1.0866199999999997,never_filled,,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,,,1.263,1.404,2.808,0,,,,,97,discount,1.0,True,9.0,4.0,1.0,1.0,2.0,1.0,"structure,sweep,fvg,freshness",False,h1_only,2016-01-13T12:00:00+00:00,CHoCH,CHoCH,0,holding,True,partial,True,0,0.53,0.91,0.61,marginal,False,1.144,0.685,3.473,0.001679,,0.448,0,57.361,False,,,,,False,13,bearish,counter_trend,False,False,False,,1.08821,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,True,1,,"eq,sw",True,0.113,0.932,2.663,False,False,,,,,,False,,,,,False,,,,,True,0.012,bare,False,,True,sweep,asia,low,True,2016-01-19T12:00:00+00:00,4,2016-01-13T14:00:00+00:00,LONG,aligned,20.1,False,0,,,fresh,London,NY,True,False,never_filled,0.85,A+ Reversal at the Wall,premium,0.1068,1.09844,1.08046,discount,both_discount,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B7255,EURUSD,2016-01-19T17:00:00+00:00,2016-01-20T23:00:00+00:00,2016-01-21T07:00:00+00:00,NY,bullish,CHoCH CHoCH,proximal,1.08744,1.08744,1.0858,1.0907199999999997,tp,1.0907199999999997,2.0,500.0,True,,2.829,-0.585,0.707,,,,,,,,,0.934,0.934,1.869,43,8.0,23.0,34.0,31.0,4,discount,1.0,True,10.0,4.0,1.0,2.0,2.0,1.0,"structure,sweep,fvg,freshness",False,h1_only,2016-01-19T13:00:00+00:00,CHoCH,CHoCH,0,holding,True,pristine,True,0,0.27,1.25,0.83,marginal,False,0.821,0.906,1.983,0.001755,0.00228,0.59,0,61.404,False,,,,,False,17,bearish,ambiguous,False,False,True,bullish,1.09092,False,False,False,INSIDE,intact,intact,intact,intact,0.142,3.977,PD,PW,True,,,6.268,2.0,0.872,2.0,False,-0.063,False,100.0,low,1.0,2.0,True,3,39.0,"eq,sw,pd,pw",True,0.085,0.699,2.769,False,False,,,,,,False,,,,,True,0.53,0.699,2.325,False,True,0.063,bare,True,0.103,False,none,none,none,False,2016-01-19T16:00:00+00:00,1,2016-01-19T16:00:00+00:00,LONG,aligned,33.6,False,0,83.37,1.3,fresh,NY,Other,True,False,OB only,1.0,A+ Reversal at the Wall,premium,0.3882,1.09844,1.08046,discount,both_discount,0.091,0.419,0.288,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B7256,EURUSD,2016-01-20T04:00:00+00:00,2016-01-20T11:00:00+00:00,2016-01-20T12:00:00+00:00,Asia,bullish,Confirmation BOS,proximal,1.09137,1.09137,1.0903,1.0935099999999998,sl,1.0903,-1.0,-250.0,True,,2.084,-0.963,-0.48,True,False,False,0.319,7.05,,,True,0.599,0.599,1.197,49,6.0,6.0,12.0,8.0,5,premium,0.0,,9.0,4.0,1.0,2.0,2.0,0.0,"structure,sweep,fvg,freshness",False,h1_only,2016-01-19T23:00:00+00:00,BOS,Confirm,0,holding,True,pristine,True,0,0.48,0.95,0.95,marginal,,0.487,0.235,2.137,0.001787,0.001917,0.368,0,34.638,False,,,,,False,4,bullish,with_trend,False,False,False,,1.09519,False,True,False,SWEPT_HIGH,swept,intact,intact,intact,3.956,3.055,PW,PD,False,1.0,PD,3.956,2.0,3.055,2.0,False,2.456,False,88.0,low,1.0,2.0,True,3,27.0,"eq,sw,pd,pw",True,0.084,0.699,5.109,False,False,,,,,,False,,,,,True,0.52,0.699,4.672,False,True,0.078,bare,False,,False,none,none,none,False,2016-01-20T03:00:00+00:00,1,2016-01-20T03:00:00+00:00,LONG,counter,58.8,False,1,54.57,0.9599,fresh,Other,London,False,False,Neither,1.0,,,0.6068,1.09844,1.08046,premium,both_premium,0.778,0.541,0.313,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B7257,EURUSD,2016-01-21T14:00:00+00:00,,,NY,bullish,CHoCH CHoCH,proximal,1.0762,1.0762,1.07511,1.07838,never_filled,,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,,,0.482,0.441,0.883,0,,,,,261,premium,1.0,True,8.0,4.0,1.0,1.0,2.0,0.0,"structure,sweep,fvg,freshness",False,h1_only,2016-01-06T17:00:00+00:00,CHoCH,CHoCH,0,holding,True,partial,True,0,0.93,1.45,0.96,marginal,False,0.393,0.672,,0.002263,,0.742,0,34.308,True,ECB Press Conference,EUR,ff,2016-01-21T13:30:00+00:00,False,14,bullish,counter_trend,False,False,True,bearish,,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,True,1,,"eq,sw",True,0.265,6.895,3.549,False,False,,,,,,False,,,,,False,,,,,False,,,False,,,sweep,asia,low,True,2016-01-21T13:00:00+00:00,6,2016-01-06T19:00:00+00:00,LONG,counter,53.9,False,0,,,fresh,NY,NY,False,False,never_filled,,A+ Reversal at the Wall,premium,-0.2369,1.09844,1.08046,discount,mixed,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B7258,EURUSD,2016-01-22T18:00:00+00:00,2016-01-25T08:00:00+00:00,2016-01-25T20:00:00+00:00,NY,bearish,Confirmation BOS,proximal,1.0833,1.0833,1.08472,1.08046,sl,1.08472,-1.0,-250.0,True,,1.732,-0.852,-0.577,False,,,0.467,,,,,0.729,0.729,1.458,49,4.0,6.0,70.0,15.0,8,discount,0.0,,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2016-01-22T10:00:00+00:00,BOS,Confirm,0,holding,False,full,False,0,0.02,0.76,0.76,marginal,,0.626,,2.002,0.001948,0.001172,0.607,2,45.655,False,,,,,False,18,bearish,with_trend,False,False,False,,1.0794,False,False,False,SWEPT_LOW,intact,swept,intact,intact,2.875,2.875,PD,PW,True,9.0,PD,4.508,2.0,,,False,3.779,False,30.0,low,2.0,0.0,False,0,,"eq,sw,pd,pw",False,,,,,False,,,,,,False,,,,,False,,,,,False,,,False,,False,none,none,none,False,2016-01-22T17:00:00+00:00,1,2016-01-22T17:00:00+00:00,SHORT,counter,21.5,False,1,10.29,0.6115,fresh,London,London,False,True,Fill only,0.622,,,0.158,1.09844,1.08046,discount,both_discount,0.169,0.585,0.291,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",1.0,German ifo Business Climate,EUR,1.0,German ifo Business Climate
B7259,EURUSD,2016-01-26T08:00:00+00:00,2016-01-26T08:00:00+00:00,2016-01-26T09:00:00+00:00,London,bullish,Confirmation BOS,proximal,1.08534,1.08534,1.08387,1.08828,sl,1.08387,-1.0,-250.0,True,,4.279,-0.986,-0.234,False,,,0.372,,,,,1.163,1.163,2.327,49,36.0,10.0,3.0,1.0,3,premium,0.0,,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2016-01-26T05:00:00+00:00,BOS,Confirm,0,holding,False,none,False,0,0.72,1.63,1.63,solid,,1.005,,1.63,0.001264,0.001314,0.409,0,57.656,False,,,,,False,8,bullish,with_trend,False,False,False,,1.0874,False,True,False,SWEPT_HIGH,swept,intact,intact,intact,9.679,5.128,PW,PD,False,1.0,PD,5.334,2.0,,,True,,,0.0,low,2.0,0.0,False,0,,"eq,sw,pd,pw",False,,,,,False,,,,,,False,,,,,False,,,,,False,,,False,,False,sweep,asia,high,True,2016-01-26T07:00:00+00:00,1,2016-01-26T07:00:00+00:00,LONG,counter,75.9,False,1,15.21,0.6642,no_fvg,Asia,London,False,True,Fill only,1.0,,,0.3845,1.09757,1.0777,discount,mixed,-1.171,0.503,0.444,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B7260,EURUSD,2016-01-26T10:00:00+00:00,2016-01-26T15:00:00+00:00,2016-01-27T07:00:00+00:00,London,bearish,CHoCH CHoCH,proximal,1.08477,1.08477,1.0876,1.0791100000000002,sl,1.0876,-1.0,-250.0,True,,0.392,-0.996,-2.551,True,False,False,0.441,6.502,,,False,2.013,2.013,4.026,49,2.0,18.0,8.0,6.0,3,premium,0.0,False,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2016-01-26T07:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,0,0.25,0.74,0.5,marginal,False,1.871,,0.975,0.001406,0.001635,0.395,0,57.896,False,,,,,False,10,bullish,ambiguous,False,False,True,bearish,1.0834,False,False,False,SWEPT_HIGH,swept,intact,intact,intact,9.106,4.204,PW,PD,True,6.0,PD,5.2,2.0,,,False,3.187,False,0.0,high,2.0,0.0,False,0,,,False,,,,,False,,,,,,False,,,,,False,,,,,False,,,True,-0.178,False,sweep,asia,high,True,2016-01-26T09:00:00+00:00,1,2016-01-26T09:00:00+00:00,SHORT,aligned,69.2,False,0,39.52,0.8391,no_fvg,London,NY,True,True,Both,1.0,,,0.3558,1.09757,1.0777,discount,mixed,0.832,0.219,0.284,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",1.0,CB Consumer Confidence,USD,1.0,CB Consumer Confidence
B7261,EURUSD,2016-01-27T10:00:00+00:00,2016-01-27T17:00:00+00:00,2016-01-27T19:00:00+00:00,London,bullish,BOS BOS,proximal,1.08636,1.08636,1.08524,1.0886,tp,1.0886,2.0,500.0,True,,9.268,-0.357,0.216,,,,,,,,,0.894,0.894,1.788,49,25.0,2.0,11.0,8.0,4,premium,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2016-01-27T06:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.18,0.45,0.45,marginal,,0.734,,1.485,0.001253,0.00164,0.489,1,64.163,False,,,,,False,10,bullish,with_trend,False,False,False,,1.08822,False,False,False,SWEPT_HIGH,swept,intact,intact,intact,8.948,3.6,PW,PD,False,0.0,PD,4.566,2.0,1.062,2.0,False,0.168,True,0.0,high,2.0,1.0,False,0,,"eq,sw,pd,pw",False,,,,,False,,,,,,False,,,,,False,,,,,True,-0.168,bare,False,,False,sweep,asia,high,True,2016-01-27T09:00:00+00:00,1,2016-01-27T09:00:00+00:00,LONG,counter,70.8,False,2,42.55,0.8595,no_fvg,Asia,NY,False,False,Neither,0.725,,,0.4358,1.09757,1.0777,discount,mixed,2.235,0.388,0.039,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",1.0,Federal Funds Rate,USD,1.0,Federal Funds Rate
B7262,EURUSD,2016-01-27T13:00:00+00:00,2016-01-27T14:00:00+00:00,2016-01-27T15:00:00+00:00,NY,bullish,BOS BOS,proximal,1.08788,1.08788,1.0864,1.0908399999999998,sl,1.0864,-1.0,-250.0,True,,5.986,-0.993,-0.167,True,False,False,0.015,3.53,,,True,1.119,1.119,2.238,49,28.0,2.0,4.0,2.0,3,premium,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2016-01-27T10:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.41,0.93,0.93,marginal,,0.968,,1.058,0.001323,0.001509,0.242,0,58.065,False,,,,,False,13,bullish,with_trend,False,False,False,,1.08928,False,True,False,EXPANSION_UP,broken,intact,intact,intact,7.325,4.558,PW,PD,False,3.0,PD,3.175,2.0,2.154,2.0,False,1.036,False,3.0,high,2.0,1.0,False,0,,"eq,sw,pd,pw",False,,,,,False,,,,,,False,,,,,False,,,,,False,,,False,,False,break,asia,high,True,2016-01-27T12:00:00+00:00,1,2016-01-27T12:00:00+00:00,LONG,counter,81.2,False,3,29.17,0.7638,no_fvg,London,NY,False,True,Fill only,1.0,,,0.5123,1.09757,1.0777,premium,both_premium,-1.958,0.418,0.668,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",1.0,Crude Oil Inventories,USD,1.0,Crude Oil Inventories
B7263,EURUSD,2016-01-27T16:00:00+00:00,2016-01-29T15:00:00+00:00,2016-01-29T16:00:00+00:00,NY,bullish,CHoCH CHoCH,proximal,1.08324,1.08324,1.08125,1.08722,sl,1.08125,-1.0,-250.0,True,,0.623,-0.653,-1.605,True,True,True,0.204,0.0,20.0,15.0,True,1.401,1.249,2.498,3,2.0,2.0,102.0,97.0,55,premium,1.0,True,5.0,4.0,0.0,0.0,0.0,1.0,structure,False,h1_only,2016-01-25T09:00:00+00:00,CHoCH,CHoCH,0,holding,False,full,False,2,0.22,0.37,0.25,marginal,False,1.26,,1.703,0.001421,0.002634,0.637,1,52.123,True,Crude Oil Inventories,USD,ff,2016-01-27T15:30:00+00:00,False,16,bullish,with_trend,False,False,False,,1.08566,False,False,False,EXPANSION_DOWN,intact,broken,intact,intact,9.502,3.899,PD,PW,False,,,,,,,,,,0.0,high,0.0,0.0,False,0,,"eq,sw,pd,pw",False,,,,,False,,,,,,False,,,,,False,,,,,True,-0.289,bare,False,,False,none,none,none,False,2016-01-27T15:00:00+00:00,2,2016-01-25T14:00:00+00:00,LONG,counter,51.3,False,0,85.77,1.3565,stale,London,NY,True,True,Both,0.445,,,0.2788,1.09757,1.0777,discount,mixed,5.272,0.456,0.523,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
