pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,mfe_r,mae_r,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_age_h1_bars,pd_zone,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,fvg_present,sweep_present,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,alert_bar_ts,alert_seq,bos_timestamp,bias,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,killzone_blocked,killzone_windows
EURUSD,2026-02-23T00:00:00+00:00,2026-02-23T01:00:00+00:00,2026-02-23T01:00:00+00:00,Asia,bearish,BOS BOS,proximal,1.17966,1.1810399999999999,1.17786,1.17772,1.54,1.66,sl,1.1810399999999999,-1.0,-1.0,-1.0,-250.0,0.0,-2.835,0,-1,-1,40,premium,1.0,1.0,0.0,0.0,0.0,0.0,structure,False,h1_only,2026-02-19T07:00:00+00:00,BOS,BOS,False,False,False,,,,,True,0,2026-02-20T22:00:00+00:00,1,2026-02-19T12:00:00+00:00,SHORT,stale,London,Asia,True,False,OB only,True,"07:00-10:00 UTC, 12:00-17:00 UTC"
EURUSD,2026-02-23T00:00:00+00:00,2026-02-23T01:00:00+00:00,2026-02-23T01:00:00+00:00,Asia,bearish,BOS BOS,50pct,1.18015,1.1810399999999999,1.17786,1.17772,3.319,3.522,sl,1.1810399999999999,-1.0,-1.0,-1.0,-250.0,0.0,-3.845,0,-1,-1,40,premium,1.0,1.0,0.0,0.0,0.0,0.0,structure,False,h1_only,2026-02-19T07:00:00+00:00,BOS,BOS,False,False,False,,,,,True,0,2026-02-20T22:00:00+00:00,1,2026-02-19T12:00:00+00:00,SHORT,stale,London,Asia,True,False,OB only,True,"07:00-10:00 UTC, 12:00-17:00 UTC"
EURUSD,2026-02-23T00:00:00+00:00,2026-02-23T01:00:00+00:00,2026-02-23T01:00:00+00:00,Asia,bearish,BOS BOS,proximal,1.18189,1.18327,1.1798,1.17952,1.77,2.01,sl,1.18327,-1.0,-1.0,-1.0,-250.0,0.0,-1.219,0,-1,-1,56,premium,4.0,1.0,0.0,2.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2026-02-18T15:00:00+00:00,BOS,BOS,True,False,False,,,,,True,0,2026-02-20T22:00:00+00:00,1,2026-02-18T18:00:00+00:00,SHORT,fresh,NY,Asia,True,False,OB only,True,"07:00-10:00 UTC, 12:00-17:00 UTC"
EURUSD,2026-02-23T00:00:00+00:00,2026-02-23T01:00:00+00:00,2026-02-23T01:00:00+00:00,Asia,bearish,BOS BOS,50pct,1.18238,1.18327,1.1798,1.17952,3.739,4.145,sl,1.18327,-1.0,-1.0,-1.0,-250.0,0.0,-1.339,0,-1,-1,56,premium,4.0,1.0,0.0,2.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2026-02-18T15:00:00+00:00,BOS,BOS,True,False,False,,,,,True,0,2026-02-20T22:00:00+00:00,1,2026-02-18T18:00:00+00:00,SHORT,fresh,NY,Asia,True,False,OB only,True,"07:00-10:00 UTC, 12:00-17:00 UTC"
EURUSD,2026-02-23T01:00:00+00:00,2026-02-23T11:00:00+00:00,2026-02-23T12:00:00+00:00,Asia,bullish,CHoCH CHoCH,proximal,1.17952,1.17815,1.18133,,1.54,,sl,1.17815,-1.0,-1.0,-1.0,-250.0,0.511,-1.214,1,-1,-1,3,premium,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2026-02-20T21:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,True,1,2026-02-23T00:00:00+00:00,1,2026-02-23T00:00:00+00:00,LONG,no_fvg,Other,London,False,False,Neither,True,"07:00-10:00 UTC, 12:00-17:00 UTC"
EURUSD,2026-02-23T01:00:00+00:00,2026-02-23T11:00:00+00:00,2026-02-23T12:00:00+00:00,Asia,bullish,CHoCH CHoCH,50pct,1.17904,1.17815,1.18133,,3.319,,sl,1.17815,-1.0,-1.0,-1.0,-250.0,1.325,-1.33,1,-1,-1,3,premium,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2026-02-20T21:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,True,1,2026-02-23T00:00:00+00:00,1,2026-02-23T00:00:00+00:00,LONG,no_fvg,Other,London,False,False,Neither,True,"07:00-10:00 UTC, 12:00-17:00 UTC"
EURUSD,2026-02-23T07:00:00+00:00,,,London,bearish,BOS BOS,proximal,1.18666,1.1874799999999999,1.18568,1.18554,1.58,1.81,never_filled,,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,116,premium,5.0,3.0,1.0,0.0,1.0,0.0,"structure,sweep,freshness",False,h1_only,2026-02-16T10:00:00+00:00,BOS,BOS,False,True,False,,,,,False,7,2026-02-23T06:00:00+00:00,1,2026-02-16T12:00:00+00:00,SHORT,stale,London,London,False,False,never_filled,False,"07:00-10:00 UTC, 12:00-17:00 UTC"
EURUSD,2026-02-23T07:00:00+00:00,,,London,bearish,BOS BOS,50pct,1.18687,1.1874799999999999,1.18568,1.18554,2.902,3.244,never_filled,,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,116,premium,5.0,3.0,1.0,0.0,1.0,0.0,"structure,sweep,freshness",False,h1_only,2026-02-16T10:00:00+00:00,BOS,BOS,False,True,False,,,,,False,7,2026-02-23T06:00:00+00:00,1,2026-02-16T12:00:00+00:00,SHORT,stale,London,London,False,False,never_filled,False,"07:00-10:00 UTC, 12:00-17:00 UTC"
EURUSD,2026-02-23T13:00:00+00:00,,,NY,bullish,BOS BOS,proximal,1.17509,1.17331,1.17786,1.17813,1.75,1.93,never_filled,,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,473,premium,1.0,1.0,0.0,0.0,0.0,0.0,structure,False,h1_only,2026-01-23T13:00:00+00:00,BOS,BOS,False,False,False,,,,,False,13,2026-02-23T12:00:00+00:00,1,2026-01-23T16:00:00+00:00,LONG,stale,NY,NY,True,False,never_filled,False,"07:00-10:00 UTC, 12:00-17:00 UTC"
EURUSD,2026-02-23T13:00:00+00:00,,,NY,bullish,BOS BOS,50pct,1.1744,1.17331,1.17786,1.17813,3.888,4.191,never_filled,,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,473,premium,1.0,1.0,0.0,0.0,0.0,0.0,structure,False,h1_only,2026-01-23T13:00:00+00:00,BOS,BOS,False,False,False,,,,,False,13,2026-02-23T12:00:00+00:00,1,2026-01-23T16:00:00+00:00,LONG,stale,NY,NY,True,False,never_filled,False,"07:00-10:00 UTC, 12:00-17:00 UTC"
