setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_raw,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,sl_bar_was_sweep,sl_swept_then_tp1,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_to_fill_hours,bars_break_to_pullback,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,ob_range_atr,fvg_size_atr,impulse_leg_atr,atr_at_ob,ob_body_ratio,ob_walkback_depth,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,structure_ranging_at_alert,flip_pending_at_alert,flip_pending_dir_at_alert,leg_extreme_at_alert,leg_retrace_pct_at_alert,leg_extreme_clipped,dr_ceiling_broken_at_ob,dr_floor_broken_at_ob,alert_bar_ts,alert_seq,bos_timestamp,bias,be_arm_bar_touched_entry,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,setup_badge,setup_badge_kind,killzone_blocked,killzone_windows
A6535,GOLD,2008-03-31T08:00:00+00:00,2008-03-31T11:00:00+00:00,2008-03-31T13:00:00+00:00,London,bullish,BOS BOS,proximal,933.2,930.9,930.895,941.5,,3.61,,sl,933.2,0.0,-1.0,-1.0,0.0,True,,3.167,-0.0,True,False,2,-1,-1,6.0,4.0,3,discount,0.0,,4.0,3.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2008-03-31T05:00:00+00:00,BOS,BOS,holding,False,none,False,0,1.44,1.72,1.72,solid,0.667,,2.556,2.7,0.778,0,False,,,,,False,8,bullish,with_trend,False,False,,938.1,42.2,False,False,False,2008-03-31T07:00:00+00:00,1,2008-03-31T07:00:00+00:00,LONG,False,aligned,32.4,False,1,no_fvg,Asia,London,False,True,Fill only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6536,GOLD,2008-03-31T18:00:00+00:00,,,NY,bearish,Confirmation BOS,proximal,934.1,941.0,941.005,922.9,,1.62,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,0,-1,-1,,,6,premium,0.0,,8.0,4.0,0.0,2.0,1.0,1.0,"structure,fvg,freshness",False,h1_only,2008-03-31T12:00:00+00:00,BOS,Confirm,holding,True,pristine,False,0,0.47,1.18,1.18,marginal,1.258,1.14,4.031,5.085714,0.703,0,False,,,,,False,18,bearish,with_trend,False,False,,913.9,68.5,False,False,True,2008-03-31T17:00:00+00:00,1,2008-03-31T16:00:00+00:00,SHORT,,aligned,75.9,False,1,fresh,London,NY,True,False,never_filled,A First Pullback,premium,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6537,GOLD,2008-04-01T07:00:00+00:00,,,London,bearish,Confirmation BOS,proximal,917.4,919.6,919.605,912.1,,2.41,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,0,-1,-1,,,6,discount,0.0,,7.0,4.0,0.0,2.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2008-04-01T01:00:00+00:00,BOS,Confirm,holding,True,pristine,False,0,1.12,2.73,2.73,strong,0.475,1.341,4.639,3.578571,0.588,1,False,,,,,False,7,bearish,with_trend,False,False,,906.6,48.9,False,False,True,2008-04-01T06:00:00+00:00,1,2008-04-01T06:00:00+00:00,SHORT,,counter,31.9,False,1,fresh,Asia,London,False,False,never_filled,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6538,GOLD,2008-04-01T15:00:00+00:00,2008-04-02T16:00:00+00:00,2008-04-02T18:00:00+00:00,NY,bearish,Confirmation BOS,proximal,894.3,898.5,898.505,887.7,,1.57,,sl,898.505,-1.0,-1.0,-1.0,-250.0,True,,0.499,-0.809,False,False,2,-1,-1,29.0,25.0,4,discount,0.0,,8.0,4.0,0.0,2.0,1.0,1.0,"structure,fvg,freshness",False,h1_only,2008-04-01T11:00:00+00:00,BOS,Confirm,holding,True,pristine,False,0,1.47,1.5,1.5,marginal,0.542,0.352,6.01,6.821429,0.676,0,False,,,,,False,15,bearish,with_trend,False,False,,871.8,39.5,False,False,True,2008-04-01T14:00:00+00:00,1,2008-04-01T14:00:00+00:00,SHORT,,counter,32.8,False,1,fresh,London,NY,True,False,OB only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6539,GOLD,2008-04-03T10:00:00+00:00,2008-04-03T12:00:00+00:00,2008-04-03T14:00:00+00:00,London,bullish,CHoCH CHoCH,proximal,890.4,883.2,883.195,905.7,,2.13,,sl,890.4,0.0,2.13,4.927,0.0,True,,1.305,-0.0,True,True,2,3,-1,22.0,19.0,19,discount,1.0,True,9.0,4.0,1.0,2.0,1.0,1.0,"structure,sweep,fvg,freshness",False,h1_only,2008-04-02T14:00:00+00:00,CHoCH,CHoCH,holding,True,pristine,True,0,1.35,1.76,1.18,marginal,1.74,0.39,2.234,3.85,0.284,0,False,,,,,False,10,bearish,against_trend,False,False,,905.7,61.9,False,False,False,2008-04-03T09:00:00+00:00,1,2008-04-02T16:00:00+00:00,LONG,False,aligned,38.6,False,0,fresh,NY,London,True,True,Both,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6540,GOLD,2008-04-03T10:00:00+00:00,2008-04-03T14:00:00+00:00,2008-04-03T15:00:00+00:00,London,bearish,BOS BOS,proximal,899.9,904.0,904.005,887.7,881.9,2.98,4.39,sl,904.005,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,False,False,1,-1,-1,8.0,7.0,4,premium,0.0,,4.5,3.0,0.0,0.0,0.5,1.0,"structure,freshness",False,h1_only,2008-04-03T06:00:00+00:00,BOS,BOS,holding,False,none,False,1,0.66,1.07,1.07,marginal,1.408,,4.575,2.557143,0.5,0,False,,,,,False,10,bearish,with_trend,False,False,,896.5,,False,False,False,2008-04-03T09:00:00+00:00,1,2008-04-03T07:00:00+00:00,SHORT,,aligned,76.7,False,1,no_fvg,Asia,NY,True,True,Both,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6541,GOLD,2008-04-04T06:00:00+00:00,2008-04-04T12:00:00+00:00,2008-04-04T14:00:00+00:00,Asia,bullish,CHoCH CHoCH,proximal,899.1,893.8,893.795,908.6,,1.79,,tp1,908.6,1.791,1.79,2.658,447.75,True,,1.791,-0.0,,,2,2,-1,26.0,21.0,19,discount,1.0,True,6.0,4.0,0.0,1.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2008-04-03T10:00:00+00:00,CHoCH,CHoCH,holding,True,partial,False,0,5.97,1.96,1.31,marginal,1.861,0.737,3.335,2.578571,0.292,1,False,,,,,False,6,bearish,against_trend,False,True,bullish,908.6,34.4,False,False,False,2008-04-04T05:00:00+00:00,1,2008-04-03T14:00:00+00:00,LONG,False,aligned,-17.3,False,0,fresh,London,London,False,True,Fill only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6542,GOLD,2008-04-04T07:00:00+00:00,,,London,bullish,CHoCH CHoCH,proximal,898.1,896.0,895.995,905.5,,3.52,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,0,-1,-1,,,21,discount,0.0,False,4.5,3.0,0.0,1.0,0.5,0.0,"structure,fvg,freshness",False,h1_only,2008-04-03T09:00:00+00:00,CHoCH,CHoCH,holding,True,partial,False,1,4.46,1.63,1.09,marginal,0.73,0.866,3.922,2.192857,0.375,2,False,,,,,False,7,bearish,against_trend,False,True,bullish,908.6,38.0,False,False,False,2008-04-04T06:00:00+00:00,1,2008-04-03T13:00:00+00:00,LONG,,aligned,-29.6,False,0,fresh,London,London,False,False,never_filled,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6543,GOLD,2008-04-04T13:00:00+00:00,,,NY,bullish,CHoCH CHoCH,proximal,896.5,890.4,890.395,905.7,908.6,1.51,1.98,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,0,-1,-1,,,25,discount,1.0,True,7.0,4.0,0.0,1.0,1.0,1.0,"structure,fvg,freshness",False,h1_only,2008-04-03T11:00:00+00:00,CHoCH,CHoCH,holding,True,partial,False,0,4.22,1.38,0.92,marginal,1.98,0.672,3.04,2.828571,0.518,0,False,,,,,False,13,bearish,against_trend,False,True,bullish,909.2,45.0,False,False,False,2008-04-04T12:00:00+00:00,1,2008-04-03T14:00:00+00:00,LONG,,aligned,-49.4,False,0,fresh,London,NY,True,False,never_filled,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6544,GOLD,2008-04-07T14:00:00+00:00,2008-04-08T12:00:00+00:00,2008-04-08T12:00:00+00:00,NY,bullish,Confirmation BOS,proximal,916.0,912.1,912.095,933.4,,4.46,,sl,912.095,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,False,False,0,-1,-1,24.0,22.0,2,premium,0.0,,7.2,4.0,1.22,0.0,1.0,1.0,"structure,sweep,freshness",False,h1_only,2008-04-07T12:00:00+00:00,BOS,Confirm,holding,False,none,True,0,1.78,2.48,2.48,solid,1.046,,3.969,3.25,0.382,0,False,,,,,False,14,bullish,with_trend,False,False,,924.1,40.5,False,True,False,2008-04-07T13:00:00+00:00,1,2008-04-07T13:00:00+00:00,LONG,,counter,67.7,False,1,no_fvg,London,London,True,True,Both,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
