setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_raw,sl_initial,tp1,tp2,tp1_rr,tp2_rr,tp1_wick,tp1_wick_rr,tp1_zone_source,tp2_wick,tp2_zone_source,tp_wick,tp_wick_rr,tp_nextpool,tp_nextpool_rr,tp_nextpool_zone_source,tp2_collapsed_to_tp1,tp_targets,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,r_capture_ratio,sl_bar_was_sweep,sl_swept_then_tp1,sl_wick_depth_atr,sl_max_adverse_after_sweep_atr,bars_sl_to_tp1_touch,sl_recovered_to_entry,sl_distance_atr,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_to_fill_hours,bars_break_to_pullback,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,event_candle_delta,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,is_mss,ob_range_atr,fvg_size_atr,impulse_leg_atr,atr_at_ob,atr_at_fill,ob_body_ratio,ob_walkback_depth,chop_at_alert,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,trend_pd_agree,structure_ranging_at_alert,flip_pending_at_alert,flip_pending_dir_at_alert,leg_extreme_at_alert,leg_extreme_clipped,dr_ceiling_broken_at_ob,dr_floor_broken_at_ob,day_state_at_fill,pdh_status_at_fill,pdl_status_at_fill,pwh_status_at_fill,pwl_status_at_fill,dist_next_pool_above_atr,dist_next_pool_below_atr,next_pool_above_tier,next_pool_below_tier,trade_toward_pool,last_sweep_age_h1,last_sweep_tier,eqh_above_dist_atr,eqh_above_size,eql_below_dist_atr,eql_below_size,eq_trade_toward,eq_sl_gap_atr,eq_sl_at_risk,eq_last_sweep_age_h1,eq_last_sweep_side,eq_intact_above_count,eq_intact_below_count,sweep2_present,sweep2_tier,sweep2_level,sweep2_pierce_atr,sweep2_rejection_ratio,sweep2_follow_atr,sweep2_pools_swept,sweep2_rn_aligned,sweep2_rn_dist_atr,sweep2_eq_size,sweep2_age_at_alert_h1,sweep2_tiers_checked,setup_liq_stop_present,setup_liq_stop_offset_atr,setup_liq_stop_tier,setup_liq_tp_present,setup_liq_tp_offset_atr,setup_liq_legextreme_swept,session_level_event,session_level_which,session_level_side,session_level_pair_relevant,alert_bar_ts,alert_seq,bos_timestamp,bias,be_arm_bar_touched_entry,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,leg_er_at_alert,setup_badge,setup_badge_kind,weekly_pd_position_at_alert,weekly_range_high_at_alert,weekly_range_low_at_alert,weekly_pd_zone_at_alert,pd_zone_agreement_at_alert,approach_speed_atr_at_fill,approach_body_ratio_at_fill,approach_er_at_fill,killzone_blocked,killzone_windows,news_fill,news_fill_event,news_fill_ccy,news_open,news_open_event
B5075,NZDUSD,2020-01-02T04:00:00+00:00,2020-01-02T05:00:00+00:00,2020-01-02T11:00:00+00:00,Asia,bullish,BOS BOS,proximal,0.67137,0.67023,0.66983,0.67414,,2.43,,0.67552,3.64,zone,,,0.67525,3.4,,,,False,triple,sl,0.66983,-1.0,-1.0,-1.0,-250.0,True,,0.714,-0.903,-1.401,False,False,1.575,,,,1.696,6,-1,-1,69.0,36.0,37,premium,0.0,,4.0,3.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2019-12-30T08:00:00+00:00,BOS,BOS,0,holding,False,full,False,1,0.2,0.4,0.4,marginal,,0.815,,2.919,0.000908,0.000914,0.351,0,45.276,False,,,,,False,4,bullish,with_trend,False,False,False,,0.67359,False,,,INSIDE,intact,intact,broken,intact,4.571,0.529,PD,PD,False,37.0,PW,,,5.353,2.0,False,3.657,False,3.0,high,0.0,3.0,False,,,,,,0,,,,,"pd,eq,sw",False,,,False,,False,break,asia,high,True,2019-12-31T20:00:00+00:00,1,2019-12-30T10:00:00+00:00,LONG,,counter,72.1,False,8,stale,London,Asia,False,False,Neither,0.625,,,1.0316,0.67101,0.65962,premium,both_premium,1.509,0.612,0.76,False,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B5076,NZDUSD,2020-01-02T05:00:00+00:00,2020-01-02T11:00:00+00:00,2020-01-03T03:00:00+00:00,Asia,bullish,BOS BOS,proximal,0.66989,0.66798,0.6675800000000001,0.67414,,2.23,,0.67552,2.95,zone,,,0.67523,2.8,,,,False,triple,sl,0.6675800000000001,-1.0,-1.0,-1.0,-250.0,True,,0.615,-0.861,-1.626,False,False,0.639,,,,2.544,16,-1,-1,141.0,61.0,56,premium,0.0,,5.0,3.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2019-12-27T14:00:00+00:00,BOS,BOS,0,holding,False,full,False,1,0.15,2.54,2.54,strong,,1.663,,4.494,0.000908,0.001074,0.709,0,45.276,False,,,,,False,5,bullish,with_trend,False,False,False,,0.67101,False,,,EXPANSION_DOWN,intact,broken,swept,intact,6.201,11.312,PD,PW,True,1.0,PW,,,3.723,2.0,False,1.179,False,9.0,high,0.0,3.0,False,,,,,,0,,,,,"pd,eq,sw",False,,,False,,False,break,asia,high,True,2020-01-02T04:00:00+00:00,1,2019-12-27T15:00:00+00:00,LONG,,counter,62.1,False,6,stale,NY,London,True,False,OB only,0.559,,,0.9017,0.67101,0.65962,premium,both_premium,1.729,0.399,0.562,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B5077,NZDUSD,2020-01-02T12:00:00+00:00,2020-01-03T03:00:00+00:00,2020-01-03T07:00:00+00:00,London,bullish,BOS BOS,proximal,0.66749,0.66654,0.6661400000000001,0.66844,,1.0,,0.66844,1.0,wick,,,,,,,,False,triple,sl,0.6661400000000001,-1.0,-1.0,-1.0,-250.0,True,,0.215,-0.896,-4.651,True,False,0.5,1.845,,True,1.407,4,-1,-1,165.0,84.0,71,discount,0.0,,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2019-12-27T06:00:00+00:00,BOS,BOS,0,holding,True,pristine,False,0,0.26,1.39,1.39,marginal,,0.573,1.011,1.668,0.000959,0.000964,0.545,1,36.2,False,,,,,False,12,bullish,counter_trend,True,True,True,bearish,0.6707,False,,,EXPANSION_DOWN,intact,broken,swept,intact,5.191,8.204,PD,PW,True,10.0,PW,,,1.022,2.0,False,-0.386,False,25.0,high,0.0,3.0,False,,,,,,0,,,,,"pd,eq,sw",True,0.386,bare,False,,False,break,asia,high,True,2020-01-02T11:00:00+00:00,1,2019-12-27T08:00:00+00:00,LONG,,aligned,46.0,False,5,fresh,Asia,Asia,False,True,Fill only,1.0,,,0.691,0.67101,0.65962,premium,mixed,1.72,0.446,0.654,False,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B5078,NZDUSD,2020-01-03T04:00:00+00:00,2020-01-03T10:00:00+00:00,2020-01-03T12:00:00+00:00,Asia,bullish,BOS BOS,proximal,0.66485,0.66385,0.6634500000000001,0.66585,,1.0,,0.66585,1.0,wick,,,,,,,,False,triple,tp1,0.66585,0.714,1.0,0.0,178.5,True,,0.714,-0.029,1.0,,,,,,,1.304,2,2,-1,192.0,110.0,107,discount,0.0,,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2019-12-26T10:00:00+00:00,BOS,BOS,0,holding,True,pristine,False,0,0.45,0.77,0.77,marginal,,0.559,0.466,2.273,0.001074,0.000977,0.617,0,34.403,False,,,,,False,4,bearish,counter_trend,False,False,False,,0.66764,False,False,False,EXPANSION_DOWN,intact,broken,swept,intact,7.098,4.872,PD,PW,False,17.0,PW,,,5.626,2.0,False,4.322,False,3.0,low,0.0,3.0,False,,,,,,0,,,,,"pd,eq,sw",False,,,False,,False,break,asia,high,True,2020-01-03T03:00:00+00:00,1,2019-12-26T13:00:00+00:00,LONG,,aligned,32.9,False,5,fresh,London,London,False,False,Neither,0.964,,,0.4592,0.67101,0.65962,discount,both_discount,1.844,0.385,0.921,False,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B5079,NZDUSD,2020-01-03T10:00:00+00:00,,,London,bullish,BOS BOS,proximal,0.66302,0.66216,0.66176,0.66388,,1.0,,0.66388,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.024,0,-1,-1,,,126,discount,0.0,,7.0,3.0,0.0,1.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2019-12-24T13:00:00+00:00,BOS,BOS,0,holding,True,partial,False,0,0.15,1.16,1.16,marginal,,0.374,0.65,1.415,0.00123,,0.391,0,35.326,False,,,,,False,10,bearish,counter_trend,False,False,False,,0.665,False,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,0,,,,,"pd,eq,sw",True,0.455,bare,False,,False,break,asia,high,True,2020-01-03T09:00:00+00:00,1,2019-12-24T15:00:00+00:00,LONG,,aligned,5.3,False,4,fresh,NY,London,True,False,never_filled,0.473,,,0.2985,0.67101,0.65962,discount,both_discount,,,,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B5080,NZDUSD,2020-01-03T10:00:00+00:00,,,London,bullish,BOS BOS,proximal,0.66287,0.66197,0.66157,0.66377,,1.0,,0.66377,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.45,0,-1,-1,,,135,discount,0.0,,5.0,3.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2019-12-24T04:00:00+00:00,BOS,BOS,0,holding,False,full,False,1,0.1,1.15,1.15,marginal,,0.558,,0.982,0.000896,,0.34,0,35.326,False,,,,,False,10,bearish,counter_trend,False,False,False,,0.66406,False,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,0,,,,,"eq,sw",False,,,False,,False,break,asia,high,True,2020-01-03T09:00:00+00:00,1,2019-12-24T08:00:00+00:00,LONG,,aligned,-6.5,False,1,stale,Asia,London,True,False,never_filled,0.525,,,0.2853,0.67101,0.65962,discount,both_discount,,,,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B5081,NZDUSD,2020-01-03T14:00:00+00:00,,,NY,bearish,Confirmation BOS,proximal,0.66945,0.67039,0.67079,0.66628,0.66302,3.37,6.84,0.66437,5.4,zone,,zone,0.66469,5.06,0.66302,6.84,zone,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.385,0,-1,-1,,,15,premium,0.0,,9.0,4.0,1.0,2.0,2.0,0.0,"structure,sweep,fvg,freshness",False,h1_only,2020-01-02T23:00:00+00:00,BOS,Confirm,0,holding,True,pristine,False,0,0.18,1.34,1.34,marginal,,0.558,0.424,5.156,0.000968,,0.426,0,38.482,False,,,,,False,14,bearish,with_trend,True,False,False,,0.66437,False,,,,,,,,,,,,,,,,,,,,,,,,,,True,EQ,0.67377,0.599,0.071,5.755,1,False,-1.271,2.0,36.0,"pd,eq,sw",False,,,False,,False,break,asia,low,True,2020-01-03T13:00:00+00:00,2,2020-01-03T01:00:00+00:00,SHORT,,aligned,53.2,False,1,fresh,Other,NY,False,False,never_filled,0.882,A First Pullback,premium,0.863,0.67101,0.65962,premium,both_premium,,,,False,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B5082,NZDUSD,2020-01-06T06:00:00+00:00,2020-01-06T07:00:00+00:00,2020-01-06T10:00:00+00:00,Asia,bearish,BOS BOS,proximal,0.66533,0.66693,0.66733,0.66437,0.66302,0.6,1.44,0.66437,0.6,wick,,zone,0.66437,0.6,0.66302,1.44,zone,True,triple,sl,0.66733,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.905,,False,False,0.431,,24.0,,2.778,3,-1,-1,7.0,2.0,6,discount,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2020-01-06T00:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.19,0.43,0.43,marginal,,1.667,,3.278,0.00072,0.000749,0.858,1,60.61,False,,,,,False,6,bearish,with_trend,False,False,False,,0.66484,False,False,False,INSIDE,intact,intact,intact,intact,6.472,1.333,PD,PW,True,,,2.917,2.0,11.375,2.0,False,0.139,True,11.0,low,1.0,1.0,False,,,,,,0,,,,,"pd,eq,sw",True,0.139,bare,True,0.0,False,sweep,asia,low,True,2020-01-06T05:00:00+00:00,1,2020-01-06T05:00:00+00:00,SHORT,,counter,8.6,False,2,no_fvg,Asia,London,False,False,Neither,0.959,,,0.0861,0.67552,0.66437,discount,both_discount,-0.75,0.351,0.966,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B5083,NZDUSD,2020-01-06T11:00:00+00:00,,,London,bearish,Confirmation BOS,proximal,0.66945,0.67039,0.67079,0.66628,0.66302,3.37,6.84,0.66437,5.4,zone,,zone,0.66461,5.15,0.66302,6.84,zone,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.385,0,-1,-1,,,36,premium,0.0,,9.0,4.0,1.0,2.0,2.0,0.0,"structure,sweep,fvg,freshness",False,h1_only,2020-01-02T23:00:00+00:00,BOS,Confirm,0,holding,True,pristine,False,0,0.18,1.34,1.34,marginal,,0.558,0.424,5.156,0.000968,,0.426,0,45.071,False,,,,,False,11,bearish,counter_trend,True,False,True,bullish,0.66437,False,,,,,,,,,,,,,,,,,,,,,,,,,,True,EQ,0.67377,0.599,0.071,5.755,1,False,-1.271,2.0,57.0,"pd,eq,sw",False,,,False,,False,break,asia,low,True,2020-01-06T10:00:00+00:00,3,2020-01-03T01:00:00+00:00,SHORT,,aligned,53.2,False,1,fresh,Other,London,False,False,never_filled,0.882,,,0.4556,0.67552,0.66437,discount,mixed,,,,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B5084,NZDUSD,2020-01-06T11:00:00+00:00,2020-01-06T14:00:00+00:00,2020-01-06T15:00:00+00:00,London,bullish,CHoCH CHoCH,proximal,0.66505,0.66397,0.66357,0.66613,,1.0,,0.66613,1.0,wick,,,,,,,,False,triple,tp1,0.66613,0.73,1.0,0.0,182.5,True,,0.73,-0.0,1.0,,,,,,,1.873,1,1,-1,8.0,4.0,5,discount,1.0,True,8.0,4.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2020-01-06T06:00:00+00:00,CHoCH,CHoCH,0,holding,True,pristine,False,0,0.03,0.46,0.31,marginal,False,0.861,0.734,1.962,0.00079,0.000861,0.412,0,45.071,False,,,,,False,11,bearish,ambiguous,False,False,True,bullish,0.66764,False,False,False,INSIDE,intact,intact,intact,intact,6.253,0.861,PD,PW,False,,,,,,,,,,0.0,high,0.0,0.0,False,,,,,,0,,,,,"pd,pw,eq,sw",False,,,False,,False,sweep,asia,low,True,2020-01-06T10:00:00+00:00,1,2020-01-06T10:00:00+00:00,LONG,,aligned,6.1,False,0,fresh,Asia,NY,False,True,Fill only,1.0,,,0.061,0.67552,0.66437,discount,both_discount,0.354,0.321,0.647,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
