setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,fvg_present,sweep_present,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,alert_bar_ts,alert_seq,bos_timestamp,bias,pd_alignment,pd_pct,bos_sequence_count,break_tier,break_close_atr,break_excess,break_body_atr,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,killzone_blocked,killzone_windows
T0001,EURUSD,2025-09-02T08:00:00+00:00,,,London,bearish,CHoCH CHoCH,proximal,1.16947,1.17107,1.16711,,1.69,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,2,premium,1.0,True,7.0,4.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2025-09-02T06:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,8,bullish,against_trend,2025-09-02T07:00:00+00:00,1,2025-09-02T07:00:00+00:00,SHORT,aligned,55.4,0,strong,4.1,3.08,4.62,no_fvg,Asia,London,True,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0002,EURUSD,2025-09-02T08:00:00+00:00,,,London,bearish,CHoCH CHoCH,50pct,1.17007,1.17107,1.16711,,3.7,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,2,premium,1.0,True,7.0,4.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2025-09-02T06:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,8,bullish,against_trend,2025-09-02T07:00:00+00:00,1,2025-09-02T07:00:00+00:00,SHORT,aligned,61.8,0,strong,4.1,3.08,4.62,no_fvg,Asia,London,True,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0003,EURUSD,2025-09-03T08:00:00+00:00,,,London,bullish,CHoCH CHoCH,proximal,1.15837,1.15663,1.16167,,2.14,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,480,discount,1.0,True,5.0,4.0,0.0,0.0,0.0,1.0,structure,False,h1_only,2025-08-06T08:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,8,bullish,with_trend,2025-09-03T07:00:00+00:00,1,2025-08-06T10:00:00+00:00,LONG,aligned,-23.7,0,marginal,1.94,1.34,2.01,stale,London,London,True,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0004,EURUSD,2025-09-03T08:00:00+00:00,,,London,bullish,CHoCH CHoCH,50pct,1.1577,1.15663,1.16167,,4.563,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,480,discount,1.0,True,5.0,4.0,0.0,0.0,0.0,1.0,structure,False,h1_only,2025-08-06T08:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,8,bullish,with_trend,2025-09-03T07:00:00+00:00,1,2025-08-06T10:00:00+00:00,LONG,aligned,-29.1,0,marginal,1.94,1.34,2.01,stale,London,London,True,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0005,EURUSD,2025-09-03T09:00:00+00:00,2025-09-04T12:00:00+00:00,2025-09-04T13:00:00+00:00,London,bullish,BOS BOS,proximal,1.16348,1.16221,1.16549,,1.88,,tp1,1.16549,1.583,1.88,0.0,395.75,True,,1.882,-0.394,1,1,-1,4,discount,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2025-09-03T05:00:00+00:00,BOS,BOS,False,False,False,,,,,False,9,bullish,with_trend,2025-09-03T08:00:00+00:00,1,2025-09-03T08:00:00+00:00,LONG,aligned,17.7,1,solid,0.69,1.73,1.73,no_fvg,Asia,London,False,True,Fill only,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0006,EURUSD,2025-09-03T09:00:00+00:00,2025-09-04T12:00:00+00:00,2025-09-04T13:00:00+00:00,London,bullish,BOS BOS,50pct,1.16304,1.16221,1.16549,,3.889,,tp1,1.16549,2.952,3.889,14.554,738.0,True,,3.41,-0.072,1,1,-1,4,discount,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2025-09-03T05:00:00+00:00,BOS,BOS,False,False,False,,,,,False,9,bullish,with_trend,2025-09-03T08:00:00+00:00,1,2025-09-03T08:00:00+00:00,LONG,aligned,14.1,1,solid,0.69,1.73,1.73,no_fvg,Asia,London,False,True,Fill only,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0007,EURUSD,2025-09-05T06:00:00+00:00,2025-09-05T07:00:00+00:00,2025-09-05T09:00:00+00:00,Asia,bullish,BOS BOS,proximal,1.16719,1.16609,1.1687,1.16906,1.68,2.08,tp1,1.1687,1.373,1.68,2.08,343.25,True,,1.873,-0.509,2,2,2,2,premium,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2025-09-05T04:00:00+00:00,BOS,BOS,False,False,False,,,,,False,6,bullish,with_trend,2025-09-05T05:00:00+00:00,1,2025-09-05T05:00:00+00:00,LONG,counter,79.7,1,marginal,0.78,1.08,1.08,no_fvg,Asia,London,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0008,EURUSD,2025-09-05T06:00:00+00:00,2025-09-05T07:00:00+00:00,2025-09-05T09:00:00+00:00,Asia,bullish,BOS BOS,50pct,1.16684,1.16609,1.1687,1.16906,3.382,4.036,tp1,1.1687,2.48,3.382,4.036,620.0,True,,3.213,-0.28,2,2,2,2,premium,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2025-09-05T04:00:00+00:00,BOS,BOS,False,False,False,,,,,False,6,bullish,with_trend,2025-09-05T05:00:00+00:00,1,2025-09-05T05:00:00+00:00,LONG,counter,73.1,1,marginal,0.78,1.08,1.08,no_fvg,Asia,London,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0009,EURUSD,2025-09-05T13:00:00+00:00,,,NY,bullish,BOS BOS,proximal,1.16777,1.16611,1.17089,,2.14,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,7,discount,0.0,,4.0,1.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2025-09-05T06:00:00+00:00,BOS,BOS,False,False,False,,,,,False,13,bullish,with_trend,2025-09-05T12:00:00+00:00,1,2025-09-05T11:00:00+00:00,LONG,aligned,40.5,3,strong,1.24,3.4,3.4,fresh,Asia,NY,True,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0010,EURUSD,2025-09-05T13:00:00+00:00,,,NY,bullish,BOS BOS,50pct,1.16714,1.16611,1.17089,,4.518,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,7,discount,0.0,,4.0,1.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2025-09-05T06:00:00+00:00,BOS,BOS,False,False,False,,,,,False,13,bullish,with_trend,2025-09-05T12:00:00+00:00,1,2025-09-05T11:00:00+00:00,LONG,aligned,35.2,3,strong,1.24,3.4,3.4,fresh,Asia,NY,True,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
