setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_raw,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,r_capture_ratio,sl_bar_was_sweep,sl_swept_then_tp1,sl_wick_depth_atr,sl_max_adverse_after_sweep_atr,bars_sl_to_tp1_touch,sl_recovered_to_entry,sl_distance_atr,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_to_fill_hours,bars_break_to_pullback,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,event_candle_delta,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,ob_range_atr,fvg_size_atr,impulse_leg_atr,atr_at_ob,ob_body_ratio,ob_walkback_depth,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,trend_pd_agree,structure_ranging_at_alert,flip_pending_at_alert,flip_pending_dir_at_alert,leg_extreme_at_alert,leg_retrace_pct_at_alert,leg_extreme_clipped,dr_ceiling_broken_at_ob,dr_floor_broken_at_ob,alert_bar_ts,alert_seq,bos_timestamp,bias,be_arm_bar_touched_entry,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,setup_badge,setup_badge_kind,killzone_blocked,killzone_windows
A6358,EURUSD,2019-01-02T04:00:00+00:00,2019-01-02T04:00:00+00:00,2019-01-02T06:00:00+00:00,Asia,bullish,BOS BOS,proximal,1.14466,1.14268,1.14248,1.14847,,1.92,,tp1,1.14847,1.748,1.92,0.0,437.0,True,,1.748,-0.064,1.0,,,,,,,1.244,2,2,-1,44.0,9.0,13,discount,0.0,,5.0,3.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2018-12-31T08:00:00+00:00,BOS,BOS,0,holding,False,full,False,1,0.19,0.65,0.65,marginal,1.016,,1.159,0.001752,0.596,0,False,,,,,False,4,bullish,with_trend,True,False,False,,1.14655,58.5,False,False,False,2018-12-31T20:00:00+00:00,1,2018-12-31T12:00:00+00:00,LONG,True,aligned,49.9,False,1,fresh,London,Asia,True,False,OB only,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6359,EURUSD,2019-01-02T05:00:00+00:00,2019-01-02T12:00:00+00:00,2019-01-02T13:00:00+00:00,Asia,bullish,CHoCH CHoCH,proximal,1.1409,1.13802,1.13782,1.14535,,1.55,,sl,1.13782,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,False,False,0.639,,,,1.758,1,-1,-1,145.0,64.0,59,discount,1.0,True,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2018-12-27T11:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,1,0.44,2.18,1.45,marginal,1.53,,0.519,0.001752,0.519,1,False,,,,,False,5,bullish,with_trend,True,False,False,,1.14723,69.0,False,False,False,2019-01-02T04:00:00+00:00,1,2018-12-27T13:00:00+00:00,LONG,,aligned,-23.4,False,0,no_fvg,London,London,False,True,Fill only,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6360,EURUSD,2019-01-02T06:00:00+00:00,2019-01-02T08:00:00+00:00,2019-01-02T08:00:00+00:00,Asia,bullish,BOS BOS,proximal,1.14547,1.14398,1.14378,1.14847,,2.01,,sl,1.14378,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,True,False,0.529,7.105,,False,0.931,0,-1,-1,38.0,3.0,5,premium,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2018-12-31T18:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.7,1.78,1.78,solid,0.71,,2.22,0.001816,0.481,0,False,,,,,False,6,bullish,with_trend,False,False,False,,1.14788,45.0,False,True,False,2019-01-02T05:00:00+00:00,1,2019-01-02T05:00:00+00:00,LONG,,counter,58.3,False,2,no_fvg,NY,London,False,True,Fill only,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6361,EURUSD,2019-01-02T10:00:00+00:00,2019-01-02T12:00:00+00:00,2019-01-02T14:00:00+00:00,London,bullish,CHoCH CHoCH,proximal,1.14006,1.1362,1.1360000000000001,1.14655,,1.68,,sl,1.1360000000000001,-1.0,-1.0,-1.0,-250.0,True,,0.116,-0.828,-8.621,True,False,0.116,2.372,,True,1.881,2,-1,-1,144.0,64.0,63,discount,1.0,True,6.0,4.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2018-12-27T12:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,1,0.35,1.74,1.16,marginal,1.696,,0.422,0.002159,0.577,0,False,,,,,False,10,bullish,with_trend,True,False,False,,1.14967,82.7,False,False,False,2019-01-02T09:00:00+00:00,1,2018-12-27T13:00:00+00:00,LONG,,aligned,-26.9,False,0,no_fvg,London,London,True,True,Both,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6362,EURUSD,2019-01-02T13:00:00+00:00,,,NY,bearish,CHoCH CHoCH,proximal,1.14316,1.14434,1.14454,1.14018,1.13883,2.53,3.67,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,0.643,0,-1,-1,,,3,discount,1.0,True,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2019-01-02T10:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,0,0.94,1.51,1.01,marginal,0.457,,1.254,0.002145,0.306,0,False,,,,,False,13,bullish,ambiguous,False,False,True,bearish,1.13973,62.6,False,False,True,2019-01-02T12:00:00+00:00,1,2019-01-02T12:00:00+00:00,SHORT,,counter,34.5,False,0,no_fvg,London,NY,False,False,never_filled,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6363,EURUSD,2019-01-03T05:00:00+00:00,,,Asia,bullish,BOS BOS,proximal,1.13358,1.1324,1.1322,1.13538,,1.53,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,0.678,0,-1,-1,,,11,discount,0.0,,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2019-01-02T18:00:00+00:00,BOS,BOS,0,holding,True,pristine,False,0,0.2,0.5,0.5,marginal,0.481,0.196,3.507,0.002036,0.735,3,False,,,,,False,5,bullish,counter_trend,True,False,True,bearish,1.13712,,False,False,False,2019-01-03T04:00:00+00:00,1,2019-01-03T02:00:00+00:00,LONG,,aligned,14.4,False,1,fresh,NY,Asia,False,False,never_filled,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6364,EURUSD,2019-01-04T14:00:00+00:00,2019-01-04T15:00:00+00:00,2019-01-04T18:00:00+00:00,NY,bearish,Confirmation BOS,proximal,1.14026,1.14172,1.14192,1.13748,,1.9,,friday_flat,1.1405,-0.145,-1.0,-1.0,-36.25,True,,0.584,-0.892,-0.248,,,,,,,1.141,3,-1,-1,4.0,2.0,3,premium,0.0,,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2019-01-04T11:00:00+00:00,BOS,Confirm,0,holding,False,none,False,0,0.73,2.24,2.24,solid,0.866,,4.806,0.001454,0.579,0,False,,,,,False,14,bearish,with_trend,True,False,False,,1.1363,44.4,False,False,False,2019-01-04T13:00:00+00:00,1,2019-01-04T13:00:00+00:00,SHORT,,aligned,80.3,False,1,no_fvg,London,NY,False,True,Fill only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6365,EURUSD,2019-01-07T14:00:00+00:00,2019-01-08T02:00:00+00:00,2019-01-08T10:00:00+00:00,NY,bullish,Confirmation BOS,proximal,1.14448,1.14326,1.14306,1.14655,,1.7,,sl,1.14448,0.0,1.7,0.0,0.0,True,,1.127,-0.915,0.0,True,True,0.872,1.839,1.0,True,1.126,8,9,-1,16.0,13.0,4,premium,0.0,,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2019-01-07T10:00:00+00:00,BOS,Confirm,0,holding,False,none,False,0,0.75,1.39,1.39,marginal,0.809,,3.829,0.001261,0.235,1,False,,,,,False,14,bullish,with_trend,False,False,False,,1.14586,23.2,False,True,False,2019-01-07T13:00:00+00:00,1,2019-01-07T13:00:00+00:00,LONG,False,counter,88.7,False,1,no_fvg,London,Asia,False,False,Neither,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6366,EURUSD,2019-01-08T14:00:00+00:00,2019-01-08T14:00:00+00:00,2019-01-09T07:00:00+00:00,NY,bearish,CHoCH CHoCH,proximal,1.14415,1.14708,1.14728,1.13828,,2.0,,sl,1.14728,-1.0,-1.0,-1.0,-250.0,True,,0.524,-0.783,-1.908,True,False,0.327,5.563,,True,1.795,17,-1,-1,3.0,1.0,3,premium,1.0,True,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2019-01-08T11:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,0,0.27,1.26,0.84,marginal,1.566,,0.453,0.001744,0.733,0,False,,,,,False,14,bullish,ambiguous,False,False,True,bearish,1.14216,109.9,False,False,False,2019-01-08T13:00:00+00:00,1,2019-01-08T13:00:00+00:00,SHORT,,aligned,71.0,False,0,no_fvg,London,NY,False,True,Fill only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6367,EURUSD,2019-01-09T05:00:00+00:00,2019-01-09T05:00:00+00:00,2019-01-09T09:00:00+00:00,Asia,bullish,BOS BOS,proximal,1.14604,1.14466,1.14446,1.14841,,1.72,,sl,1.14604,0.0,-1.0,-1.0,0.0,True,,1.146,-0.399,0.0,True,True,0.414,1.999,5.0,True,1.455,4,-1,-1,3.0,1.0,3,premium,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2019-01-09T02:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.11,0.56,0.56,marginal,1.087,,2.128,0.001086,0.5,0,False,,,,,False,5,bullish,with_trend,False,False,False,,1.14604,0.0,False,False,False,2019-01-09T04:00:00+00:00,1,2019-01-09T04:00:00+00:00,LONG,True,counter,62.1,False,1,no_fvg,Asia,Asia,False,False,Neither,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
