knob,grid_value,baseline,grid_mode,pair,n_swings,n_obs,n_choch,n_bos,n_alerts_total,n_alerts_simulated,n_trades_filled,sum_r_realised,sum_pnl_usd,win_rate,expectancy_r,avg_logged_score,recon_ok
MIN_LEG_ATR_MULT,1.0,False,absolute,EURUSD,194,18,21,55,37,22,14,0.458,114.5,0.2727,0.0327,6.15,True
MIN_LEG_ATR_MULT,1.5,True,absolute,EURUSD,180,16,21,54,36,21,14,0.458,114.5,0.2727,0.0327,6.15,True
MIN_LEG_ATR_MULT,2.0,False,absolute,EURUSD,150,15,20,55,30,19,14,-0.034,-8.5,0.25,-0.0024,6.105,True
MIN_LEG_ATR_MULT,2.5,False,absolute,EURUSD,135,15,21,53,31,20,14,-0.034,-8.5,0.25,-0.0024,6.158,True
MIN_LEG_ATR_MULT,1.0,False,absolute,USDJPY,198,18,34,56,33,18,11,6.422,1605.5,0.7143,0.5838,5.893,True
MIN_LEG_ATR_MULT,1.5,True,absolute,USDJPY,187,19,30,59,33,18,11,6.422,1605.5,0.7143,0.5838,5.893,True
MIN_LEG_ATR_MULT,2.0,False,absolute,USDJPY,154,19,35,51,34,18,10,4.047,1011.75,0.5714,0.4047,5.615,True
MIN_LEG_ATR_MULT,2.5,False,absolute,USDJPY,135,13,22,45,29,15,8,5.944,1486.0,0.8,0.743,5.227,True
MIN_LEG_ATR_MULT,1.0,False,absolute,NZDUSD,191,21,16,49,44,23,15,-0.897,-224.25,0.3333,-0.0598,6.0,True
MIN_LEG_ATR_MULT,1.5,True,absolute,NZDUSD,180,22,17,45,46,24,17,3.801,950.25,0.4,0.2236,6.136,True
MIN_LEG_ATR_MULT,2.0,False,absolute,NZDUSD,156,19,17,42,44,21,14,4.653,1163.25,0.4545,0.3324,6.316,True
MIN_LEG_ATR_MULT,2.5,False,absolute,NZDUSD,129,17,14,30,40,17,11,3.797,949.25,0.5714,0.3452,6.467,True
MIN_LEG_ATR_MULT,1.0,False,absolute,USDCHF,195,14,24,53,47,20,11,-2.674,-668.5,0.25,-0.2431,5.8,True
MIN_LEG_ATR_MULT,1.5,True,absolute,USDCHF,182,13,23,52,22,18,10,-4.111,-1027.75,0.1429,-0.4111,5.769,True
MIN_LEG_ATR_MULT,2.0,False,absolute,USDCHF,154,10,25,42,19,16,8,-2.193,-548.25,0.2,-0.2741,5.667,True
MIN_LEG_ATR_MULT,2.5,False,absolute,USDCHF,132,12,25,43,22,16,8,-1.193,-298.25,0.25,-0.1491,5.417,True
MIN_LEG_ATR_MULT,1.0,False,absolute,GOLD,202,21,29,61,98,22,12,8.993,2248.25,0.5455,0.7494,5.955,True
MIN_LEG_ATR_MULT,1.5,True,absolute,GOLD,186,20,25,55,103,21,11,9.993,2498.25,0.6,0.9085,5.916,True
MIN_LEG_ATR_MULT,2.0,False,absolute,GOLD,156,21,26,52,105,23,10,8.041,2010.25,0.625,0.8041,5.958,True
MIN_LEG_ATR_MULT,2.5,False,absolute,GOLD,136,20,23,47,107,21,9,9.492,2373.0,0.625,1.0547,5.661,True
