knob,grid_value,baseline,grid_mode,pair,n_swings,n_obs,n_choch,n_bos,n_alerts_total,n_alerts_simulated,n_trades_filled,sum_r_realised,sum_pnl_usd,win_rate,expectancy_r,avg_logged_score,recon_ok
MIN_LEG_ATR_MULT,1.0,False,absolute,EURUSD,220,31,38,69,73,36,20,-6.324,-1581.0,0.2632,-0.3162,6.345,True
MIN_LEG_ATR_MULT,1.5,True,absolute,EURUSD,206,31,38,65,73,36,19,-5.302,-1325.5,0.2778,-0.2791,6.321,True
MIN_LEG_ATR_MULT,2.0,False,absolute,EURUSD,184,29,35,61,64,30,15,-5.001,-1250.25,0.2308,-0.3334,6.333,True
MIN_LEG_ATR_MULT,2.5,False,absolute,EURUSD,157,23,31,55,52,27,13,-4.005,-1001.25,0.25,-0.3081,6.474,True
MIN_LEG_ATR_MULT,1.0,False,absolute,USDJPY,224,21,17,61,36,25,13,-1.914,-478.5,0.3333,-0.1472,5.316,True
MIN_LEG_ATR_MULT,1.5,True,absolute,USDJPY,203,20,19,58,34,23,13,-4.523,-1130.75,0.25,-0.3479,5.474,True
MIN_LEG_ATR_MULT,2.0,False,absolute,USDJPY,175,16,15,51,52,19,10,-3.871,-967.75,0.2222,-0.3871,5.393,True
MIN_LEG_ATR_MULT,2.5,False,absolute,USDJPY,147,17,20,47,48,18,12,-4.871,-1217.75,0.2,-0.4059,5.347,True
MIN_LEG_ATR_MULT,1.0,False,absolute,NZDUSD,201,22,23,60,104,27,16,-12.501,-3125.25,0.0667,-0.7813,6.56,True
MIN_LEG_ATR_MULT,1.5,True,absolute,NZDUSD,187,23,26,62,70,29,18,-14.501,-3625.25,0.0588,-0.8056,6.667,True
MIN_LEG_ATR_MULT,2.0,False,absolute,NZDUSD,166,22,26,56,67,27,18,-14.501,-3625.25,0.0588,-0.8056,6.654,True
MIN_LEG_ATR_MULT,2.5,False,absolute,NZDUSD,141,23,26,54,71,26,19,-15.501,-3875.25,0.0556,-0.8158,6.423,True
MIN_LEG_ATR_MULT,1.0,False,absolute,USDCHF,206,24,23,45,130,30,14,-1.649,-412.25,0.3333,-0.1178,6.6,True
MIN_LEG_ATR_MULT,1.5,True,absolute,USDCHF,191,24,23,45,130,30,14,-1.649,-412.25,0.3333,-0.1178,6.56,True
MIN_LEG_ATR_MULT,2.0,False,absolute,USDCHF,168,25,26,43,132,30,14,-4.317,-1079.25,0.25,-0.3084,6.48,True
MIN_LEG_ATR_MULT,2.5,False,absolute,USDCHF,148,20,14,41,102,27,10,-1.311,-327.75,0.3333,-0.1311,6.333,True
MIN_LEG_ATR_MULT,1.0,False,absolute,GOLD,194,21,17,54,51,26,11,-7.0,-1750.0,0.0,-0.6364,6.009,True
MIN_LEG_ATR_MULT,1.5,True,absolute,GOLD,180,21,17,55,51,26,11,-7.0,-1750.0,0.0,-0.6364,6.009,True
MIN_LEG_ATR_MULT,2.0,False,absolute,GOLD,159,21,18,54,51,26,11,-7.0,-1750.0,0.0,-0.6364,6.055,True
MIN_LEG_ATR_MULT,2.5,False,absolute,GOLD,136,21,17,52,53,26,9,-6.0,-1500.0,0.0,-0.6667,5.895,True
