knob,grid_value,baseline,grid_mode,pair,n_swings,n_obs,n_choch,n_bos,n_alerts_total,n_alerts_simulated,n_trades_filled,sum_r_realised,sum_pnl_usd,win_rate,expectancy_r,avg_logged_score,recon_ok
MIN_LEG_ATR_MULT,1.0,False,absolute,EURUSD,185,24,41,58,87,33,21,1.961,490.25,0.4706,0.0934,6.828,True
MIN_LEG_ATR_MULT,1.5,True,absolute,EURUSD,172,24,37,53,88,33,21,0.961,240.25,0.4444,0.0458,6.667,True
MIN_LEG_ATR_MULT,2.0,False,absolute,EURUSD,141,24,34,54,88,32,21,6.941,1735.25,0.5556,0.3305,6.786,True
MIN_LEG_ATR_MULT,2.5,False,absolute,EURUSD,121,19,31,52,91,32,21,5.601,1400.25,0.5,0.2667,6.679,True
MIN_LEG_ATR_MULT,1.0,False,absolute,USDJPY,195,19,25,58,66,21,11,-4.284,-1071.0,0.2222,-0.3895,5.844,True
MIN_LEG_ATR_MULT,1.5,True,absolute,USDJPY,188,19,25,58,67,21,11,-4.284,-1071.0,0.2222,-0.3895,5.844,True
MIN_LEG_ATR_MULT,2.0,False,absolute,USDJPY,153,19,27,57,66,20,11,-4.284,-1071.0,0.2222,-0.3895,5.867,True
MIN_LEG_ATR_MULT,2.5,False,absolute,USDJPY,126,16,24,44,72,18,7,2.564,641.0,0.6,0.3663,6.523,True
MIN_LEG_ATR_MULT,1.0,False,absolute,NZDUSD,186,18,25,50,39,20,12,-1.574,-393.5,0.3636,-0.1312,6.333,True
MIN_LEG_ATR_MULT,1.5,True,absolute,NZDUSD,179,18,25,50,39,20,12,-1.574,-393.5,0.3636,-0.1312,6.333,True
MIN_LEG_ATR_MULT,2.0,False,absolute,NZDUSD,156,16,21,47,36,17,10,-4.538,-1134.5,0.2222,-0.4538,6.733,True
MIN_LEG_ATR_MULT,2.5,False,absolute,NZDUSD,136,14,19,38,37,15,9,-5.9,-1475.0,0.125,-0.6556,6.714,True
MIN_LEG_ATR_MULT,1.0,False,absolute,USDCHF,201,18,32,53,57,21,16,6.323,1580.75,0.5385,0.3952,7.333,True
MIN_LEG_ATR_MULT,1.5,True,absolute,USDCHF,183,17,30,50,55,20,15,7.997,1999.25,0.5833,0.5331,7.412,True
MIN_LEG_ATR_MULT,2.0,False,absolute,USDCHF,148,17,29,45,55,18,14,4.673,1168.25,0.5,0.3338,7.688,True
MIN_LEG_ATR_MULT,2.5,False,absolute,USDCHF,126,16,24,42,53,17,15,2.796,699.0,0.4167,0.1864,7.118,True
MIN_LEG_ATR_MULT,1.0,False,absolute,NAS100,77,27,16,25,76,32,17,-2.408,-602.0,0.2667,-0.1416,5.76,True
MIN_LEG_ATR_MULT,1.5,True,absolute,NAS100,72,26,16,25,75,31,16,-1.408,-352.0,0.2857,-0.088,5.78,True
MIN_LEG_ATR_MULT,2.0,False,absolute,NAS100,63,23,13,23,69,29,16,-0.249,-62.25,0.3571,-0.0156,5.783,True
MIN_LEG_ATR_MULT,2.5,False,absolute,NAS100,49,22,17,21,55,26,14,0.81,202.5,0.3077,0.0579,5.859,True
MIN_LEG_ATR_MULT,1.0,False,absolute,GOLD,175,21,18,55,52,21,10,-2.714,-678.5,0.2222,-0.2714,5.588,True
MIN_LEG_ATR_MULT,1.5,True,absolute,GOLD,164,20,16,55,51,20,9,-1.714,-428.5,0.25,-0.1904,5.529,True
MIN_LEG_ATR_MULT,2.0,False,absolute,GOLD,140,20,17,50,50,19,8,-0.714,-178.5,0.2857,-0.0892,5.188,True
MIN_LEG_ATR_MULT,2.5,False,absolute,GOLD,119,16,10,46,44,15,7,0.286,71.5,0.3333,0.0409,4.909,True
