setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_raw,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,sl_bar_was_sweep,sl_swept_then_tp1,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_to_fill_hours,bars_break_to_pullback,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,ob_range_atr,fvg_size_atr,impulse_leg_atr,atr_at_ob,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,alert_bar_ts,alert_seq,bos_timestamp,bias,be_arm_bar_touched_entry,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,setup_badge,setup_badge_kind,killzone_blocked,killzone_windows
A3448,EURUSD,2024-04-01T15:00:00+00:00,2024-04-03T12:00:00+00:00,2024-04-03T13:00:00+00:00,NY,bearish,BOS BOS,proximal,1.07798,1.07896,1.07916,1.07737,,0.62,,tp1,1.07737,0.517,0.62,0.0,129.25,True,,0.517,-0.0,,,1,1,-1,48.0,46.0,3,discount,0.0,,5.0,3.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2024-04-01T12:00:00+00:00,BOS,BOS,holding,True,pristine,False,0,1.05,2.85,2.85,strong,1.05,,2.167,0.000743,False,,,,,False,15,bearish,with_trend,2024-04-01T14:00:00+00:00,1,2024-04-01T14:00:00+00:00,SHORT,,counter,16.8,False,5,fresh,London,London,True,True,Both,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A3449,EURUSD,2024-04-02T15:00:00+00:00,,,NY,bullish,CHoCH CHoCH,proximal,1.0756,1.07436,1.07416,1.07987,,3.44,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,0,-1,-1,,,2,discount,1.0,True,8.0,4.0,0.0,2.0,1.0,1.0,"structure,fvg,freshness",False,h1_only,2024-04-02T13:00:00+00:00,CHoCH,CHoCH,holding,True,pristine,False,0,1.93,1.44,0.96,marginal,1.03,0.327,0.842,0.001009,False,,,,,False,15,bearish,against_trend,2024-04-02T14:00:00+00:00,1,2024-04-02T14:00:00+00:00,LONG,,aligned,27.4,False,0,fresh,NY,NY,True,False,never_filled,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A3450,EURUSD,2024-04-03T13:00:00+00:00,2024-04-03T13:00:00+00:00,2024-04-03T15:00:00+00:00,NY,bullish,Confirmation BOS,proximal,1.07746,1.07631,1.0761100000000001,1.07987,,2.1,,tp1,1.07987,1.785,2.1,1.963,446.25,True,,1.785,-0.0,,,2,2,-1,3.0,1.0,3,premium,0.0,,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2024-04-03T10:00:00+00:00,BOS,Confirm,holding,False,full,False,1,0.69,1.18,1.18,marginal,1.486,,6.867,0.000639,False,,,,,False,13,bullish,with_trend,2024-04-03T12:00:00+00:00,1,2024-04-03T12:00:00+00:00,LONG,False,counter,82.9,False,1,fresh,London,NY,False,True,Fill only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A3451,EURUSD,2024-04-03T16:00:00+00:00,2024-04-03T16:00:00+00:00,2024-04-04T00:00:00+00:00,NY,bearish,BOS BOS,proximal,1.08261,1.08367,1.08387,1.08081,,1.7,,sl,1.08387,-1.0,-1.0,-1.0,-250.0,True,,0.452,-0.929,True,True,8,-1,-1,174.0,124.0,125,premium,0.0,,3.0,3.0,0.0,0.0,0.0,0.0,structure,False,h1_only,2024-03-27T10:00:00+00:00,BOS,BOS,holding,False,full,False,2,0.42,1.46,1.46,marginal,1.053,,1.029,0.000816,False,,,,,False,16,bullish,against_trend,2024-04-03T15:00:00+00:00,1,2024-03-27T11:00:00+00:00,SHORT,,aligned,81.8,False,3,stale,London,NY,False,False,Neither,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A3452,EURUSD,2024-04-03T16:00:00+00:00,,,NY,bullish,Confirmation BOS,proximal,1.07864,1.0771,1.0769,1.08187,,2.1,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,0,-1,-1,,,3,premium,0.0,,6.0,4.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2024-04-03T13:00:00+00:00,BOS,Confirm,holding,False,full,False,1,0.89,3.31,3.31,strong,1.33,,4.359,0.001007,False,,,,,False,16,bullish,with_trend,2024-04-03T15:00:00+00:00,1,2024-04-03T14:00:00+00:00,LONG,,counter,62.2,False,1,fresh,NY,NY,True,False,never_filled,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A3453,EURUSD,2024-04-08T15:00:00+00:00,2024-04-10T13:00:00+00:00,2024-04-10T13:00:00+00:00,NY,bullish,CHoCH CHoCH,proximal,1.08332,1.08213,1.08193,1.08545,,1.79,,sl,1.08193,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,False,False,0,-1,-1,49.0,47.0,3,discount,0.0,False,8.0,3.0,0.0,2.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2024-04-08T12:00:00+00:00,CHoCH,CHoCH,holding,True,pristine,False,0,1.4,1.73,1.15,marginal,1.033,0.125,0.97,0.000959,False,,,,,False,15,bearish,against_trend,2024-04-08T14:00:00+00:00,1,2024-04-08T14:00:00+00:00,LONG,,aligned,37.8,False,0,fresh,London,NY,True,True,Both,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A3454,EURUSD,2024-04-09T11:00:00+00:00,2024-04-09T12:00:00+00:00,2024-04-09T15:00:00+00:00,London,bullish,Confirmation BOS,proximal,1.08626,1.08491,1.08471,1.08914,,2.13,,sl,1.08626,0.0,-1.0,-1.0,0.0,True,,1.445,-0.148,False,False,3,-1,-1,5.0,2.0,4,premium,0.0,,5.0,4.0,0.0,0.0,0.0,1.0,structure,False,h1_only,2024-04-09T07:00:00+00:00,BOS,Confirm,holding,False,none,False,0,0.44,1.17,1.17,marginal,1.838,,5.402,0.000626,False,,,,,False,11,bullish,with_trend,2024-04-09T10:00:00+00:00,1,2024-04-09T10:00:00+00:00,LONG,True,counter,92.9,False,1,no_fvg,London,London,True,True,Both,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A3455,EURUSD,2024-04-09T14:00:00+00:00,2024-04-09T15:00:00+00:00,2024-04-09T15:00:00+00:00,NY,bullish,Confirmation BOS,proximal,1.08728,1.08573,1.08553,1.08996,1.0906,1.73,2.14,sl,1.08553,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,True,False,0,-1,-1,3.0,2.0,2,premium,0.0,,9.0,4.0,0.0,2.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2024-04-09T12:00:00+00:00,BOS,Confirm,holding,False,none,False,0,2.18,2.28,2.28,solid,1.689,0.413,4.229,0.000799,False,,,,,False,14,bullish,with_trend,2024-04-09T13:00:00+00:00,1,2024-04-09T13:00:00+00:00,LONG,,counter,82.4,False,1,no_fvg,London,NY,True,True,Both,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A3456,EURUSD,2024-04-10T14:00:00+00:00,,,NY,bearish,CHoCH CHoCH,proximal,1.08604,1.08677,1.08697,1.08492,,1.53,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,0,-1,-1,,,3,premium,0.0,False,8.0,3.0,0.0,2.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2024-04-10T11:00:00+00:00,CHoCH,CHoCH,holding,False,none,False,0,4.9,5.46,3.64,strong,0.458,6.374,0.596,0.001158,False,,,,,False,14,bullish,against_trend,2024-04-10T13:00:00+00:00,1,2024-04-10T13:00:00+00:00,SHORT,,aligned,93.2,False,0,no_fvg,London,NY,True,False,never_filled,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A3457,EURUSD,2024-04-10T15:00:00+00:00,2024-04-10T16:00:00+00:00,2024-04-11T07:00:00+00:00,NY,bullish,CHoCH CHoCH,proximal,1.0735,1.07238,1.0721800000000001,1.07729,,3.38,,sl,1.0735,0.0,-1.0,-1.0,0.0,True,,1.462,-0.477,False,False,15,-1,-1,202.0,147.0,153,discount,1.0,True,7.0,4.0,0.0,2.0,0.0,1.0,"structure,fvg",False,h1_only,2024-04-02T06:00:00+00:00,CHoCH,CHoCH,holding,True,pristine,False,0,1.09,3.17,2.11,solid,1.752,0.629,1.619,0.000525,False,,,,,False,15,bullish,with_trend,2024-04-10T14:00:00+00:00,1,2024-04-02T13:00:00+00:00,LONG,True,aligned,19.0,False,0,fresh,Asia,NY,True,False,OB only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
