setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_raw,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,sl_bar_was_sweep,sl_swept_then_tp1,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_to_fill_hours,bars_break_to_pullback,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,ob_range_atr,fvg_size_atr,impulse_leg_atr,atr_at_ob,ob_body_ratio,ob_walkback_depth,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,alert_bar_ts,alert_seq,bos_timestamp,bias,be_arm_bar_touched_entry,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,setup_badge,setup_badge_kind,killzone_blocked,killzone_windows
A7363,NZDUSD,2008-01-21T08:00:00+00:00,2008-01-22T12:00:00+00:00,2008-01-22T13:00:00+00:00,London,bearish,BOS BOS,proximal,0.7599,0.7618,0.7622,0.7566,,1.74,,tp1,0.7566,1.435,1.74,0.0,358.75,True,,1.435,-0.0,,,1,1,-1,38.0,30.0,10,discount,0.0,,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2008-01-20T22:00:00+00:00,BOS,BOS,holding,True,pristine,False,0,0.55,1.34,1.34,marginal,0.717,0.382,4.396,0.002093,0.8,2,False,,,,,False,8,bearish,with_trend,2008-01-21T07:00:00+00:00,1,2008-01-21T06:00:00+00:00,SHORT,,counter,42.4,False,4,fresh,Other,London,False,True,Fill only,,,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A7364,NZDUSD,2008-01-24T11:00:00+00:00,,,London,bullish,Confirmation BOS,proximal,0.7661,0.7641,0.7637,0.7745,,4.2,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,0,-1,-1,,,5,premium,0.0,,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2008-01-24T06:00:00+00:00,BOS,Confirm,holding,False,none,False,0,0.77,1.58,1.58,solid,0.663,,4.473,0.002414,0.813,1,False,,,,,False,11,bullish,with_trend,2008-01-24T10:00:00+00:00,1,2008-01-24T10:00:00+00:00,LONG,,counter,70.9,False,1,no_fvg,Asia,London,False,False,never_filled,,,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A7365,NZDUSD,2008-02-04T14:00:00+00:00,2008-02-04T14:00:00+00:00,2008-02-04T16:00:00+00:00,NY,bullish,BOS BOS,proximal,0.7946,0.7928,0.7924,0.7958,,0.67,,sl,0.7924,-1.0,-1.0,-1.0,-250.0,True,,0.5,-0.364,True,False,2,-1,-1,4.0,1.0,4,premium,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2008-02-04T10:00:00+00:00,BOS,BOS,holding,False,none,False,0,0.86,1.03,1.03,marginal,0.797,,8.423,0.001757,0.714,0,False,,,,,False,14,bullish,with_trend,2008-02-04T13:00:00+00:00,1,2008-02-04T13:00:00+00:00,LONG,,counter,90.7,False,3,no_fvg,London,NY,False,True,Fill only,,,False,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A7366,NZDUSD,2008-02-04T17:00:00+00:00,2008-02-05T09:00:00+00:00,2008-02-05T13:00:00+00:00,NY,bullish,BOS BOS,proximal,0.7885,0.7859,0.7855000000000001,0.7949,,2.46,,sl,0.7855000000000001,-1.0,-1.0,-1.0,-250.0,True,,0.633,-0.933,False,False,4,-1,-1,102.0,45.0,37,premium,0.0,,5.0,3.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2008-02-01T03:00:00+00:00,BOS,BOS,holding,False,full,False,1,1.59,1.14,1.14,marginal,1.283,,5.367,0.001714,0.864,2,False,,,,,False,17,bullish,with_trend,2008-02-04T16:00:00+00:00,1,2008-02-01T11:00:00+00:00,LONG,,counter,62.1,False,2,stale,Asia,London,True,False,OB only,,,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A7367,NZDUSD,2008-02-05T10:00:00+00:00,2008-02-05T13:00:00+00:00,2008-02-05T17:00:00+00:00,London,bullish,CHoCH CHoCH,proximal,0.7847,0.7822,0.7818,0.7889,,1.68,,sl,0.7818,-1.0,-1.0,-1.0,-250.0,True,,0.172,-0.69,True,True,4,-1,-1,123.0,71.0,71,discount,1.0,True,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2008-01-31T10:00:00+00:00,CHoCH,CHoCH,holding,False,none,False,1,1.56,2.45,1.64,solid,1.176,,2.184,0.001786,0.667,1,False,,,,,False,10,bullish,with_trend,2008-02-05T09:00:00+00:00,1,2008-01-31T13:00:00+00:00,LONG,,aligned,44.4,False,0,no_fvg,London,NY,False,True,Fill only,,,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A7368,NZDUSD,2008-02-06T04:00:00+00:00,2008-02-06T08:00:00+00:00,2008-02-06T10:00:00+00:00,Asia,bearish,CHoCH CHoCH,proximal,0.7832,0.7856,0.7859999999999999,0.7782,,2.08,,sl,0.7832,0.0,-1.0,-1.0,0.0,True,,1.179,-0.0,False,False,2,-1,-1,17.0,14.0,13,discount,1.0,True,6.0,4.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2008-02-05T15:00:00+00:00,CHoCH,CHoCH,holding,False,full,False,1,3.62,1.55,1.03,marginal,0.798,,1.236,0.002507,0.45,0,False,,,,,False,4,bullish,against_trend,2008-02-06T03:00:00+00:00,1,2008-02-05T18:00:00+00:00,SHORT,False,counter,30.7,False,0,fresh,NY,London,True,False,OB only,,,False,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A7369,NZDUSD,2008-02-08T05:00:00+00:00,2008-02-08T09:00:00+00:00,2008-02-08T14:00:00+00:00,Asia,bullish,CHoCH CHoCH,proximal,0.7853,0.7822,0.7818,0.7903,,1.61,,tp1,0.7903,1.429,1.61,2.029,357.25,True,,1.429,-0.486,,,5,5,-1,33.0,28.0,29,discount,0.0,False,3.0,3.0,0.0,0.0,0.0,0.0,structure,False,h1_only,2008-02-07T00:00:00+00:00,CHoCH,CHoCH,holding,False,full,False,2,1.96,1.71,1.14,marginal,1.295,,1.582,0.002086,0.259,0,False,,,,,False,5,bearish,against_trend,2008-02-08T04:00:00+00:00,1,2008-02-07T05:00:00+00:00,LONG,,aligned,49.3,False,0,stale,Asia,London,False,False,Neither,,,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A7370,NZDUSD,2008-02-08T10:00:00+00:00,2008-02-08T14:00:00+00:00,2008-02-08T14:00:00+00:00,London,bearish,BOS BOS,proximal,0.7872,0.7892,0.7896,0.7834,0.7824,1.9,2.4,sl,0.7896,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,False,False,0,-1,-1,7.0,5.0,3,premium,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2008-02-08T07:00:00+00:00,BOS,BOS,holding,False,none,False,0,0.67,1.24,1.24,marginal,0.9,,2.418,0.001779,0.375,0,False,,,,,False,10,bearish,with_trend,2008-02-08T09:00:00+00:00,1,2008-02-08T09:00:00+00:00,SHORT,,aligned,62.5,False,1,no_fvg,London,NY,False,True,Fill only,,,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A7371,NZDUSD,2008-02-12T11:00:00+00:00,2008-02-12T19:00:00+00:00,2008-02-13T05:00:00+00:00,London,bullish,CHoCH CHoCH,proximal,0.7899,0.7877,0.7873,0.7945,,2.09,,sl,0.7873,-1.0,-1.0,-1.0,-250.0,True,,0.462,-0.615,True,False,10,-1,-1,11.0,9.0,3,premium,1.0,True,7.0,4.0,1.0,0.0,2.0,0.0,"structure,sweep,freshness",False,h1_only,2008-02-12T08:00:00+00:00,CHoCH,CHoCH,holding,False,none,True,0,1.41,1.61,1.07,marginal,0.92,,0.818,0.001957,0.611,0,False,,,,,False,11,bearish,against_trend,2008-02-12T10:00:00+00:00,1,2008-02-12T10:00:00+00:00,LONG,,counter,52.5,False,0,no_fvg,London,NY,False,False,Neither,,,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A7372,NZDUSD,2008-02-13T08:00:00+00:00,2008-02-13T22:00:00+00:00,2008-02-13T22:00:00+00:00,London,bearish,BOS BOS,proximal,0.7887,0.7908,0.7911999999999999,0.7849,0.7836,1.81,2.43,sl,0.7911999999999999,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,True,True,0,-1,-1,20.0,16.0,6,discount,0.0,,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2008-02-13T02:00:00+00:00,BOS,BOS,holding,False,none,False,0,0.43,1.97,1.97,solid,0.826,,0.632,0.002057,0.471,1,False,,,,,False,8,bearish,with_trend,2008-02-13T07:00:00+00:00,1,2008-02-13T06:00:00+00:00,SHORT,,counter,46.5,False,1,no_fvg,Asia,Other,True,False,OB only,,,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
