setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_raw,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,ob_range_atr,fvg_size_atr,impulse_leg_atr,atr_at_ob,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,alert_bar_ts,alert_seq,bos_timestamp,bias,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,killzone_blocked,killzone_windows
A1551,USDJPY,2009-02-20T18:00:00+00:00,2009-02-23T08:00:00+00:00,2009-02-23T09:00:00+00:00,NY,bearish,BOS BOS,proximal,94.085,94.395,94.41499999999999,93.565,,1.68,,sl,94.41499999999999,-1.0,-1.0,-1.0,-250.0,True,,0.803,-0.985,1,-1,-1,6,premium,0.0,,8.0,3.0,1.0,2.0,1.0,1.0,"structure,sweep,fvg,freshness",False,h1_only,2009-02-20T12:00:00+00:00,BOS,BOS,holding,True,pristine,True,0,0.96,1.24,1.24,marginal,0.785,0.649,0.866,0.369643,False,,,,,False,18,bearish,with_trend,2009-02-20T17:00:00+00:00,1,2009-02-20T17:00:00+00:00,SHORT,aligned,81.1,False,3,fresh,London,London,True,False,OB only,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1552,USDJPY,2009-02-24T05:00:00+00:00,2009-02-24T05:00:00+00:00,2009-02-24T10:00:00+00:00,Asia,bullish,Confirmation BOS,proximal,95.2,94.86,94.84,95.72,,1.53,,tp1,95.72,1.444,1.53,7.547,361.0,True,,1.686,-0.497,5,5,-1,2,premium,0.0,,7.7,4.0,1.67,0.0,1.0,1.0,"structure,sweep,freshness",False,h1_only,2009-02-24T03:00:00+00:00,BOS,Confirm,holding,False,none,True,0,1.18,1.11,1.11,marginal,1.043,,5.213,0.306714,False,,,,,False,5,bullish,with_trend,2009-02-24T04:00:00+00:00,1,2009-02-24T04:00:00+00:00,LONG,counter,95.6,False,1,no_fvg,Asia,Asia,True,False,OB only,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1553,USDJPY,2009-02-24T06:00:00+00:00,,,Asia,bullish,BOS BOS,proximal,94.685,94.529,94.509,94.937,,1.62,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,5,premium,0.0,,8.7,3.0,1.67,2.0,1.0,1.0,"structure,sweep,fvg,freshness",False,h1_only,2009-02-24T01:00:00+00:00,BOS,BOS,holding,True,pristine,True,0,0.54,1.51,1.51,solid,0.456,0.654,1.983,0.298071,False,,,,,False,6,bullish,with_trend,2009-02-24T05:00:00+00:00,1,2009-02-24T02:00:00+00:00,LONG,counter,77.3,False,2,fresh,Asia,Asia,True,False,never_filled,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1554,USDJPY,2009-02-24T15:00:00+00:00,,,NY,bullish,Confirmation BOS,proximal,95.32,95.054,95.034,95.72,,1.5,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,10,premium,0.0,,8.7,4.0,1.67,2.0,1.0,0.0,"structure,sweep,fvg,freshness",False,h1_only,2009-02-24T05:00:00+00:00,BOS,Confirm,holding,True,pristine,True,0,3.49,1.26,1.26,marginal,0.645,0.411,4.19,0.381643,False,,,,,False,15,bullish,with_trend,2009-02-24T14:00:00+00:00,1,2009-02-24T13:00:00+00:00,LONG,counter,63.9,False,1,fresh,Asia,NY,False,False,never_filled,False,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1555,USDJPY,2009-02-25T05:00:00+00:00,2009-02-25T06:00:00+00:00,2009-02-25T10:00:00+00:00,Asia,bullish,BOS BOS,proximal,96.713,96.34,96.32000000000001,97.319,,1.62,,sl,96.713,0.0,1.62,1.982,0.0,True,,1.158,-0.198,4,9,-1,5,premium,0.0,,7.7,3.0,1.67,2.0,1.0,0.0,"structure,sweep,fvg,freshness",False,h1_only,2009-02-25T00:00:00+00:00,BOS,BOS,holding,True,pristine,True,0,0.43,1.83,1.83,solid,1.194,0.125,8.877,0.295714,False,,,,,False,5,bullish,with_trend,2009-02-25T04:00:00+00:00,1,2009-02-25T01:00:00+00:00,LONG,counter,87.4,False,3,fresh,Asia,Asia,False,False,Neither,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1556,USDJPY,2009-02-26T05:00:00+00:00,2009-02-27T02:00:00+00:00,2009-02-27T08:00:00+00:00,Asia,bullish,BOS BOS,proximal,97.36,97.01,96.99000000000001,97.96,,1.71,,sl,97.36,0.0,-1.0,-1.0,0.0,True,,1.522,-0.13,6,-1,-1,13,premium,0.0,,4.5,3.0,0.0,0.0,0.5,1.0,"structure,freshness",False,h1_only,2009-02-25T16:00:00+00:00,BOS,BOS,holding,False,full,False,1,1.31,1.05,1.05,marginal,1.198,,2.484,0.275357,False,,,,,False,5,bullish,with_trend,2009-02-26T04:00:00+00:00,1,2009-02-25T18:00:00+00:00,LONG,counter,62.7,False,4,stale,NY,Asia,True,True,Both,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1557,USDJPY,2009-02-26T12:00:00+00:00,2009-02-26T12:00:00+00:00,2009-02-26T14:00:00+00:00,London,bullish,BOS BOS,proximal,97.945,97.622,97.602,98.176,,0.72,,tp1,98.176,0.673,0.72,0.0,168.25,True,,1.711,-0.714,2,2,-1,5,premium,0.0,,4.0,3.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2009-02-26T07:00:00+00:00,BOS,BOS,holding,False,none,False,0,0.69,1.23,1.23,marginal,1.315,,1.38,0.2305,False,,,,,False,12,bullish,with_trend,2009-02-26T11:00:00+00:00,1,2009-02-26T11:00:00+00:00,LONG,counter,87.3,False,5,no_fvg,London,London,False,True,Fill only,False,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1558,USDJPY,2009-02-26T18:00:00+00:00,2009-02-26T23:00:00+00:00,2009-02-27T00:00:00+00:00,NY,bullish,BOS BOS,proximal,98.188,97.68,97.66000000000001,98.7,,1.01,,sl,97.66000000000001,-1.0,-1.0,-1.0,-250.0,True,,0.297,-0.924,1,-1,-1,6,premium,0.0,,7.0,3.0,0.0,2.0,1.0,1.0,"structure,fvg,freshness",False,h1_only,2009-02-26T12:00:00+00:00,BOS,BOS,holding,True,pristine,False,0,1.63,1.91,1.91,solid,1.695,1.028,1.104,0.287929,False,,,,,False,18,bullish,with_trend,2009-02-26T17:00:00+00:00,1,2009-02-26T14:00:00+00:00,LONG,counter,78.2,False,5,fresh,London,Other,True,False,OB only,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1559,USDJPY,2009-03-04T08:00:00+00:00,2009-03-05T13:00:00+00:00,2009-03-05T14:00:00+00:00,London,bullish,CHoCH CHoCH,proximal,98.49,98.34,98.32000000000001,99.355,,5.77,,sl,98.32000000000001,-1.0,-1.0,-1.0,-250.0,True,,4.653,-0.882,1,-1,-1,6,premium,0.0,False,7.0,3.0,0.0,2.0,1.0,1.0,"structure,fvg,freshness",False,h1_only,2009-03-04T02:00:00+00:00,CHoCH,CHoCH,holding,True,pristine,False,0,2.53,1.54,1.02,marginal,0.51,0.843,0.89,0.255071,False,,,,,False,8,bearish,against_trend,2009-03-04T07:00:00+00:00,1,2009-03-04T07:00:00+00:00,LONG,counter,63.6,False,0,fresh,Asia,NY,True,True,Both,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A1560,USDJPY,2009-03-05T07:00:00+00:00,2009-03-05T10:00:00+00:00,2009-03-05T10:00:00+00:00,London,bullish,Confirmation BOS,proximal,99.306,99.131,99.111,99.667,,2.06,,sl,99.111,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,0,-1,-1,4,premium,0.0,,8.0,4.0,0.0,2.0,1.0,1.0,"structure,fvg,freshness",False,h1_only,2009-03-05T03:00:00+00:00,BOS,Confirm,holding,True,pristine,False,0,0.65,1.07,1.07,marginal,0.692,0.29,5.039,0.224071,False,,,,,False,7,bullish,with_trend,2009-03-05T06:00:00+00:00,1,2009-03-05T06:00:00+00:00,LONG,counter,86.6,False,1,fresh,Asia,London,True,False,OB only,True,"Asian Range: 20:00-00:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
