setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_raw,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,sl_bar_was_sweep,sl_swept_then_tp1,sl_wick_depth_atr,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_to_fill_hours,bars_break_to_pullback,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,ob_range_atr,fvg_size_atr,impulse_leg_atr,atr_at_ob,ob_body_ratio,ob_walkback_depth,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,structure_ranging_at_alert,flip_pending_at_alert,flip_pending_dir_at_alert,leg_extreme_at_alert,leg_retrace_pct_at_alert,leg_extreme_clipped,dr_ceiling_broken_at_ob,dr_floor_broken_at_ob,alert_bar_ts,alert_seq,bos_timestamp,bias,be_arm_bar_touched_entry,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,setup_badge,setup_badge_kind,killzone_blocked,killzone_windows
A6018,GOLD,2008-02-28T18:00:00+00:00,,,NY,bullish,BOS BOS,proximal,962.5,956.0,955.995,969.1,,1.02,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,0,-1,-1,,,5,premium,0.0,,5.5,3.0,0.0,1.0,0.5,1.0,"structure,fvg,freshness",False,h1_only,2008-02-28T13:00:00+00:00,BOS,BOS,holding,True,partial,False,1,1.1,1.37,1.37,marginal,1.516,0.227,1.921,3.957143,0.217,0,False,,,,,False,18,bullish,with_trend,False,False,,969.1,40.5,False,True,False,2008-02-28T17:00:00+00:00,1,2008-02-28T14:00:00+00:00,LONG,,counter,59.5,False,2,fresh,NY,NY,True,False,never_filled,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6019,GOLD,2008-02-29T12:00:00+00:00,,,London,bullish,Confirmation BOS,proximal,956.6,953.8,953.795,960.9,,1.54,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,0,-1,-1,,,26,discount,0.0,,7.0,4.0,0.0,1.0,1.0,1.0,"structure,fvg,freshness",False,h1_only,2008-02-28T09:00:00+00:00,BOS,Confirm,holding,True,partial,False,0,1.4,1.2,1.2,marginal,0.799,0.313,6.427,2.878571,0.348,1,False,,,,,False,12,bullish,with_trend,False,False,,975.8,64.9,False,False,False,2008-02-29T11:00:00+00:00,1,2008-02-28T17:00:00+00:00,LONG,,aligned,17.6,False,1,fresh,London,London,True,False,never_filled,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6020,GOLD,2008-03-03T07:00:00+00:00,2008-03-03T07:00:00+00:00,2008-03-03T07:00:00+00:00,London,bullish,BOS BOS,proximal,980.4,978.7,978.695,984.6,,2.47,,sl,978.695,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,True,True,0.068,0,-1,-1,6.0,5.0,6,premium,0.0,,5.5,3.0,0.0,2.0,0.5,0.0,"structure,fvg,freshness",False,h1_only,2008-03-03T01:00:00+00:00,BOS,BOS,holding,True,pristine,False,1,1.49,1.15,1.15,marginal,0.417,0.382,4.065,2.878571,0.583,0,False,,,,,False,7,bullish,with_trend,False,False,,984.6,20.5,False,True,False,2008-03-03T06:00:00+00:00,1,2008-03-03T02:00:00+00:00,LONG,,counter,79.5,False,2,fresh,Asia,London,False,True,Fill only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6021,GOLD,2008-03-03T15:00:00+00:00,2008-03-03T15:00:00+00:00,2008-03-03T18:00:00+00:00,NY,bullish,BOS BOS,proximal,982.9,979.6,979.595,989.1,,1.88,,sl,979.595,-1.0,-1.0,-1.0,-250.0,True,,0.726,-0.938,True,True,0.186,3,-1,-1,4.0,2.0,4,premium,0.0,,5.0,3.0,0.0,1.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2008-03-03T11:00:00+00:00,BOS,BOS,holding,True,partial,False,0,0.93,1.12,1.12,marginal,0.873,0.53,2.245,3.207143,0.357,0,False,,,,,False,15,bullish,with_trend,False,False,,989.1,53.0,False,True,False,2008-03-03T14:00:00+00:00,1,2008-03-03T13:00:00+00:00,LONG,,counter,75.2,False,3,fresh,London,NY,False,True,Fill only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6022,GOLD,2008-03-03T16:00:00+00:00,2008-03-04T15:00:00+00:00,2008-03-04T15:00:00+00:00,NY,bullish,Confirmation BOS,proximal,970.3,964.7,964.695,984.6,,2.55,,sl,964.695,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,True,True,1.163,0,-1,-1,100.0,48.0,27,discount,0.0,,4.5,4.0,0.0,0.0,0.5,0.0,"structure,freshness",False,h1_only,2008-02-29T11:00:00+00:00,BOS,Confirm,holding,False,none,False,1,0.45,1.66,1.66,solid,1.448,,5.254,3.521429,0.275,0,False,,,,,False,16,bullish,with_trend,False,False,,989.1,43.8,False,True,False,2008-03-03T15:00:00+00:00,1,2008-02-29T12:00:00+00:00,LONG,,aligned,31.0,False,1,no_fvg,London,NY,False,True,Fill only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6023,GOLD,2008-03-04T16:00:00+00:00,2008-03-05T15:00:00+00:00,2008-03-05T15:00:00+00:00,NY,bearish,CHoCH CHoCH,proximal,984.1,988.1,988.105,977.4,,1.68,,sl,988.105,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,True,True,0.562,0,-1,-1,28.0,23.0,5,premium,1.0,True,6.0,4.0,1.0,0.0,1.0,0.0,"structure,sweep,freshness",False,h1_only,2008-03-04T11:00:00+00:00,CHoCH,CHoCH,holding,False,none,True,0,2.92,3.43,2.29,solid,0.759,,1.084,4.614286,0.457,1,False,,,,,False,16,bullish,ambiguous,False,True,bearish,960.6,100.4,False,False,False,2008-03-04T15:00:00+00:00,1,2008-03-04T15:00:00+00:00,SHORT,,aligned,85.1,False,0,no_fvg,London,NY,False,True,Fill only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6024,GOLD,2008-03-05T13:00:00+00:00,,,NY,bullish,BOS BOS,proximal,963.3,959.6,959.595,973.1,,2.65,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,0,-1,-1,,,3,discount,0.0,,4.0,3.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2008-03-05T10:00:00+00:00,BOS,BOS,holding,False,none,False,0,1.37,2.55,2.55,strong,0.901,,3.606,3.55,0.313,1,False,,,,,False,13,bullish,with_trend,False,False,,971.4,,False,False,False,2008-03-05T12:00:00+00:00,1,2008-03-05T12:00:00+00:00,LONG,,aligned,22.9,False,1,no_fvg,London,NY,False,False,never_filled,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6025,GOLD,2008-03-06T14:00:00+00:00,2008-03-06T14:00:00+00:00,2008-03-07T05:00:00+00:00,NY,bearish,CHoCH CHoCH,proximal,983.6,988.0,988.005,964.1,958.7,4.43,5.66,sl,983.6,0.0,-1.0,-1.0,0.0,True,,4.291,-0.25,False,False,0.211,14,-1,-1,4.0,1.0,4,premium,1.0,True,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2008-03-06T10:00:00+00:00,CHoCH,CHoCH,holding,False,none,False,0,1.97,2.44,1.62,solid,0.915,,0.352,4.264286,0.41,1,False,,,,,False,14,bullish,ambiguous,False,True,bearish,971.0,88.1,False,False,False,2008-03-06T13:00:00+00:00,1,2008-03-06T13:00:00+00:00,SHORT,True,aligned,75.2,False,0,no_fvg,London,NY,False,True,Fill only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6026,GOLD,2008-03-11T07:00:00+00:00,2008-03-11T08:00:00+00:00,2008-03-11T09:00:00+00:00,London,bearish,Confirmation BOS,proximal,975.8,980.8,980.805,964.7,,2.22,,sl,980.805,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,False,False,1.581,1,-1,-1,25.0,19.0,23,premium,0.0,,8.7,4.0,1.67,1.0,1.0,1.0,"structure,sweep,fvg,freshness",False,h1_only,2008-03-10T07:00:00+00:00,BOS,Confirm,holding,True,partial,True,0,0.4,1.93,1.93,solid,1.826,0.446,8.359,2.464286,0.422,0,False,,,,,False,7,bearish,with_trend,False,False,,960.6,61.5,False,False,False,2008-03-11T06:00:00+00:00,1,2008-03-10T12:00:00+00:00,SHORT,,aligned,71.2,False,1,fresh,London,London,True,True,Both,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6027,GOLD,2008-03-11T09:00:00+00:00,2008-03-11T12:00:00+00:00,2008-03-11T13:00:00+00:00,London,bullish,BOS BOS,proximal,972.6,967.9,967.895,980.3,,1.64,,sl,967.895,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,True,True,1.237,1,-1,-1,7.0,4.0,4,premium,0.0,,4.0,3.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2008-03-11T05:00:00+00:00,BOS,BOS,holding,False,none,False,0,0.54,1.78,1.78,solid,1.576,,0.45,2.664286,1.0,0,False,,,,,False,9,bullish,with_trend,False,False,,977.0,550.0,False,False,False,2008-03-11T08:00:00+00:00,1,2008-03-11T08:00:00+00:00,LONG,,counter,50.6,False,1,no_fvg,Asia,London,False,True,Fill only,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
