setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_age_h1_bars,pd_zone,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,fvg_present,sweep_present,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,alert_bar_ts,alert_seq,bos_timestamp,bias,pd_alignment,pd_pct,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,killzone_blocked,killzone_windows
T0001,EURUSD,2025-02-03T15:00:00+00:00,,,NY,bullish,CHoCH CHoCH,proximal,1.02187,1.02063,1.02754,,5.48,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,353,discount,4.0,4.0,0.0,0.0,0.0,0.0,structure,False,h1_only,2025-01-13T19:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,15,bearish,against_trend,2025-02-03T14:00:00+00:00,1,2025-01-13T21:00:00+00:00,LONG,aligned,-633.8,stale,NY,NY,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0002,EURUSD,2025-02-03T15:00:00+00:00,,,NY,bullish,CHoCH CHoCH,50pct,1.02145,1.02063,1.02754,,9.823,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,353,discount,4.0,4.0,0.0,0.0,0.0,0.0,structure,False,h1_only,2025-01-13T19:00:00+00:00,CHoCH,CHoCH,False,False,False,,,,,False,15,bearish,against_trend,2025-02-03T14:00:00+00:00,1,2025-01-13T21:00:00+00:00,LONG,aligned,-636.0,stale,NY,NY,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0003,EURUSD,2025-02-05T08:00:00+00:00,2025-02-06T07:00:00+00:00,2025-02-06T08:00:00+00:00,London,bullish,BOS BOS,proximal,1.0381,1.03727,1.04047,,3.77,,sl,1.03727,-1.0,-1.0,-1.0,-250.0,True,,1.558,-2.594,1,-1,-1,3,discount,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-02-05T05:00:00+00:00,BOS,BOS,True,False,False,,,,,False,8,bullish,with_trend,2025-02-05T07:00:00+00:00,1,2025-02-05T07:00:00+00:00,LONG,aligned,-548.9,fresh,Asia,London,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0004,EURUSD,2025-02-05T08:00:00+00:00,2025-02-06T08:00:00+00:00,2025-02-06T08:00:00+00:00,London,bullish,BOS BOS,50pct,1.03788,1.03727,1.04047,,6.317,,sl,1.03727,-1.0,-1.0,-1.0,-250.0,True,,0.711,-3.168,0,-1,-1,3,discount,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-02-05T05:00:00+00:00,BOS,BOS,True,False,False,,,,,False,8,bullish,with_trend,2025-02-05T07:00:00+00:00,1,2025-02-05T07:00:00+00:00,LONG,aligned,-550.1,fresh,Asia,London,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0005,EURUSD,2025-02-06T09:00:00+00:00,2025-02-07T15:00:00+00:00,2025-02-07T17:00:00+00:00,London,bullish,BOS BOS,proximal,1.0337,1.03212,1.03605,,1.71,,sl,1.0337,0.0,-1.0,-1.0,0.0,True,,3.261,-1.687,2,-1,-1,46,discount,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-02-04T11:00:00+00:00,BOS,BOS,True,False,False,,,,,False,9,bullish,with_trend,2025-02-06T08:00:00+00:00,1,2025-02-04T14:00:00+00:00,LONG,aligned,-571.9,fresh,London,NY,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0006,EURUSD,2025-02-06T09:00:00+00:00,2025-02-07T16:00:00+00:00,2025-02-07T17:00:00+00:00,London,bullish,BOS BOS,50pct,1.03311,1.03212,1.03605,,3.722,,sl,1.03212,-1.0,-1.0,-1.0,-250.0,True,,2.649,-2.097,1,-1,-1,46,discount,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-02-04T11:00:00+00:00,BOS,BOS,True,False,False,,,,,False,9,bullish,with_trend,2025-02-06T08:00:00+00:00,1,2025-02-04T14:00:00+00:00,LONG,aligned,-575.0,fresh,London,NY,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0007,EURUSD,2025-02-07T09:00:00+00:00,2025-02-07T12:00:00+00:00,2025-02-07T12:00:00+00:00,London,bullish,BOS BOS,proximal,1.03799,1.03716,1.03896,,1.54,,sl,1.03716,-1.0,-1.0,-1.0,-250.0,True,,0.52,-1.037,0,-1,-1,3,discount,5.0,1.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-02-07T06:00:00+00:00,BOS,BOS,True,False,False,,,,,False,9,bullish,with_trend,2025-02-07T08:00:00+00:00,1,2025-02-07T08:00:00+00:00,LONG,aligned,-549.5,fresh,Asia,London,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0008,EURUSD,2025-02-07T09:00:00+00:00,2025-02-07T12:00:00+00:00,2025-02-07T12:00:00+00:00,London,bullish,BOS BOS,50pct,1.03778,1.03716,1.03896,,2.81,,sl,1.03716,-1.0,-1.0,-1.0,-250.0,True,,1.035,-1.05,0,-1,-1,3,discount,5.0,1.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-02-07T06:00:00+00:00,BOS,BOS,True,False,False,,,,,False,9,bullish,with_trend,2025-02-07T08:00:00+00:00,1,2025-02-07T08:00:00+00:00,LONG,aligned,-550.6,fresh,Asia,London,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0009,EURUSD,2025-02-07T16:00:00+00:00,,,NY,bearish,BOS BOS,proximal,1.03659,1.03936,1.03231,,1.67,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,2,discount,4.0,1.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2025-02-07T14:00:00+00:00,BOS,BOS,False,False,False,,,,,False,16,bearish,with_trend,2025-02-07T15:00:00+00:00,1,2025-02-07T15:00:00+00:00,SHORT,counter,-556.8,no_fvg,NY,NY,True,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0010,EURUSD,2025-02-07T16:00:00+00:00,,,NY,bearish,BOS BOS,50pct,1.03778,1.03936,1.03231,,3.964,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,2,discount,4.0,1.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2025-02-07T14:00:00+00:00,BOS,BOS,False,False,False,,,,,False,16,bearish,with_trend,2025-02-07T15:00:00+00:00,1,2025-02-07T15:00:00+00:00,SHORT,counter,-550.6,no_fvg,NY,NY,True,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0011,EURUSD,2025-02-10T08:00:00+00:00,2025-02-10T09:00:00+00:00,2025-02-10T13:00:00+00:00,London,bearish,BOS BOS,proximal,1.03274,1.0341,1.03082,1.03018,1.65,2.2,sl,1.03274,0.0,1.65,2.2,0.0,True,,1.176,-0.783,4,5,14,12,discount,4.0,3.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2025-02-07T19:00:00+00:00,BOS,BOS,False,False,False,,,,,False,8,bearish,with_trend,2025-02-10T07:00:00+00:00,1,2025-02-10T01:00:00+00:00,SHORT,counter,-576.9,fresh,NY,London,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0012,EURUSD,2025-02-10T08:00:00+00:00,2025-02-10T09:00:00+00:00,2025-02-10T14:00:00+00:00,London,bearish,BOS BOS,50pct,1.03322,1.0341,1.03082,1.03018,3.529,4.471,tp1,1.03082,2.727,3.529,4.471,681.75,True,,2.846,-0.665,5,5,14,12,discount,4.0,3.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2025-02-07T19:00:00+00:00,BOS,BOS,False,False,False,,,,,False,8,bearish,with_trend,2025-02-10T07:00:00+00:00,1,2025-02-10T01:00:00+00:00,SHORT,counter,-574.4,fresh,NY,London,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0013,EURUSD,2025-02-12T14:00:00+00:00,2025-02-12T15:00:00+00:00,2025-02-12T15:00:00+00:00,NY,bearish,BOS BOS,proximal,1.03681,1.03807,1.03477,,1.92,,sl,1.03807,-1.0,-1.0,-1.0,-250.0,True,,2.045,-1.108,0,-1,-1,5,discount,4.0,1.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2025-02-12T09:00:00+00:00,BOS,BOS,False,False,False,,,,,False,14,bearish,with_trend,2025-02-12T13:00:00+00:00,1,2025-02-12T13:00:00+00:00,SHORT,counter,-555.7,no_fvg,London,NY,True,True,Both,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0014,EURUSD,2025-02-12T14:00:00+00:00,2025-02-12T15:00:00+00:00,2025-02-12T15:00:00+00:00,NY,bearish,BOS BOS,50pct,1.03724,1.03807,1.03477,,3.921,,sl,1.03807,-1.0,-1.0,-1.0,-250.0,True,,3.623,-1.164,0,-1,-1,5,discount,4.0,1.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2025-02-12T09:00:00+00:00,BOS,BOS,False,False,False,,,,,False,14,bearish,with_trend,2025-02-12T13:00:00+00:00,1,2025-02-12T13:00:00+00:00,SHORT,counter,-553.4,no_fvg,London,NY,True,True,Both,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0015,EURUSD,2025-02-13T09:00:00+00:00,2025-02-13T11:00:00+00:00,2025-02-13T13:00:00+00:00,London,bullish,Range BOS,proximal,1.04026,1.03878,1.04221,,1.52,,sl,1.03878,-1.0,-1.0,-1.0,-250.0,True,,1.831,-1.461,2,-1,-1,9,discount,8.0,4.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-02-13T00:00:00+00:00,BOS,Range,True,False,False,,,,,False,9,bullish,with_trend,2025-02-13T08:00:00+00:00,1,2025-02-13T04:00:00+00:00,LONG,aligned,-537.6,fresh,Asia,London,False,False,Neither,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0016,EURUSD,2025-02-13T09:00:00+00:00,2025-02-13T12:00:00+00:00,2025-02-13T13:00:00+00:00,London,bullish,Range BOS,50pct,1.03972,1.03878,1.04221,,3.365,,sl,1.03878,-1.0,-1.0,-1.0,-250.0,True,,1.264,-1.725,1,-1,-1,9,discount,8.0,4.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-02-13T00:00:00+00:00,BOS,Range,True,False,False,,,,,False,9,bullish,with_trend,2025-02-13T08:00:00+00:00,1,2025-02-13T04:00:00+00:00,LONG,aligned,-540.5,fresh,Asia,London,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0017,EURUSD,2025-02-13T16:00:00+00:00,,,NY,bullish,CHoCH CHoCH,proximal,1.0381,1.03684,1.03983,,1.63,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,32,discount,7.0,3.0,0.0,1.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2025-02-12T08:00:00+00:00,CHoCH,CHoCH,True,False,False,,,,,False,16,bearish,against_trend,2025-02-13T15:00:00+00:00,1,2025-02-12T16:00:00+00:00,LONG,aligned,-548.9,fresh,London,NY,True,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0018,EURUSD,2025-02-13T16:00:00+00:00,,,NY,bullish,CHoCH CHoCH,50pct,1.03767,1.03684,1.03983,,3.429,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,32,discount,7.0,3.0,0.0,1.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2025-02-12T08:00:00+00:00,CHoCH,CHoCH,True,False,False,,,,,False,16,bearish,against_trend,2025-02-13T15:00:00+00:00,1,2025-02-12T16:00:00+00:00,LONG,aligned,-551.2,fresh,London,NY,True,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0019,EURUSD,2025-02-13T17:00:00+00:00,2025-02-14T08:00:00+00:00,2025-02-14T11:00:00+00:00,NY,bearish,CHoCH CHoCH,proximal,1.04888,1.0499399999999999,1.04668,,2.55,,tp1,1.04668,2.075,2.55,0.0,518.75,True,,2.177,-0.205,3,3,-1,306,discount,7.0,4.0,0.0,1.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-01-27T21:00:00+00:00,CHoCH,CHoCH,True,False,False,,,,,False,17,bearish,with_trend,2025-02-13T16:00:00+00:00,1,2025-01-27T23:00:00+00:00,SHORT,counter,-492.6,fresh,Other,London,False,True,Fill only,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0020,EURUSD,2025-02-13T17:00:00+00:00,2025-02-14T13:00:00+00:00,2025-02-14T13:00:00+00:00,NY,bearish,CHoCH CHoCH,50pct,1.04921,1.0499399999999999,1.04668,,4.774,,sl,1.0499399999999999,-1.0,-1.0,-1.0,-250.0,True,,2.412,-1.053,0,-1,-1,306,discount,7.0,4.0,0.0,1.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-01-27T21:00:00+00:00,CHoCH,CHoCH,True,False,False,,,,,False,17,bearish,with_trend,2025-02-13T16:00:00+00:00,1,2025-01-27T23:00:00+00:00,SHORT,counter,-490.9,fresh,Other,NY,False,True,Fill only,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
