setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_raw,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,sl_bar_was_sweep,sl_swept_then_tp1,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_to_fill_hours,bars_break_to_pullback,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,ob_range_atr,fvg_size_atr,impulse_leg_atr,atr_at_ob,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,alert_bar_ts,alert_seq,bos_timestamp,bias,be_arm_bar_touched_entry,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,setup_badge,setup_badge_kind,killzone_blocked,killzone_windows
A3101,USDCHF,2009-02-03T13:00:00+00:00,2009-02-03T14:00:00+00:00,2009-02-03T14:00:00+00:00,NY,bullish,BOS BOS,proximal,1.1451,1.142,1.1418,1.1506,,1.77,,sl,1.1418,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,True,True,0,-1,-1,142.0,92.0,92,discount,0.0,,4.0,3.0,0.0,0.0,0.0,1.0,structure,False,h1_only,2009-01-28T16:00:00+00:00,BOS,BOS,holding,False,full,False,2,0.71,1.35,1.35,marginal,0.615,,1.57,0.004714,False,,,,,False,13,bullish,with_trend,2009-02-03T12:00:00+00:00,1,2009-01-28T17:00:00+00:00,LONG,,aligned,37.1,False,2,stale,NY,NY,True,True,Both,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A3102,USDCHF,2009-02-03T14:00:00+00:00,2009-02-04T10:00:00+00:00,2009-02-04T10:00:00+00:00,NY,bearish,BOS BOS,proximal,1.1566,1.1597,1.1599,1.1517,,1.58,,sl,1.1599,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,True,False,0,-1,-1,23.0,22.0,3,premium,0.0,,4.0,3.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2009-02-03T11:00:00+00:00,BOS,BOS,holding,True,pristine,False,0,0.85,1.1,1.1,marginal,0.724,,1.273,0.004007,False,,,,,False,14,bearish,with_trend,2009-02-03T13:00:00+00:00,1,2009-02-03T12:00:00+00:00,SHORT,,aligned,70.5,False,1,fresh,London,London,False,False,Neither,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A3103,USDCHF,2009-02-04T08:00:00+00:00,,,London,bullish,BOS BOS,proximal,1.1396,1.1327,1.1325,1.1506,,1.59,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,0,-1,-1,,,145,discount,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2009-01-27T06:00:00+00:00,BOS,BOS,holding,False,none,False,1,0.09,0.17,0.17,marginal,1.891,,1.891,0.003543,False,,,,,False,8,bullish,with_trend,2009-02-04T07:00:00+00:00,1,2009-01-27T11:00:00+00:00,LONG,,aligned,-1.1,False,1,no_fvg,Asia,London,False,False,never_filled,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A3104,USDCHF,2009-02-04T11:00:00+00:00,,,London,bullish,CHoCH CHoCH,proximal,1.1463,1.1421,1.1419,1.1563,,2.38,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,0,-1,-1,,,7,discount,1.0,True,7.0,4.0,0.0,1.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2009-02-04T04:00:00+00:00,CHoCH,CHoCH,holding,True,partial,False,0,1.2,1.61,1.07,marginal,0.991,0.793,0.545,0.004036,False,,,,,False,11,bearish,against_trend,2009-02-04T10:00:00+00:00,1,2009-02-04T09:00:00+00:00,LONG,,aligned,24.1,False,0,fresh,Asia,London,False,False,never_filled,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A3105,USDCHF,2009-02-06T05:00:00+00:00,2009-02-06T14:00:00+00:00,2009-02-06T17:00:00+00:00,Asia,bullish,BOS BOS,proximal,1.1661,1.1615,1.1613,1.1739,,1.7,,sl,1.1661,0.0,-1.0,-1.0,0.0,True,,1.021,-0.0,False,False,3,-1,-1,22.0,21.0,13,premium,0.0,,8.0,3.0,0.0,2.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2009-02-05T16:00:00+00:00,BOS,BOS,holding,True,pristine,False,0,0.44,1.36,1.36,marginal,1.613,0.476,3.518,0.002729,False,,,,,False,5,bullish,with_trend,2009-02-06T04:00:00+00:00,1,2009-02-05T17:00:00+00:00,LONG,False,counter,77.1,False,2,fresh,NY,NY,True,True,Both,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A3106,USDCHF,2009-02-06T07:00:00+00:00,2009-02-06T07:00:00+00:00,2009-02-06T07:00:00+00:00,London,bullish,BOS BOS,proximal,1.1719,1.1697,1.1695,1.1739,,0.91,,sl,1.1695,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,True,True,0,-1,-1,9.0,6.0,9,premium,0.0,,2.0,1.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2009-02-05T22:00:00+00:00,BOS,BOS,fading,False,full,False,1,0.55,1.14,1.14,marginal,0.856,,5.009,0.002336,False,,,,,False,7,bullish,with_trend,2009-02-06T06:00:00+00:00,1,2009-02-06T01:00:00+00:00,LONG,,counter,94.1,False,3,fresh,Other,London,False,True,Fill only,Caution: Late-Trend Chase,caution,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A3107,USDCHF,2009-02-06T08:00:00+00:00,2009-02-06T17:00:00+00:00,2009-02-06T17:00:00+00:00,London,bullish,BOS BOS,proximal,1.1658,1.1631,1.1629,1.1714,1.1727,2.07,2.56,sl,1.1629,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,False,False,0,-1,-1,27.0,24.0,18,premium,0.0,,6.0,1.0,0.0,2.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2009-02-05T14:00:00+00:00,BOS,BOS,fading,True,pristine,False,0,0.49,1.52,1.52,solid,1.14,0.593,4.378,0.002193,False,,,,,False,8,bullish,with_trend,2009-02-06T07:00:00+00:00,1,2009-02-05T17:00:00+00:00,LONG,,counter,76.2,False,2,fresh,NY,NY,True,False,OB only,Caution: Late-Trend Chase,caution,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A3108,USDCHF,2009-02-10T09:00:00+00:00,2009-02-10T14:00:00+00:00,2009-02-12T00:00:00+00:00,London,bullish,BOS BOS,proximal,1.15605,1.1499,1.1497,1.1658,,1.59,,sl,1.15605,0.0,1.59,1.173,0.0,True,,1.11,-0.906,True,True,34,43,-1,25.0,13.0,20,discount,0.0,,4.0,3.0,0.0,0.0,0.0,1.0,structure,False,h1_only,2009-02-09T13:00:00+00:00,BOS,BOS,holding,True,pristine,False,0,1.51,0.9,0.9,marginal,1.753,,1.974,0.003394,False,,,,,False,9,bullish,with_trend,2009-02-10T08:00:00+00:00,1,2009-02-10T01:00:00+00:00,LONG,False,aligned,21.4,False,2,fresh,NY,NY,True,True,Both,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A3109,USDCHF,2009-02-12T12:00:00+00:00,2009-02-12T12:00:00+00:00,2009-02-12T13:00:00+00:00,London,bullish,BOS BOS,proximal,1.15905,1.15665,1.15645,1.1631,,1.69,,tp1,1.1631,1.558,1.69,0.0,389.5,True,,1.558,-0.0,,,1,1,-1,6.0,2.0,6,premium,0.0,,3.0,3.0,0.0,0.0,0.0,0.0,structure,False,h1_only,2009-02-12T06:00:00+00:00,BOS,BOS,holding,False,full,False,1,1.02,1.42,1.42,marginal,0.735,,1.37,0.002993,False,,,,,False,12,bullish,with_trend,2009-02-12T11:00:00+00:00,1,2009-02-12T10:00:00+00:00,LONG,,counter,66.8,False,3,fresh,Asia,London,False,True,Fill only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A3110,USDCHF,2009-02-12T14:00:00+00:00,2009-02-12T21:00:00+00:00,2009-02-13T02:00:00+00:00,NY,bullish,BOS BOS,proximal,1.1607,1.15715,1.15695,1.1662,,1.55,,sl,1.15695,-1.0,-1.0,-1.0,-250.0,True,,0.6,-0.227,False,False,5,-1,-1,9.0,8.0,2,discount,0.0,,5.0,3.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2009-02-12T12:00:00+00:00,BOS,BOS,holding,False,none,False,0,0.99,2.97,2.97,strong,0.912,,2.547,0.003671,False,,,,,False,14,bullish,with_trend,2009-02-12T13:00:00+00:00,1,2009-02-12T13:00:00+00:00,LONG,,aligned,49.0,False,4,no_fvg,London,Other,True,False,OB only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A3111,USDCHF,2009-02-17T12:00:00+00:00,,,London,bullish,CHoCH CHoCH,proximal,1.1614,1.15934,1.15914,1.1658,,2.14,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,0,-1,-1,,,14,discount,1.0,True,7.0,4.0,0.0,2.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2009-02-16T22:00:00+00:00,CHoCH,CHoCH,holding,True,pristine,False,0,1.27,2.13,1.42,marginal,0.504,0.217,1.274,0.003689,False,,,,,False,12,bearish,against_trend,2009-02-17T11:00:00+00:00,1,2009-02-17T00:00:00+00:00,LONG,,aligned,18.0,False,0,fresh,Other,London,False,False,never_filled,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A3112,USDCHF,2009-02-19T05:00:00+00:00,2009-02-20T15:00:00+00:00,2009-02-20T16:00:00+00:00,Asia,bullish,BOS BOS,proximal,1.16843,1.16708,1.16688,1.17095,,1.87,,sl,1.16688,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,False,False,1,-1,-1,60.0,56.0,26,discount,0.0,,5.0,3.0,0.0,1.0,1.0,0.0,"structure,fvg,freshness",False,h1_only,2009-02-18T03:00:00+00:00,BOS,BOS,holding,True,partial,False,0,0.59,1.44,1.44,marginal,0.477,0.83,1.598,0.002409,False,,,,,False,5,bullish,with_trend,2009-02-19T04:00:00+00:00,1,2009-02-18T07:00:00+00:00,LONG,,aligned,19.8,False,2,fresh,Asia,NY,False,True,Fill only,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A3113,USDCHF,2009-02-20T08:00:00+00:00,2009-02-20T15:00:00+00:00,2009-02-20T15:00:00+00:00,London,bullish,BOS BOS,proximal,1.1738,1.1718,1.1716,1.1774,,1.8,,sl,1.1716,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,False,False,0,-1,-1,18.0,8.0,11,discount,0.0,,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2009-02-19T21:00:00+00:00,BOS,BOS,holding,True,pristine,False,0,1.91,1.6,1.6,solid,0.701,0.545,2.999,0.002568,False,,,,,False,8,bullish,with_trend,2009-02-20T07:00:00+00:00,1,2009-02-20T07:00:00+00:00,LONG,,aligned,24.5,False,4,fresh,Other,NY,False,True,Fill only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A3114,USDCHF,2009-02-26T09:00:00+00:00,2009-02-27T06:00:00+00:00,2009-02-27T07:00:00+00:00,London,bearish,CHoCH CHoCH,proximal,1.16944,1.17197,1.17217,1.16495,,1.77,,sl,1.17217,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,False,False,1,-1,-1,26.0,22.0,5,premium,1.0,True,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2009-02-26T04:00:00+00:00,CHoCH,CHoCH,holding,True,pristine,False,0,2.19,2.33,1.56,solid,0.892,,0.674,0.002613,False,,,,,False,9,bullish,against_trend,2009-02-26T08:00:00+00:00,1,2009-02-26T08:00:00+00:00,SHORT,,aligned,76.1,False,0,fresh,Asia,Asia,False,False,Neither,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A3115,USDCHF,2009-02-27T07:00:00+00:00,2009-02-27T14:00:00+00:00,2009-02-27T14:00:00+00:00,London,bullish,BOS BOS,proximal,1.16545,1.16365,1.16345,1.1683,,1.58,,sl,1.16345,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,True,True,0,-1,-1,10.0,8.0,3,discount,0.0,,4.0,3.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2009-02-27T04:00:00+00:00,BOS,BOS,holding,True,pristine,False,0,0.62,1.93,1.93,solid,0.666,,2.149,0.002401,False,,,,,False,7,bullish,with_trend,2009-02-27T06:00:00+00:00,1,2009-02-27T06:00:00+00:00,LONG,,aligned,41.1,False,1,fresh,Asia,NY,False,True,Fill only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
